"surveyRowId","sourceCarrierId","sourceKind","sourceField","sourceOrdinal","sourceTextExact","sourceDecisionIds","sourceCrossSystemCandidate","primaryClassification","conceptId","candidateId","matchedE02Category","matchedE02StableKeys","semanticComparison","factOwner","runtimeStateOwner","recommendedNextChannel","extensionEligible","decisionBlocked","runtimeImplemented","evidenceSource","evidenceConfidence","notesDeveloperOnly"
"REUSE-011","bone_aspect_enemy_c1_01_shattered_host","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","11","mechanic.polluted_tile","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.polluted_tile","","Mechanic","mechanic.polluted_tile","已验收 E02「污染格」定义为「敌方或环境污染可摆放格并限制阵盘空间。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=11","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c1_01_shattered_host.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-012","bone_aspect_enemy_c1_02_porcelain_hound","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","12","mechanic.layered_shield","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.layered_shield","","Mechanic","mechanic.layered_shield","已验收 E02「层叠护盾」定义为「敌方以可重复叠加或恢复的护盾层制造压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=12","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c1_02_porcelain_hound.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-013","bone_aspect_enemy_c1_02_porcelain_hound","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","13","counter_window.shell_break","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.counter_window.shell_break","","CounterWindowType","counter_window.shell_break","已验收 E02「破壳后虚弱」定义为「成功破除护壳后出现的虚弱窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=13","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c1_02_porcelain_hound.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-014","bone_aspect_enemy_c1_03_bone_swap_remnant","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","14","mechanic.basic_pressure","BA-D3","SURVEY_REQUIRED / CrossSystem Effect Contract","EXACT_E02_REUSE","e02.mechanic.basic_pressure","","Mechanic","mechanic.basic_pressure","已验收 E02「基础压力」定义为「不带专用机制原语的基础战斗压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=14","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c1_03_bone_swap_remnant.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-015","bone_aspect_enemy_c1_03_bone_swap_remnant","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","15","mechanic.swarm_summon","BA-D3","SURVEY_REQUIRED / CrossSystem Effect Contract","EXACT_E02_REUSE","e02.mechanic.swarm_summon","","Mechanic","mechanic.swarm_summon","已验收 E02「群怪与召唤」定义为「敌方通过多目标、增援或召唤物扩大场面压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=15","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c1_03_bone_swap_remnant.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-016","bone_aspect_enemy_c2_01_false_identity_bone","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","16","mechanic.basic_pressure","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.basic_pressure","","Mechanic","mechanic.basic_pressure","已验收 E02「基础压力」定义为「不带专用机制原语的基础战斗压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=16","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c2_01_false_identity_bone.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-017","bone_aspect_enemy_c2_01_false_identity_bone","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","17","counter_window.cleanse_reveal","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.counter_window.cleanse_reveal","","CounterWindowType","counter_window.cleanse_reveal","已验收 E02「净化后显形」定义为「完成净化反制后出现的显形窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=17","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c2_01_false_identity_bone.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-018","bone_aspect_enemy_c2_02_contract_clerk","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","18","mechanic.long_cast","NONE","SURVEY_REQUIRED / CrossSystem Effect Contract","EXACT_E02_REUSE","e02.mechanic.long_cast","","Mechanic","mechanic.long_cast","已验收 E02「长读条施法」定义为「敌方通过可观察的长读条准备关键技能。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=18","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c2_02_contract_clerk.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-019","bone_aspect_enemy_c2_02_contract_clerk","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","19","mechanic.talisman_seal","NONE","SURVEY_REQUIRED / CrossSystem Effect Contract","EXACT_E02_REUSE","e02.mechanic.talisman_seal","","Mechanic","mechanic.talisman_seal","已验收 E02「封符」定义为「敌方压制或暂时封锁符箓触发。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=19","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c2_02_contract_clerk.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-020","bone_aspect_enemy_c2_02_contract_clerk","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","20","counter_window.interrupt_stagger","NONE","SURVEY_REQUIRED / CrossSystem Effect Contract","EXACT_E02_REUSE","e02.counter_window.interrupt_stagger","","CounterWindowType","counter_window.interrupt_stagger","已验收 E02「打断后僵直」定义为「成功打断施法后出现的僵直窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=20","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c2_02_contract_clerk.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-021","bone_aspect_enemy_c2_03_bone_bidder","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","21","pressure.multi_target","NONE","SURVEY_REQUIRED / CrossSystem Effect Contract","EXACT_E02_REUSE","e02.pressure.multi_target","","PressureChannel","pressure.multi_target","已验收 E02「多目标压力」定义为「战斗压力主要来自多目标、增援或召唤物。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=21","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c2_03_bone_bidder.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-022","bone_aspect_enemy_c3_01_array_stone_puppet","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","22","mechanic.layered_shield","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.layered_shield","","Mechanic","mechanic.layered_shield","已验收 E02「层叠护盾」定义为「敌方以可重复叠加或恢复的护盾层制造压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=22","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c3_01_array_stone_puppet.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-023","bone_aspect_enemy_c3_01_array_stone_puppet","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","23","counter_window.shell_break","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.counter_window.shell_break","","CounterWindowType","counter_window.shell_break","已验收 E02「破壳后虚弱」定义为「成功破除护壳后出现的虚弱窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=23","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c3_01_array_stone_puppet.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-024","bone_aspect_enemy_c3_02_old_edict_shadow","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","24","mechanic.long_cast","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.long_cast","","Mechanic","mechanic.long_cast","已验收 E02「长读条施法」定义为「敌方通过可观察的长读条准备关键技能。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=24","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c3_02_old_edict_shadow.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-025","bone_aspect_enemy_c3_02_old_edict_shadow","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","25","mechanic.talisman_seal","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.talisman_seal","","Mechanic","mechanic.talisman_seal","已验收 E02「封符」定义为「敌方压制或暂时封锁符箓触发。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=25","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c3_02_old_edict_shadow.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-026","bone_aspect_enemy_c3_02_old_edict_shadow","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","26","counter_window.interrupt_stagger","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.counter_window.interrupt_stagger","","CounterWindowType","counter_window.interrupt_stagger","已验收 E02「打断后僵直」定义为「成功打断施法后出现的僵直窗口。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","BATTLE_RESOLVER","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=26","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c3_02_old_edict_shadow.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-027","bone_aspect_enemy_c3_03_bone_dust_effigy","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","27","mechanic.basic_pressure","BA-D3","SURVEY_REQUIRED / CrossSystem Effect Contract","EXACT_E02_REUSE","e02.mechanic.basic_pressure","","Mechanic","mechanic.basic_pressure","已验收 E02「基础压力」定义为「不带专用机制原语的基础战斗压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=27","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c3_03_bone_dust_effigy.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-028","bone_aspect_enemy_c4_01_faceless_bone_figure","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","28","mechanic.polluted_tile","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.polluted_tile","","Mechanic","mechanic.polluted_tile","已验收 E02「污染格」定义为「敌方或环境污染可摆放格并限制阵盘空间。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=28","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c4_01_faceless_bone_figure.mechanic_commitment; 本调查不把候选引用升级为 binding。"
"REUSE-029","bone_aspect_enemy_c4_01_faceless_bone_figure","P1_E02_CANDIDATE_REFERENCE","BoneAspectCarrierPresentationMechanicReferenceRows.csv.stableKey","29","mechanic.swarm_summon","NONE","SURVEY_REQUIRED / Battle Resolver / Field Runtime","EXACT_E02_REUSE","e02.mechanic.swarm_summon","","Mechanic","mechanic.swarm_summon","已验收 E02「群怪与召唤」定义为「敌方通过多目标、增援或召唤物扩大场面压力。」；该 typed CandidateReuseOnly 引用可直接表达 P0 承诺中的对应抽象片段，不覆盖其他 gap、执行时机或用户决定。","ENEMY_DATA","ENEMY_RUNTIME_STATE","ENEMY_DATA","false","false","false","Docs/V0.4/Reports/BoneAspectCarrierPresentationMechanicReferenceRows.csv#data-row=29","HIGH","bindingStatus=CandidateReuseOnly; runtimeImplemented=false; sourceCommitmentId=bone_aspect_enemy_c4_01_faceless_bone_figure.mechanic_commitment; 本调查不把候选引用升级为 binding。"
