checkId,expected,actual,result
"provider.inputUnchanged","unchanged","sha256:b05ab2c8785c116be0267ed47aad6b2499731d077a506da4841c0ab7500f2833/sha256:bbc3c329874019d01d05912ee3b727025432ffc57678c2e9a3ad0f3e9eaf3d46",PASS
"reachability.pressureWindows","13/13","13/13",PASS
"references.resolved","0","0",PASS
"reports.determinism","8/8 identical","8/8 identical",PASS
"reports.missingRegeneration","PASS","PASS",PASS
"requirements.counts","16/39","16/39",PASS
"reuse.poisonBurn","same sequence","dev_sequence_status_spread",PASS
"reuse.pressureWindow","many-to-many","many-to-many",PASS
"schema","DevEncounterSeedData.v1/1","DevEncounterSeedData.v1/1",PASS
"sensitivity.e05Developer","changed/stable","changed/stable",PASS
"sensitivity.encounterQuantity","changed/stable","changed/stable",PASS
"sensitivity.legacySource","changed/stable","changed/stable",PASS
"sensitivity.publicCue","changed/changed","changed/changed",PASS
"sensitivity.requirementThreshold","changed/stable","changed/stable",PASS
"signatures.e09","Full+PlayerSafe","sha256:5cbd0da2d18fde1e6355e2cd3df48f0fc9c1b5d231590ab4789a6d2d6eb1c069/sha256:88716420b5c2c00e642923e7e20893ce51d2db5c4af74edfdd933798d8643e4c",PASS
"signatures.e10","Full+PlayerSafe","sha256:377fb8d27d35dd127b915944d8a00c1b17afd6a580254dc21bc8d44e51a815a3/sha256:aa1c4ccde3fccaadc09da4bcb0e72bf53ee9c110ed84d366e20ebd875bf4775d",PASS
"skillPhase.counts","9/9/10/8/4","9/9/10/8/4",PASS
"validator.realSnapshot","0 issues","0 issues",PASS
