path,activeSelf,componentTypes
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_21,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_22,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_23,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_24,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/BoardGridPreview/BoardGridCell_25,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview,True,RectTransform;CanvasRenderer;Image
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTrayTitle,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTraySlot_01,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTraySlot_02,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTraySlot_03,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTraySlot_04,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTraySlot_05,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTraySlot_06,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTraySlot_07,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTraySlot_08,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTraySlot_09,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/ItemTrayPreview/ItemTraySlot_10,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/SelectedItemInfo,True,RectTransform;CanvasRenderer;Image
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/SelectedItemInfo/SelectedItemInfoTitle,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/SelectedItemInfo/SelectedItemInfoBody,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/PlacementFeedback,True,RectTransform;CanvasRenderer;Image
BuildSandboxPreviewCanvas/SafeAreaRoot/BattleLikePreviewArea/PlacementFeedback/PlacementFeedbackText,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/ProblemSelectorPanel,True,RectTransform;CanvasRenderer;Image
BuildSandboxPreviewCanvas/SafeAreaRoot/ProblemSelectorPanel/Title,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/ProblemSelectorPanel/MapRuleDropdownSlot,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/ProblemSelectorPanel/MapRuleDropdownSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/ProblemSelectorPanel/EnemyProblemDropdownSlot,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/ProblemSelectorPanel/EnemyProblemDropdownSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/ProblemSelectorPanel/BossProblemDropdownSlot,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/ProblemSelectorPanel/BossProblemDropdownSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/ProblemSelectorPanel/DevChapterDropdownSlot,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/ProblemSelectorPanel/DevChapterDropdownSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock,True,RectTransform;CanvasRenderer;Image
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/Title,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/BuildSummaryPanelSlot,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/BuildSummaryPanelSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/SynergyPanelSlot,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/SynergyPanelSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/ShapeOccupancyPanelSlot,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/ShapeOccupancyPanelSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/AffixModifierPanelSlot,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/AffixModifierPanelSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/ProblemReadinessPanelSlot,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/ProblemReadinessPanelSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/SimulationResultPanelSlot,True,RectTransform;CanvasRenderer;Image;Outline
BuildSandboxPreviewCanvas/SafeAreaRoot/BuildSandboxDataPanelDock/SimulationResultPanelSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/DevOnlyControlBar,True,RectTransform;CanvasRenderer;Image
BuildSandboxPreviewCanvas/SafeAreaRoot/DevOnlyControlBar/Title,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/DevOnlyControlBar/RunSimulationButtonSlot,True,RectTransform;CanvasRenderer;Image;Button
BuildSandboxPreviewCanvas/SafeAreaRoot/DevOnlyControlBar/RunSimulationButtonSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/DevOnlyControlBar/ResetPreviewButtonSlot,True,RectTransform;CanvasRenderer;Image;Button
BuildSandboxPreviewCanvas/SafeAreaRoot/DevOnlyControlBar/ResetPreviewButtonSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/DevOnlyControlBar/ExportReportButtonSlot,True,RectTransform;CanvasRenderer;Image;Button
BuildSandboxPreviewCanvas/SafeAreaRoot/DevOnlyControlBar/ExportReportButtonSlot/Label,True,RectTransform;CanvasRenderer;Text
BuildSandboxPreviewCanvas/SafeAreaRoot/PopupLayer,True,RectTransform;CanvasRenderer;Image
