baseItemId,rarity,versionKey,faMenTag,qiLeiTag,primaryStatId,secondaryStatId,statCount,fixedAffixId,randomPoolId,coreEligibleCount,coreVisibleCount,buildNoneWeight,buildFaMenWeight,buildQiLeiWeight,buildDualWeight,dataMaturity,validationResult
I013,green,I013@green,zhongyue,fu,guard,duration,4,affix_guard_up,candidate_pool_i013,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I013,blue,I013@blue,zhongyue,fu,guard,duration,4,affix_guard_up,candidate_pool_i013,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I013,purple,I013@purple,zhongyue,fu,guard,duration,4,affix_guard_up,candidate_pool_i013,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I013,orange,I013@orange,zhongyue,fu,guard,duration,4,affix_guard_up,candidate_pool_i013,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I014,white,I014@white,zhongyue,fu,guard,duration,4,affix_guard_up,candidate_pool_i014,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I014,green,I014@green,zhongyue,fu,guard,duration,4,affix_guard_up,candidate_pool_i014,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I014,blue,I014@blue,zhongyue,fu,guard,duration,4,affix_guard_up,candidate_pool_i014,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I014,purple,I014@purple,zhongyue,fu,guard,duration,4,affix_guard_up,candidate_pool_i014,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I014,orange,I014@orange,zhongyue,fu,guard,duration,4,affix_guard_up,candidate_pool_i014,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I015,white,I015@white,zhongyue,yin,guard,control,4,affix_guard_up,candidate_pool_i015,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I015,green,I015@green,zhongyue,yin,guard,control,4,affix_guard_up,candidate_pool_i015,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I015,blue,I015@blue,zhongyue,yin,guard,control,4,affix_guard_up,candidate_pool_i015,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I015,purple,I015@purple,zhongyue,yin,guard,control,4,affix_guard_up,candidate_pool_i015,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I015,orange,I015@orange,zhongyue,yin,guard,control,4,affix_guard_up,candidate_pool_i015,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I016,white,I016@white,zhongyue,ling,guard,duration,4,affix_guard_up,candidate_pool_i016,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I016,green,I016@green,zhongyue,ling,guard,duration,4,affix_guard_up,candidate_pool_i016,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I016,blue,I016@blue,zhongyue,ling,guard,duration,4,affix_guard_up,candidate_pool_i016,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I016,purple,I016@purple,zhongyue,ling,guard,duration,4,affix_guard_up,candidate_pool_i016,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I016,orange,I016@orange,zhongyue,ling,guard,duration,4,affix_guard_up,candidate_pool_i016,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I017,white,I017@white,zhongyue,jing,guard,control,4,affix_guard_up,candidate_pool_i017,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I017,green,I017@green,zhongyue,jing,guard,control,4,affix_guard_up,candidate_pool_i017,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I017,blue,I017@blue,zhongyue,jing,guard,control,4,affix_guard_up,candidate_pool_i017,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I017,purple,I017@purple,zhongyue,jing,guard,control,4,affix_guard_up,candidate_pool_i017,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I017,orange,I017@orange,zhongyue,jing,guard,control,4,affix_guard_up,candidate_pool_i017,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I018,white,I018@white,zhongyue,fa,guard,duration,4,affix_guard_up,candidate_pool_i018,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I018,green,I018@green,zhongyue,fa,guard,duration,4,affix_guard_up,candidate_pool_i018,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I018,blue,I018@blue,zhongyue,fa,guard,duration,4,affix_guard_up,candidate_pool_i018,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I018,purple,I018@purple,zhongyue,fa,guard,duration,4,affix_guard_up,candidate_pool_i018,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I018,orange,I018@orange,zhongyue,fa,guard,duration,4,affix_guard_up,candidate_pool_i018,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I019,white,I019@white,xuanshui,fu,cleanse,heal,4,affix_cleanse_up,candidate_pool_i019,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I019,green,I019@green,xuanshui,fu,cleanse,heal,4,affix_cleanse_up,candidate_pool_i019,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I019,blue,I019@blue,xuanshui,fu,cleanse,heal,4,affix_cleanse_up,candidate_pool_i019,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I019,purple,I019@purple,xuanshui,fu,cleanse,heal,4,affix_cleanse_up,candidate_pool_i019,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I019,orange,I019@orange,xuanshui,fu,cleanse,heal,4,affix_cleanse_up,candidate_pool_i019,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I020,white,I020@white,xuanshui,fu,cleanse,duration,4,affix_cleanse_up,candidate_pool_i020,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I020,green,I020@green,xuanshui,fu,cleanse,duration,4,affix_cleanse_up,candidate_pool_i020,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I020,blue,I020@blue,xuanshui,fu,cleanse,duration,4,affix_cleanse_up,candidate_pool_i020,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I020,purple,I020@purple,xuanshui,fu,cleanse,duration,4,affix_cleanse_up,candidate_pool_i020,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I020,orange,I020@orange,xuanshui,fu,cleanse,duration,4,affix_cleanse_up,candidate_pool_i020,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I021,white,I021@white,xuanshui,yin,cleanse,guard,4,affix_cleanse_up,candidate_pool_i021,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I021,green,I021@green,xuanshui,yin,cleanse,guard,4,affix_cleanse_up,candidate_pool_i021,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I021,blue,I021@blue,xuanshui,yin,cleanse,guard,4,affix_cleanse_up,candidate_pool_i021,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I021,purple,I021@purple,xuanshui,yin,cleanse,guard,4,affix_cleanse_up,candidate_pool_i021,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I021,orange,I021@orange,xuanshui,yin,cleanse,guard,4,affix_cleanse_up,candidate_pool_i021,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I022,white,I022@white,xuanshui,ling,heal,cleanse,4,affix_heal_up,candidate_pool_i022,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I022,green,I022@green,xuanshui,ling,heal,cleanse,4,affix_heal_up,candidate_pool_i022,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I022,blue,I022@blue,xuanshui,ling,heal,cleanse,4,affix_heal_up,candidate_pool_i022,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I022,purple,I022@purple,xuanshui,ling,heal,cleanse,4,affix_heal_up,candidate_pool_i022,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I022,orange,I022@orange,xuanshui,ling,heal,cleanse,4,affix_heal_up,candidate_pool_i022,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I023,white,I023@white,xuanshui,jing,cleanse,control,4,affix_cleanse_up,candidate_pool_i023,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I023,green,I023@green,xuanshui,jing,cleanse,control,4,affix_cleanse_up,candidate_pool_i023,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I023,blue,I023@blue,xuanshui,jing,cleanse,control,4,affix_cleanse_up,candidate_pool_i023,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I023,purple,I023@purple,xuanshui,jing,cleanse,control,4,affix_cleanse_up,candidate_pool_i023,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I023,orange,I023@orange,xuanshui,jing,cleanse,control,4,affix_cleanse_up,candidate_pool_i023,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I024,white,I024@white,xuanshui,fa,cleanse,heal,4,affix_cleanse_up,candidate_pool_i024,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I024,green,I024@green,xuanshui,fa,cleanse,heal,4,affix_cleanse_up,candidate_pool_i024,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I024,blue,I024@blue,xuanshui,fa,cleanse,heal,4,affix_cleanse_up,candidate_pool_i024,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I024,purple,I024@purple,xuanshui,fa,cleanse,heal,4,affix_cleanse_up,candidate_pool_i024,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I024,orange,I024@orange,xuanshui,fa,cleanse,heal,4,affix_cleanse_up,candidate_pool_i024,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I025,white,I025@white,taibai,fu,control,duration,4,affix_control_up,candidate_pool_i025,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I025,green,I025@green,taibai,fu,control,duration,4,affix_control_up,candidate_pool_i025,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I025,blue,I025@blue,taibai,fu,control,duration,4,affix_control_up,candidate_pool_i025,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I025,purple,I025@purple,taibai,fu,control,duration,4,affix_control_up,candidate_pool_i025,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I025,orange,I025@orange,taibai,fu,control,duration,4,affix_control_up,candidate_pool_i025,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I026,white,I026@white,taibai,fu,damage,control,4,affix_damage_up,candidate_pool_i026,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I026,green,I026@green,taibai,fu,damage,control,4,affix_damage_up,candidate_pool_i026,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I026,blue,I026@blue,taibai,fu,damage,control,4,affix_damage_up,candidate_pool_i026,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I026,purple,I026@purple,taibai,fu,damage,control,4,affix_damage_up,candidate_pool_i026,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I026,orange,I026@orange,taibai,fu,damage,control,4,affix_damage_up,candidate_pool_i026,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I027,white,I027@white,taibai,yin,break,control,4,affix_break_up,candidate_pool_i027,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I027,green,I027@green,taibai,yin,break,control,4,affix_break_up,candidate_pool_i027,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I027,blue,I027@blue,taibai,yin,break,control,4,affix_break_up,candidate_pool_i027,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I027,purple,I027@purple,taibai,yin,break,control,4,affix_break_up,candidate_pool_i027,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I027,orange,I027@orange,taibai,yin,break,control,4,affix_break_up,candidate_pool_i027,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I028,white,I028@white,taibai,ling,control,break,4,affix_control_up,candidate_pool_i028,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I028,green,I028@green,taibai,ling,control,break,4,affix_control_up,candidate_pool_i028,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I028,blue,I028@blue,taibai,ling,control,break,4,affix_control_up,candidate_pool_i028,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I028,purple,I028@purple,taibai,ling,control,break,4,affix_control_up,candidate_pool_i028,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I028,orange,I028@orange,taibai,ling,control,break,4,affix_control_up,candidate_pool_i028,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I029,white,I029@white,taibai,jing,control,break,4,affix_control_up,candidate_pool_i029,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I029,green,I029@green,taibai,jing,control,break,4,affix_control_up,candidate_pool_i029,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I029,blue,I029@blue,taibai,jing,control,break,4,affix_control_up,candidate_pool_i029,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I029,purple,I029@purple,taibai,jing,control,break,4,affix_control_up,candidate_pool_i029,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I029,orange,I029@orange,taibai,jing,control,break,4,affix_control_up,candidate_pool_i029,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
I030,white,I030@white,taibai,fa,damage,control,4,affix_damage_up,candidate_pool_i030,1,1,100,0,0,0,BALANCE_CANDIDATE,PASS
I030,green,I030@green,taibai,fa,damage,control,4,affix_damage_up,candidate_pool_i030,2,2,70,15,15,0,BALANCE_CANDIDATE,PASS
I030,blue,I030@blue,taibai,fa,damage,control,4,affix_damage_up,candidate_pool_i030,3,3,45,25,25,5,BALANCE_CANDIDATE,PASS
I030,purple,I030@purple,taibai,fa,damage,control,4,affix_damage_up,candidate_pool_i030,4,4,20,30,30,20,BALANCE_CANDIDATE,PASS
I030,orange,I030@orange,taibai,fa,damage,control,4,affix_damage_up,candidate_pool_i030,5,5,5,20,20,55,BALANCE_CANDIDATE,PASS
