applicationSequence,battleTick,sourceBaseItemId,sourceItemInstanceId,requestId,resolvedPreMitigationDamageUnits,shellDamageApplied,hpDamageApplied,enemyLifecycle,enemyCurrentHp,enemyCurrentShell,basicEarned,basicResolved,basicDebt,thresholdOccurrences,activeActionId,activeActionStatus,playerCurrentHp,displayEventCount,accepted,reason
16,24000,"I010","wb_i010_orange_404310010","itemcombat:wb_i010_orange_404310010:P_BOARD_I010:direct_flat_damage",46,46,0,"LayeredShellOn",684,154,4,3,1,"S1-A:Resolved;S2-A:Pending","shougunu.phase1.skill2.rope_heavy_strike","Windup",9963,35,true,""
17,25500,"I011","wb_i011_orange_404310011","itemcombat:wb_i011_orange_404310011:P_BOARD_I011:direct_flat_damage",55,55,0,"LayeredShellOn",684,99,4,3,1,"S1-A:Resolved;S2-A:Pending","shougunu.phase1.skill2.rope_heavy_strike","Windup",9963,36,true,""
18,27000,"I012","wb_i012_orange_404310012","itemcombat:wb_i012_orange_404310012:P_BOARD_I012:direct_flat_damage",76,76,0,"LayeredShellOn",684,23,4,3,1,"S1-A:Resolved;S2-A:Resolved","shougunu.phase1.basic_attack","Windup",9939,40,true,""
19,28500,"I007","wb_i007_orange_404310007","itemcombat:wb_i007_orange_404310007:P_BOARD_I007:direct_flat_damage",29,23,6,"CoreExposed",678,0,4,4,0,"S1-A:Resolved;S2-A:Resolved","","",9927,46,true,""
20,30000,"I008","wb_i008_orange_404310008","itemcombat:wb_i008_orange_404310008:P_BOARD_I008:direct_flat_damage",42,0,42,"CoreExposed",636,0,5,4,1,"S1-A:Resolved;S2-A:Resolved","shougunu.phase1.basic_attack","Windup",9927,48,true,""
21,31500,"I009","wb_i009_orange_404310009","itemcombat:wb_i009_orange_404310009:P_BOARD_I009:direct_flat_damage",53,0,53,"CoreExposed",583,0,5,5,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Pending","","",9915,51,true,""
22,33000,"I010","wb_i010_orange_404310010","itemcombat:wb_i010_orange_404310010:P_BOARD_I010:direct_flat_damage",46,0,46,"CoreExposed",537,0,5,5,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Pending","","",9915,52,true,""
23,34500,"I011","wb_i011_orange_404310011","itemcombat:wb_i011_orange_404310011:P_BOARD_I011:direct_flat_damage",55,55,0,"LayeredShellOn",537,145,5,5,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Pending","shougunu.phase1.skill3.ground_seal_burst","Windup",9915,55,true,""
24,36000,"I012","wb_i012_orange_404310012","itemcombat:wb_i012_orange_404310012:P_BOARD_I012:direct_flat_damage",76,76,0,"LayeredShellOn",537,69,6,5,1,"S1-A:Resolved;S2-A:Resolved;S3-A:Pending","shougunu.phase1.skill3.ground_seal_burst","Windup",9915,56,true,""
25,37500,"I007","wb_i007_orange_404310007","itemcombat:wb_i007_orange_404310007:P_BOARD_I007:direct_flat_damage",29,29,0,"LayeredShellOn",537,40,6,5,1,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved","shougunu.phase1.skill3.ground_seal_burst","Recovering",9879,59,true,""
26,39000,"I008","wb_i008_orange_404310008","itemcombat:wb_i008_orange_404310008:P_BOARD_I008:direct_flat_damage",42,40,2,"CoreExposed",535,0,6,6,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved","shougunu.phase1.basic_attack","Recovering",9867,66,true,""
27,40500,"I009","wb_i009_orange_404310009","itemcombat:wb_i009_orange_404310009:P_BOARD_I009:direct_flat_damage",53,0,53,"CoreExposed",482,0,6,6,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved","","",9867,67,true,""
28,42000,"I010","wb_i010_orange_404310010","itemcombat:wb_i010_orange_404310010:P_BOARD_I010:direct_flat_damage",46,0,46,"CoreExposed",436,0,7,6,1,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Pending","shougunu.phase1.basic_attack","Windup",9867,69,true,""
29,43500,"I011","wb_i011_orange_404310011","itemcombat:wb_i011_orange_404310011:P_BOARD_I011:direct_flat_damage",55,0,55,"CoreExposed",381,0,7,7,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Pending","","",9855,72,true,""
30,45000,"I012","wb_i012_orange_404310012","itemcombat:wb_i012_orange_404310012:P_BOARD_I012:direct_flat_damage",76,76,0,"LayeredShellOn",381,124,7,7,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Pending","shougunu.phase1.skill1.shell_repair","Windup",9855,75,true,""
31,46500,"I007","wb_i007_orange_404310007","itemcombat:wb_i007_orange_404310007:P_BOARD_I007:direct_flat_damage",29,29,0,"LayeredShellOn",381,125,7,7,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved","shougunu.phase1.skill1.shell_repair","Recovering",9855,77,true,""
32,48000,"I008","wb_i008_orange_404310008","itemcombat:wb_i008_orange_404310008:P_BOARD_I008:direct_flat_damage",42,42,0,"LayeredShellOn",381,83,8,7,1,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved","shougunu.phase1.basic_attack","Windup",9855,79,true,""
33,49500,"I009","wb_i009_orange_404310009","itemcombat:wb_i009_orange_404310009:P_BOARD_I009:direct_flat_damage",53,53,0,"LayeredShellOn",381,30,8,8,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved","","",9843,82,true,""
34,51000,"I010","wb_i010_orange_404310010","itemcombat:wb_i010_orange_404310010:P_BOARD_I010:direct_flat_damage",46,30,16,"CoreExposed",365,0,8,8,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved","","",9843,86,true,""
35,52500,"I011","wb_i011_orange_404310011","itemcombat:wb_i011_orange_404310011:P_BOARD_I011:direct_flat_damage",55,0,55,"CoreExposed",310,0,8,8,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved","","",9843,87,true,""
36,54000,"I012","wb_i012_orange_404310012","itemcombat:wb_i012_orange_404310012:P_BOARD_I012:direct_flat_damage",76,0,76,"CoreExposed",234,0,9,8,1,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Pending","shougunu.phase1.basic_attack","Windup",9843,89,true,""
37,55500,"I007","wb_i007_orange_404310007","itemcombat:wb_i007_orange_404310007:P_BOARD_I007:direct_flat_damage",29,0,29,"CoreExposed",205,0,9,9,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Pending","","",9831,92,true,""
38,57000,"I008","wb_i008_orange_404310008","itemcombat:wb_i008_orange_404310008:P_BOARD_I008:direct_flat_damage",42,42,0,"LayeredShellOn",205,158,9,9,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Pending","shougunu.phase1.skill2.rope_heavy_strike","Windup",9831,95,true,""
39,58500,"I009","wb_i009_orange_404310009","itemcombat:wb_i009_orange_404310009:P_BOARD_I009:direct_flat_damage",53,53,0,"LayeredShellOn",205,105,9,9,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Pending","shougunu.phase1.skill2.rope_heavy_strike","Windup",9831,96,true,""
40,60000,"I010","wb_i010_orange_404310010","itemcombat:wb_i010_orange_404310010:P_BOARD_I010:direct_flat_damage",46,46,0,"LayeredShellOn",205,59,10,9,1,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved","shougunu.phase1.basic_attack","Windup",9807,100,true,""
41,61500,"I011","wb_i011_orange_404310011","itemcombat:wb_i011_orange_404310011:P_BOARD_I011:direct_flat_damage",55,55,0,"LayeredShellOn",205,4,10,10,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved","","",9795,103,true,""
42,63000,"I012","wb_i012_orange_404310012","itemcombat:wb_i012_orange_404310012:P_BOARD_I012:direct_flat_damage",76,4,72,"CoreExposed",133,0,10,10,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved;S3-B:Pending","","",9795,107,true,""
43,64500,"I007","wb_i007_orange_404310007","itemcombat:wb_i007_orange_404310007:P_BOARD_I007:direct_flat_damage",29,0,29,"CoreExposed",104,0,10,10,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved;S3-B:Pending","","",9795,108,true,""
44,66000,"I008","wb_i008_orange_404310008","itemcombat:wb_i008_orange_404310008:P_BOARD_I008:direct_flat_damage",42,0,42,"CoreExposed",62,0,11,10,1,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved;S3-B:Pending","shougunu.phase1.basic_attack","Windup",9795,110,true,""
45,67500,"I009","wb_i009_orange_404310009","itemcombat:wb_i009_orange_404310009:P_BOARD_I009:direct_flat_damage",53,0,53,"CoreExposed",9,0,11,11,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved;S3-B:Pending","","",9783,113,true,""
46,69000,"I010","wb_i010_orange_404310010","itemcombat:wb_i010_orange_404310010:P_BOARD_I010:direct_flat_damage",46,46,0,"LayeredShellOn",9,154,11,11,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved;S3-B:Pending","shougunu.phase1.skill3.ground_seal_burst","Windup",9783,116,true,""
47,70500,"I011","wb_i011_orange_404310011","itemcombat:wb_i011_orange_404310011:P_BOARD_I011:direct_flat_damage",55,55,0,"LayeredShellOn",9,99,11,11,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved;S3-B:Pending","shougunu.phase1.skill3.ground_seal_burst","Windup",9783,117,true,""
48,72000,"I012","wb_i012_orange_404310012","itemcombat:wb_i012_orange_404310012:P_BOARD_I012:direct_flat_damage",76,76,0,"LayeredShellOn",9,23,12,11,1,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved;S3-B:Resolved","shougunu.phase1.skill3.ground_seal_burst","Recovering",9747,120,true,""
49,73500,"I007","wb_i007_orange_404310007","itemcombat:wb_i007_orange_404310007:P_BOARD_I007:direct_flat_damage",29,23,6,"CoreExposed",3,0,12,12,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved;S3-B:Resolved","shougunu.phase1.basic_attack","Recovering",9735,127,true,""
50,75000,"I008","wb_i008_orange_404310008","itemcombat:wb_i008_orange_404310008:P_BOARD_I008:direct_flat_damage",42,0,3,"DefeatCandidate",0,0,12,12,0,"S1-A:Resolved;S2-A:Resolved;S3-A:Resolved;S1-B:Resolved;S2-B:Resolved;S3-B:Resolved","","",9735,128,true,""
