kind,idOrPath,fieldOrCheckId,oldValue,newValue,fileCount,inputScope,reason,result
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/CrossSystem/ItemEnemy/LayoutResilienceRequirementMigrationSurveyVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/CrossSystem/ItemEnemy/RealLayoutResilienceEvaluationPipelineVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/CrossSystem/ItemEnemy/BuildCapabilityNormalizationRuleSurveyVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/CrossSystem/ItemEnemy/BuildCapabilityRemainingBlockerSemanticSurveyVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
item105-baseline,Assets/_Game/Scripts/TalismanBag/Editor/BuildSandbox/LayoutResilienceBattleSandboxPlaytestAdapterVerifier.cs,Item105 expected aggregate,b81e3035a3f66d80d52970c442c56c203485164026572b251896197cf54cd1d4,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,105,Assets/_Game/Scripts/TalismanBag/Items/** excluding Items/Capability and Capability.meta; relativePath|UPPER_SHA256; LF; ordinal path order,APPROVED_ITEM_SHAPE_TRUTH_CORRECTION,MIGRATED
item105-worktree,current-worktree,actual aggregate,2c3f755292183a5000c3d79540b91d12e8254743d3478145b60e841e57c569b1,b57db6da9d92115a36d5601def6c7cad4de6cb9fe5546a9d27318f894d7c8152,105,same Item105 input scope,PREEXISTING_ITEM_DETAIL_UI_DELTA_NOT_ACCEPTED,PREEXISTING_MISMATCH_RETAINED
protected,approved-matrix,aggregate,3AB8D46F58DC309112AD18F41DB6E6B59BC6D5863B7727DF0FE446D015A500E0,3AB8D46F58DC309112AD18F41DB6E6B59BC6D5863B7727DF0FE446D015A500E0,1,Docs/V0.4/ItemShapeCatalogApprovedMatrix01.csv,READ_ONLY_PROTECTION,UNCHANGED
protected,scenes,aggregate,F44C2A856E47CF77B33172E9ACA557CF1D7EB8CA731EB91F4BDFBBCAC86C746B,F44C2A856E47CF77B33172E9ACA557CF1D7EB8CA731EB91F4BDFBBCAC86C746B,7,Assets/_Game/Scenes/Scene_TalismanBag_V02_FormationCounter.unity;Assets/_Game/Scenes/Scene_TalismanBag_V03_BootEntry.unity;Assets/_Game/Scenes/Scene_TalismanBag_V03_MainHome.unity;Assets/_Game/Scenes/Scene_TalismanBag_V03_TalismanUpgrade.unity;Assets/_Game/Scenes/Scene_TalismanBag_V04_BattleSandboxPreview.unity;Assets/_Game/Scenes/Scene_TalismanBag_V04_ItemSandbox.unity;Assets/_Game/Scenes/Scene_TalismanBag_V04_UnifiedBattlePageShell.unity,READ_ONLY_PROTECTION,UNCHANGED
protected,prefabs,aggregate,3D3807A74B4CC00EEAEB54335CBE9D40BB95CBF739D1D1855C1CE87A2E7DFBA6,3D3807A74B4CC00EEAEB54335CBE9D40BB95CBF739D1D1855C1CE87A2E7DFBA6,5,Assets/_Game/Prefabs/TalismanBag/DraggableTalismanItem.prefab;Assets/_Game/Prefabs/TalismanBag/TalismanGridSlot.prefab;Assets/_Game/Prefabs/TalismanBag/Items/ItemDetailPanel.prefab;Assets/_Game/Prefabs/TalismanBag/UnifiedBattle/BattleLikePreviewAreaBridge.prefab;Assets/_Game/Prefabs/TalismanBag/UnifiedBattle/UnifiedBattlePageShell.prefab,READ_ONLY_PROTECTION,UNCHANGED
protected,build-settings,aggregate,BB060D6524E555139F3A2B201FB8EDDFC3AFBCA08A6F02E0581F42C1D620F3A2,BB060D6524E555139F3A2B201FB8EDDFC3AFBCA08A6F02E0581F42C1D620F3A2,1,ProjectSettings/EditorBuildSettings.asset,READ_ONLY_PROTECTION,UNCHANGED
