assertionId,category,expected,actual,result
"projection-round-id-1-8","projection","1-8","1-8","PASS"
"projection-boss-flag-1-8","projection","False","False","PASS"
"projection-boss-profile-1-8","projection","","","PASS"
"projection-entry-source-1-8","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-1-8","projection","False","False","PASS"
"projection-dev-1-8","projection","True","True","PASS"
"projection-source-route-1-8","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-1-8","projection","","","PASS"
"projection-source-controller-1-8","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-1-8","transition","PASS","PASS","PASS"
"transition-accept-result-1-8","transition","PASS","PASS","PASS"
"transition-settlement-1-8","transition","PASS","PASS","PASS"
"transition-drop-preview-1-8","transition","PASS","PASS","PASS"
"request-initial-phase-1-9","reducer","Prepare","Prepare","PASS"
"transition-request-1-9","transition","PASS","PASS","PASS"
"projection-not-null-1-9","projection","True","True","PASS"
"projection-request-id-1-9","projection","req.1-9","req.1-9","PASS"
"projection-chapter-id-1-9","projection","bone_aspect_chapter_1","bone_aspect_chapter_1","PASS"
"projection-stage-id-1-9","projection","1-9","1-9","PASS"
"projection-round-id-1-9","projection","1-9","1-9","PASS"
"projection-boss-flag-1-9","projection","False","False","PASS"
"projection-boss-profile-1-9","projection","","","PASS"
"projection-entry-source-1-9","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-1-9","projection","False","False","PASS"
"projection-dev-1-9","projection","True","True","PASS"
"projection-source-route-1-9","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-1-9","projection","","","PASS"
"projection-source-controller-1-9","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-1-9","transition","PASS","PASS","PASS"
"transition-accept-result-1-9","transition","PASS","PASS","PASS"
"transition-settlement-1-9","transition","PASS","PASS","PASS"
"transition-drop-preview-1-9","transition","PASS","PASS","PASS"
"transition-open-boss-gate-1","transition","PASS","PASS","PASS"
"transition-boss-request-from-gate-rejected-1","transition","PASS","PASS","PASS"
"transition-boss-gate-return-prepare-1","transition","PASS","PASS","PASS"
"transition-boss-request-from-prepare-rejected-1","transition","PASS","PASS","PASS"
"transition-reopen-boss-gate-1","transition","PASS","PASS","PASS"
"transition-confirm-manual-boss-1","transition","PASS","PASS","PASS"
"request-initial-phase-1-10","reducer","BossChallengeReady","BossChallengeReady","PASS"
"transition-request-1-10","transition","PASS","PASS","PASS"
"projection-not-null-1-10","projection","True","True","PASS"
"projection-request-id-1-10","projection","req.1-10","req.1-10","PASS"
"projection-chapter-id-1-10","projection","bone_aspect_chapter_1","bone_aspect_chapter_1","PASS"
"projection-stage-id-1-10","projection","1-10","1-10","PASS"
"projection-round-id-1-10","projection","1-10","1-10","PASS"
"projection-boss-flag-1-10","projection","True","True","PASS"
"projection-boss-profile-1-10","projection","bone_aspect_boss_c1_bone_guard","bone_aspect_boss_c1_bone_guard","PASS"
"projection-entry-source-1-10","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-1-10","projection","False","False","PASS"
"projection-dev-1-10","projection","True","True","PASS"
"projection-source-route-1-10","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-1-10","projection","","","PASS"
"projection-source-controller-1-10","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-1-10","transition","PASS","PASS","PASS"
"transition-accept-result-1-10","transition","PASS","PASS","PASS"
"transition-settlement-1-10","transition","PASS","PASS","PASS"
"transition-return-chapter-select-1","transition","PASS","PASS","PASS"
"transition-select-chapter-2","transition","PASS","PASS","PASS"
"transition-enter-prepare-2","transition","PASS","PASS","PASS"
"request-initial-phase-2-1","reducer","Prepare","Prepare","PASS"
"transition-request-2-1","transition","PASS","PASS","PASS"
"projection-not-null-2-1","projection","True","True","PASS"
"projection-request-id-2-1","projection","req.2-1","req.2-1","PASS"
"projection-chapter-id-2-1","projection","bone_aspect_chapter_2","bone_aspect_chapter_2","PASS"
"projection-stage-id-2-1","projection","2-1","2-1","PASS"
"projection-round-id-2-1","projection","2-1","2-1","PASS"
"projection-boss-flag-2-1","projection","False","False","PASS"
"projection-boss-profile-2-1","projection","","","PASS"
"projection-entry-source-2-1","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-2-1","projection","False","False","PASS"
"projection-dev-2-1","projection","True","True","PASS"
"projection-source-route-2-1","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-2-1","projection","","","PASS"
"projection-source-controller-2-1","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-2-1","transition","PASS","PASS","PASS"
"transition-accept-result-2-1","transition","PASS","PASS","PASS"
"transition-settlement-2-1","transition","PASS","PASS","PASS"
"transition-drop-preview-2-1","transition","PASS","PASS","PASS"
"request-initial-phase-2-2","reducer","Prepare","Prepare","PASS"
"transition-request-2-2","transition","PASS","PASS","PASS"
"projection-not-null-2-2","projection","True","True","PASS"
"projection-request-id-2-2","projection","req.2-2","req.2-2","PASS"
"projection-chapter-id-2-2","projection","bone_aspect_chapter_2","bone_aspect_chapter_2","PASS"
"projection-stage-id-2-2","projection","2-2","2-2","PASS"
"projection-round-id-2-2","projection","2-2","2-2","PASS"
"projection-boss-flag-2-2","projection","False","False","PASS"
"projection-boss-profile-2-2","projection","","","PASS"
"projection-entry-source-2-2","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-2-2","projection","False","False","PASS"
"projection-dev-2-2","projection","True","True","PASS"
"projection-source-route-2-2","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-2-2","projection","","","PASS"
"projection-source-controller-2-2","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-2-2","transition","PASS","PASS","PASS"
"transition-accept-result-2-2","transition","PASS","PASS","PASS"
"transition-settlement-2-2","transition","PASS","PASS","PASS"
"transition-drop-preview-2-2","transition","PASS","PASS","PASS"
"request-initial-phase-2-3","reducer","Prepare","Prepare","PASS"
"transition-request-2-3","transition","PASS","PASS","PASS"
"projection-not-null-2-3","projection","True","True","PASS"
"projection-request-id-2-3","projection","req.2-3","req.2-3","PASS"
"projection-chapter-id-2-3","projection","bone_aspect_chapter_2","bone_aspect_chapter_2","PASS"
"projection-stage-id-2-3","projection","2-3","2-3","PASS"
"projection-round-id-2-3","projection","2-3","2-3","PASS"
"projection-boss-flag-2-3","projection","False","False","PASS"
"projection-boss-profile-2-3","projection","","","PASS"
"projection-entry-source-2-3","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-2-3","projection","False","False","PASS"
"projection-dev-2-3","projection","True","True","PASS"
"projection-source-route-2-3","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-2-3","projection","","","PASS"
"projection-source-controller-2-3","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-2-3","transition","PASS","PASS","PASS"
"transition-accept-result-2-3","transition","PASS","PASS","PASS"
"transition-settlement-2-3","transition","PASS","PASS","PASS"
"transition-drop-preview-2-3","transition","PASS","PASS","PASS"
"request-initial-phase-2-4","reducer","Prepare","Prepare","PASS"
"transition-request-2-4","transition","PASS","PASS","PASS"
"projection-not-null-2-4","projection","True","True","PASS"
"projection-request-id-2-4","projection","req.2-4","req.2-4","PASS"
"projection-chapter-id-2-4","projection","bone_aspect_chapter_2","bone_aspect_chapter_2","PASS"
"projection-stage-id-2-4","projection","2-4","2-4","PASS"
"projection-round-id-2-4","projection","2-4","2-4","PASS"
"projection-boss-flag-2-4","projection","False","False","PASS"
"projection-boss-profile-2-4","projection","","","PASS"
"projection-entry-source-2-4","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-2-4","projection","False","False","PASS"
"projection-dev-2-4","projection","True","True","PASS"
"projection-source-route-2-4","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-2-4","projection","","","PASS"
"projection-source-controller-2-4","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-2-4","transition","PASS","PASS","PASS"
"transition-accept-result-2-4","transition","PASS","PASS","PASS"
"transition-settlement-2-4","transition","PASS","PASS","PASS"
"transition-drop-preview-2-4","transition","PASS","PASS","PASS"
"request-initial-phase-2-5","reducer","Prepare","Prepare","PASS"
"transition-request-2-5","transition","PASS","PASS","PASS"
"projection-not-null-2-5","projection","True","True","PASS"
"projection-request-id-2-5","projection","req.2-5","req.2-5","PASS"
"projection-chapter-id-2-5","projection","bone_aspect_chapter_2","bone_aspect_chapter_2","PASS"
"projection-stage-id-2-5","projection","2-5","2-5","PASS"
"projection-round-id-2-5","projection","2-5","2-5","PASS"
"projection-boss-flag-2-5","projection","False","False","PASS"
"projection-boss-profile-2-5","projection","","","PASS"
"projection-entry-source-2-5","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-2-5","projection","False","False","PASS"
"projection-dev-2-5","projection","True","True","PASS"
"projection-source-route-2-5","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-2-5","projection","","","PASS"
"projection-source-controller-2-5","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-2-5","transition","PASS","PASS","PASS"
"transition-accept-result-2-5","transition","PASS","PASS","PASS"
"transition-settlement-2-5","transition","PASS","PASS","PASS"
"transition-drop-preview-2-5","transition","PASS","PASS","PASS"
"request-initial-phase-2-6","reducer","Prepare","Prepare","PASS"
"transition-request-2-6","transition","PASS","PASS","PASS"
"projection-not-null-2-6","projection","True","True","PASS"
"projection-request-id-2-6","projection","req.2-6","req.2-6","PASS"
"projection-chapter-id-2-6","projection","bone_aspect_chapter_2","bone_aspect_chapter_2","PASS"
"projection-stage-id-2-6","projection","2-6","2-6","PASS"
"projection-round-id-2-6","projection","2-6","2-6","PASS"
"projection-boss-flag-2-6","projection","False","False","PASS"
"projection-boss-profile-2-6","projection","","","PASS"
"projection-entry-source-2-6","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-2-6","projection","False","False","PASS"
"projection-dev-2-6","projection","True","True","PASS"
"projection-source-route-2-6","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-2-6","projection","","","PASS"
"projection-source-controller-2-6","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-2-6","transition","PASS","PASS","PASS"
"transition-accept-result-2-6","transition","PASS","PASS","PASS"
"transition-settlement-2-6","transition","PASS","PASS","PASS"
"transition-drop-preview-2-6","transition","PASS","PASS","PASS"
"request-initial-phase-2-7","reducer","Prepare","Prepare","PASS"
"transition-request-2-7","transition","PASS","PASS","PASS"
"projection-not-null-2-7","projection","True","True","PASS"
"projection-request-id-2-7","projection","req.2-7","req.2-7","PASS"
"projection-chapter-id-2-7","projection","bone_aspect_chapter_2","bone_aspect_chapter_2","PASS"
"projection-stage-id-2-7","projection","2-7","2-7","PASS"
"projection-round-id-2-7","projection","2-7","2-7","PASS"
"projection-boss-flag-2-7","projection","False","False","PASS"
"projection-boss-profile-2-7","projection","","","PASS"
"projection-entry-source-2-7","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-2-7","projection","False","False","PASS"
"projection-dev-2-7","projection","True","True","PASS"
"projection-source-route-2-7","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-2-7","projection","","","PASS"
"projection-source-controller-2-7","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-2-7","transition","PASS","PASS","PASS"
"transition-accept-result-2-7","transition","PASS","PASS","PASS"
"transition-settlement-2-7","transition","PASS","PASS","PASS"
"transition-drop-preview-2-7","transition","PASS","PASS","PASS"
"request-initial-phase-2-8","reducer","Prepare","Prepare","PASS"
"transition-request-2-8","transition","PASS","PASS","PASS"
"projection-not-null-2-8","projection","True","True","PASS"
"projection-request-id-2-8","projection","req.2-8","req.2-8","PASS"
"projection-chapter-id-2-8","projection","bone_aspect_chapter_2","bone_aspect_chapter_2","PASS"
"projection-stage-id-2-8","projection","2-8","2-8","PASS"
"projection-round-id-2-8","projection","2-8","2-8","PASS"
"projection-boss-flag-2-8","projection","False","False","PASS"
"projection-boss-profile-2-8","projection","","","PASS"
"projection-entry-source-2-8","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-2-8","projection","False","False","PASS"
"projection-dev-2-8","projection","True","True","PASS"
"projection-source-route-2-8","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-2-8","projection","","","PASS"
"projection-source-controller-2-8","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-2-8","transition","PASS","PASS","PASS"
"transition-accept-result-2-8","transition","PASS","PASS","PASS"
"transition-settlement-2-8","transition","PASS","PASS","PASS"
"transition-drop-preview-2-8","transition","PASS","PASS","PASS"
"request-initial-phase-2-9","reducer","Prepare","Prepare","PASS"
"transition-request-2-9","transition","PASS","PASS","PASS"
"projection-not-null-2-9","projection","True","True","PASS"
"projection-request-id-2-9","projection","req.2-9","req.2-9","PASS"
"projection-chapter-id-2-9","projection","bone_aspect_chapter_2","bone_aspect_chapter_2","PASS"
"projection-stage-id-2-9","projection","2-9","2-9","PASS"
"projection-round-id-2-9","projection","2-9","2-9","PASS"
"projection-boss-flag-2-9","projection","False","False","PASS"
"projection-boss-profile-2-9","projection","","","PASS"
"projection-entry-source-2-9","projection","V04BuildSandbox","V04BuildSandbox","PASS"
"projection-formal-2-9","projection","False","False","PASS"
"projection-dev-2-9","projection","True","True","PASS"
"projection-source-route-2-9","projection","v04_bline_chapter_flow_devonly","v04_bline_chapter_flow_devonly","PASS"
"projection-source-scene-2-9","projection","","","PASS"
"projection-source-controller-2-9","projection","V04ChapterFlowBattleContractProjection","V04ChapterFlowBattleContractProjection","PASS"
"transition-started-2-9","transition","PASS","PASS","PASS"
"transition-accept-result-2-9","transition","PASS","PASS","PASS"
"transition-settlement-2-9","transition","PASS","PASS","PASS"
"transition-drop-preview-2-9","transition","PASS","PASS","PASS"
"transition-open-boss-gate-2","transition","PASS","PASS","PASS"
"transition-boss-request-from-gate-rejected-2","transition","PASS","PASS","PASS"
"transition-boss-gate-return-prepare-2","transition","PASS","PASS","PASS"
"transition-boss-request-from-prepare-rejected-2","transition","PASS","PASS","PASS"
"transition-reopen-boss-gate-2","transition","PASS","PASS","PASS"
"transition-confirm-manual-boss-2","transition","PASS","PASS","PASS"
"request-initial-phase-2-10","reducer","BossChallengeReady","BossChallengeReady","PASS"
"transition-request-2-10","transition","PASS","PASS","PASS"
"projection-not-null-2-10","projection","True","True","PASS"
"projection-request-id-2-10","projection","req.2-10","req.2-10","PASS"
"projection-chapter-id-2-10","projection","bone_aspect_chapter_2","bone_aspect_chapter_2","PASS"
"projection-stage-id-2-10","projection","2-10","2-10","PASS"
"projection-round-id-2-10","projection","2-10","2-10","PASS"
