"rowId","battleTick","rowKind","applicationEventId","applicationSequence","nominalPulseMagnitude","shellDamageApplied","hpDamageApplied","lifecycle","currentHp","shellLayerIndex","currentShell","basicEarned","basicResolved","pendingThresholdCount","latestCue","accepted","rejectionReason"
"NOM-021","31500","BattleApplication","nominal.application.021","21","53","0","53","CoreExposed","583","3","0","5","5","1","Hit","true",""
"NOM-022","33000","BattleApplication","nominal.application.022","22","46","0","46","CoreExposed","537","3","0","5","5","1","Hit","true",""
"NOM-023","35500","BattleApplication","nominal.application.023","23","55","55","0","LayeredShellOn","537","4","145","5","5","1","ShellHit","true",""
"NOM-024","36500","BattleApplication","nominal.application.024","24","76","76","0","LayeredShellOn","537","4","69","6","5","1","ShellHit","true",""
"NOM-025","37500","BattleApplication","nominal.application.025","25","29","29","0","LayeredShellOn","537","4","40","6","5","0","ShellHit","true",""
"NOM-026","39000","BattleApplication","nominal.application.026","26","42","40","2","CoreExposed","535","4","0","6","6","0","Hit","true",""
"NOM-027","40500","BattleApplication","nominal.application.027","27","53","0","53","CoreExposed","482","4","0","6","6","0","Hit","true",""
"NOM-028","42000","BattleApplication","nominal.application.028","28","46","0","46","CoreExposed","436","4","0","7","6","1","Hit","true",""
"NOM-029","43500","BattleApplication","nominal.application.029","29","55","0","55","CoreExposed","381","4","0","7","7","1","Hit","true",""
"NOM-030","46500","BattleApplication","nominal.application.030","30","76","76","0","LayeredShellOn","381","5","124","7","7","1","ShellHit","true",""
"NOM-031","48000","BattleApplication","nominal.application.031","31","29","29","0","LayeredShellOn","381","5","125","7","7","0","ShellHit","true",""
"NOM-032","49500","BattleApplication","nominal.application.032","32","42","42","0","LayeredShellOn","381","5","83","8","7","0","ShellHit","true",""
"NOM-033","51000","BattleApplication","nominal.application.033","33","53","53","0","LayeredShellOn","381","5","30","8","8","0","ShellHit","true",""
"NOM-034","51000","BattleApplication","nominal.application.034","34","46","30","16","CoreExposed","365","5","0","8","8","0","Hit","true",""
"NOM-035","52500","BattleApplication","nominal.application.035","35","55","0","55","CoreExposed","310","5","0","8","8","0","Hit","true",""
"NOM-036","54000","BattleApplication","nominal.application.036","36","76","0","76","CoreExposed","234","5","0","9","8","1","Hit","true",""
"NOM-037","55500","BattleApplication","nominal.application.037","37","29","0","29","CoreExposed","205","5","0","9","9","1","Hit","true",""
"NOM-038","58500","BattleApplication","nominal.application.038","38","42","42","0","LayeredShellOn","205","6","158","9","9","1","ShellHit","true",""
"NOM-039","60000","BattleApplication","nominal.application.039","39","53","53","0","LayeredShellOn","205","6","105","9","9","0","ShellHit","true",""
"NOM-040","61500","BattleApplication","nominal.application.040","40","46","46","0","LayeredShellOn","205","6","59","10","9","0","ShellHit","true",""
"NOM-041","63000","BattleApplication","nominal.application.041","41","55","55","0","LayeredShellOn","205","6","4","10","10","0","ShellHit","true",""
"NOM-042","63000","BattleApplication","nominal.application.042","42","76","4","72","CoreExposed","133","6","0","10","10","1","Hit","true",""
"NOM-043","64500","BattleApplication","nominal.application.043","43","29","0","29","CoreExposed","104","6","0","10","10","1","Hit","true",""
"NOM-044","66000","BattleApplication","nominal.application.044","44","42","0","42","CoreExposed","62","6","0","11","10","1","Hit","true",""
"NOM-045","70500","BattleApplication","nominal.application.045","45","53","53","0","LayeredShellOn","62","7","147","11","11","1","ShellHit","true",""
"NOM-046","71500","BattleApplication","nominal.application.046","46","46","46","0","LayeredShellOn","62","7","101","11","11","1","ShellHit","true",""
"NOM-047","72500","BattleApplication","nominal.application.047","47","55","55","0","LayeredShellOn","62","7","46","11","11","0","ShellHit","true",""
"NOM-048","73500","BattleApplication","nominal.application.048","48","76","46","30","CoreExposed","32","7","0","12","11","0","Hit","true",""
"NOM-049","74100","BattleApplication","nominal.application.049","49","29","0","29","CoreExposed","3","7","0","12","11","0","Hit","true",""
"NOM-050","75000","BattleApplication","nominal.application.050","50","42","0","3","DefeatCandidate","0","7","0","12","12","0","Hit","true",""
