checkId,expected,actual,status
"leak.runtime.forbidden.15","PageState = 0","PageState = 0",PASS
"leak.runtime.forbidden.16","FormationState = 0","FormationState = 0",PASS
"leak.runtime.forbidden.17","Reward = 0","Reward = 0",PASS
"leak.runtime.forbidden.18","SaveData = 0","SaveData = 0",PASS
"leak.runtime.forbidden.19","PlayerPrefs = 0","PlayerPrefs = 0",PASS
"leak.runtime.forbidden.20","V02FormationGridFrame = 0","V02FormationGridFrame = 0",PASS
"leak.runtime.forbidden.21","DamageText = 0","DamageText = 0",PASS
"leak.runtime.forbidden.22","BuildReadiness = 0","BuildReadiness = 0",PASS
"leak.runtime.forbidden.23","requiredCapability = 0","requiredCapability = 0",PASS
"leak.runtime.forbidden.24","hardSolution = 0","hardSolution = 0",PASS
"leak.runtime.forbidden.25","weakness = 0","weakness = 0",PASS
"leak.runtime.forbidden.26","DropBias = 0","DropBias = 0",PASS
"leak.chapter.hardcode","0","0",PASS
"leak.editor.legacy.reader.count","1","1",PASS
"protected.e01e02e03","14/14 unchanged","14/14 unchanged",PASS
"protected.legacy","3/3 unchanged","3/3 unchanged",PASS
"package.expected.files","14/14","14/14",PASS
"package.path.whitelist","PASS","EncounterCompositionPrimitives.cs;EncounterCompositionPrimitives.cs.meta;EncounterCompositionSnapshots.cs;EncounterCompositionSnapshots.cs.meta;EncounterCompositionValidation.cs;EncounterCompositionValidation.cs.meta",PASS
"whitespace.trailing","0","0",PASS
"guid.conflicts","0","0",PASS
