testId,initialPhase,action,expectedPhase,actualPhase,mutationExpectation,accepted,diagnosticCode,result
"accept-result-2-9","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-2-9","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-2-9","DropCandidatePreview","ContinueFromDropCandidatePreview","BossGate","BossGate","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"open-boss-gate-2","BossGate","OpenBossGate","BossGate","BossGate","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"boss-request-from-gate-rejected-2","BossGate","RequestBattle","BossGate","BossGate","UNCHANGED","false","BLINE_FLOW_BOSS_MANUAL_CHALLENGE_REQUIRED","PASS"
"boss-gate-return-prepare-2","BossGate","ReturnToPrepareFromBossGate","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"boss-request-from-prepare-rejected-2","Prepare","RequestBattle","Prepare","Prepare","UNCHANGED","false","BLINE_FLOW_BOSS_MANUAL_CHALLENGE_REQUIRED","PASS"
"reopen-boss-gate-2","Prepare","OpenBossGate","BossGate","BossGate","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"confirm-manual-boss-2","BossGate","ConfirmManualBossChallenge","BossChallengeReady","BossChallengeReady","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-2-10","BossChallengeReady","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-2-10","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-2-10","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-2-10","Settlement","ContinueFromSettlement","ChapterComplete","ChapterComplete","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"return-chapter-select-2","ChapterComplete","ReturnToChapterSelect","ChapterSelect","ChapterSelect","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"select-chapter-3","ChapterSelect","SelectChapter","ChapterSelect","ChapterSelect","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"enter-prepare-3","ChapterSelect","EnterPrepare","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-3-1","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-3-1","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-3-1","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-3-1","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-3-1","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-3-2","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-3-2","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-3-2","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-3-2","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-3-2","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-3-3","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-3-3","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-3-3","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-3-3","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-3-3","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-3-4","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-3-4","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-3-4","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-3-4","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-3-4","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-3-5","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-3-5","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-3-5","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-3-5","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-3-5","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-3-6","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-3-6","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-3-6","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-3-6","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-3-6","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-3-7","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-3-7","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-3-7","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-3-7","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-3-7","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-3-8","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-3-8","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-3-8","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-3-8","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-3-8","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-3-9","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-3-9","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-3-9","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-3-9","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-3-9","DropCandidatePreview","ContinueFromDropCandidatePreview","BossGate","BossGate","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"open-boss-gate-3","BossGate","OpenBossGate","BossGate","BossGate","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"boss-request-from-gate-rejected-3","BossGate","RequestBattle","BossGate","BossGate","UNCHANGED","false","BLINE_FLOW_BOSS_MANUAL_CHALLENGE_REQUIRED","PASS"
"boss-gate-return-prepare-3","BossGate","ReturnToPrepareFromBossGate","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"boss-request-from-prepare-rejected-3","Prepare","RequestBattle","Prepare","Prepare","UNCHANGED","false","BLINE_FLOW_BOSS_MANUAL_CHALLENGE_REQUIRED","PASS"
"reopen-boss-gate-3","Prepare","OpenBossGate","BossGate","BossGate","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"confirm-manual-boss-3","BossGate","ConfirmManualBossChallenge","BossChallengeReady","BossChallengeReady","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-3-10","BossChallengeReady","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-3-10","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-3-10","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-3-10","Settlement","ContinueFromSettlement","ChapterComplete","ChapterComplete","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"return-chapter-select-3","ChapterComplete","ReturnToChapterSelect","ChapterSelect","ChapterSelect","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"select-chapter-4","ChapterSelect","SelectChapter","ChapterSelect","ChapterSelect","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"enter-prepare-4","ChapterSelect","EnterPrepare","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"request-4-1","Prepare","RequestBattle","BattleRequested","BattleRequested","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"started-4-1","BattleRequested","ConfirmBattleStarted","BattleRunning","BattleRunning","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"accept-result-4-1","BattleRunning","AcceptBattleResult","Settlement","Settlement","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"settlement-4-1","Settlement","ContinueFromSettlement","DropCandidatePreview","DropCandidatePreview","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
"drop-preview-4-1","DropCandidatePreview","ContinueFromDropCandidatePreview","Prepare","Prepare","CHANGED","true","BLINE_FLOW_ACCEPTED","PASS"
