modifierId,baseItemId,rarityVersionKey,sourceKind,sourceCellScope,sourceCellId,targetKind,targetId,targetParameterKey,operation,rawUnits,unitKey,formattedDelta,stackingPolicy,dataMaturity
"array_candidate_i003_orange_stat","I003","I003@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",5,"point","+5点","Additive","BALANCE_CANDIDATE"
"array_candidate_i003_purple_qileibuildstage","I003","I003@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i003_white_randomaffix","I003","I003@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",100,"basisPoint","+1%","Additive","BALANCE_CANDIDATE"
"array_candidate_i004_blue_qileibuildstage","I004","I004@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i004_green_famenbuildstage","I004","I004@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:2","buildStagePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i004_orange_signature","I004","I004@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i004","signaturePayload","AddFlat",400,"basisPoint","+4%","Additive","BALANCE_CANDIDATE"
"array_candidate_i004_purple_stat","I004","I004@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",4,"point","+4点","Additive","BALANCE_CANDIDATE"
"array_candidate_i004_white_coreeffect","I004","I004@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i004_01","corePayload","AddPercent",150,"basisPoint","+1.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i005_blue_stat","I005","I005@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",3,"point","+3点","Additive","BALANCE_CANDIDATE"
"array_candidate_i005_green_qileibuildstage","I005","I005@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:2","buildStagePayload","ExtraTarget",1,"count","+1次","Additive","BALANCE_CANDIDATE"
"array_candidate_i005_orange_randomaffix","I005","I005@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i005_purple_signature","I005","I005@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i005","signaturePayload","AddFlat",350,"basisPoint","+3.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i005_white_famenbuildstage","I005","I005@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:2","buildStagePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i006_blue_signature","I006","I006@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i006","signaturePayload","AddFlat",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i006_green_stat","I006","I006@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",2,"point","+2点","Additive","BALANCE_CANDIDATE"
"array_candidate_i006_orange_coreeffect","I006","I006@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i006_04","corePayload","AddPercent",350,"basisPoint","+3.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i006_purple_randomaffix","I006","I006@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",175,"basisPoint","+1.75%","Additive","BALANCE_CANDIDATE"
"array_candidate_i006_white_qileibuildstage","I006","I006@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:2","buildStagePayload","ExtraTarget",1,"count","+1次","Additive","BALANCE_CANDIDATE"
"array_candidate_i007_blue_randomaffix","I007","I007@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",150,"basisPoint","+1.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i007_green_signature","I007","I007@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i007","signaturePayload","AddFlat",250,"basisPoint","+2.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i007_orange_famenbuildstage","I007","I007@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:6","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i007_purple_coreeffect","I007","I007@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i007_04","corePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i007_white_stat","I007","I007@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",1,"point","+1点","Additive","BALANCE_CANDIDATE"
"array_candidate_i008_blue_coreeffect","I008","I008@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i008_03","corePayload","AddPercent",250,"basisPoint","+2.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i008_green_randomaffix","I008","I008@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",125,"basisPoint","+1.25%","Additive","BALANCE_CANDIDATE"
"array_candidate_i008_orange_qileibuildstage","I008","I008@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i008_purple_famenbuildstage","I008","I008@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:4","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i008_white_signature","I008","I008@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i008","signaturePayload","AddFlat",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i009_blue_famenbuildstage","I009","I009@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:4","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i009_green_coreeffect","I009","I009@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i009_02","corePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i009_orange_stat","I009","I009@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",5,"point","+5点","Additive","BALANCE_CANDIDATE"
"array_candidate_i009_purple_qileibuildstage","I009","I009@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i009_white_randomaffix","I009","I009@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",100,"basisPoint","+1%","Additive","BALANCE_CANDIDATE"
"array_candidate_i010_blue_qileibuildstage","I010","I010@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i010_green_famenbuildstage","I010","I010@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:2","buildStagePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i010_orange_signature","I010","I010@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i010","signaturePayload","AddFlat",400,"basisPoint","+4%","Additive","BALANCE_CANDIDATE"
"array_candidate_i010_purple_stat","I010","I010@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",4,"point","+4点","Additive","BALANCE_CANDIDATE"
"array_candidate_i010_white_coreeffect","I010","I010@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i010_01","corePayload","AddPercent",150,"basisPoint","+1.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i011_blue_stat","I011","I011@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",3,"point","+3点","Additive","BALANCE_CANDIDATE"
"array_candidate_i011_green_qileibuildstage","I011","I011@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:2","buildStagePayload","ExtraTarget",1,"count","+1次","Additive","BALANCE_CANDIDATE"
"array_candidate_i011_orange_randomaffix","I011","I011@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i011_purple_signature","I011","I011@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i011","signaturePayload","AddFlat",350,"basisPoint","+3.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i011_white_famenbuildstage","I011","I011@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:2","buildStagePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i012_blue_signature","I012","I012@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i012","signaturePayload","AddFlat",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i012_green_stat","I012","I012@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",2,"point","+2点","Additive","BALANCE_CANDIDATE"
"array_candidate_i012_orange_coreeffect","I012","I012@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i012_04","corePayload","AddPercent",350,"basisPoint","+3.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i012_purple_randomaffix","I012","I012@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",175,"basisPoint","+1.75%","Additive","BALANCE_CANDIDATE"
"array_candidate_i012_white_qileibuildstage","I012","I012@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:2","buildStagePayload","ExtraTarget",1,"count","+1次","Additive","BALANCE_CANDIDATE"
"array_candidate_i013_blue_randomaffix","I013","I013@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",150,"basisPoint","+1.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i013_green_signature","I013","I013@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i013","signaturePayload","AddFlat",250,"basisPoint","+2.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i013_orange_famenbuildstage","I013","I013@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:6","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i013_purple_coreeffect","I013","I013@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i013_04","corePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i013_white_stat","I013","I013@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",1,"point","+1点","Additive","BALANCE_CANDIDATE"
"array_candidate_i014_blue_coreeffect","I014","I014@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i014_03","corePayload","AddPercent",250,"basisPoint","+2.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i014_green_randomaffix","I014","I014@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",125,"basisPoint","+1.25%","Additive","BALANCE_CANDIDATE"
"array_candidate_i014_orange_qileibuildstage","I014","I014@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i014_purple_famenbuildstage","I014","I014@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:4","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i014_white_signature","I014","I014@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i014","signaturePayload","AddFlat",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i015_blue_famenbuildstage","I015","I015@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:4","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i015_green_coreeffect","I015","I015@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i015_02","corePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i015_orange_stat","I015","I015@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",5,"point","+5点","Additive","BALANCE_CANDIDATE"
"array_candidate_i015_purple_qileibuildstage","I015","I015@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i015_white_randomaffix","I015","I015@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",100,"basisPoint","+1%","Additive","BALANCE_CANDIDATE"
"array_candidate_i016_blue_qileibuildstage","I016","I016@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i016_green_famenbuildstage","I016","I016@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:2","buildStagePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i016_orange_signature","I016","I016@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i016","signaturePayload","AddFlat",400,"basisPoint","+4%","Additive","BALANCE_CANDIDATE"
"array_candidate_i016_purple_stat","I016","I016@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",4,"point","+4点","Additive","BALANCE_CANDIDATE"
"array_candidate_i016_white_coreeffect","I016","I016@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i016_01","corePayload","AddPercent",150,"basisPoint","+1.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i017_blue_stat","I017","I017@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",3,"point","+3点","Additive","BALANCE_CANDIDATE"
"array_candidate_i017_green_qileibuildstage","I017","I017@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:2","buildStagePayload","ExtraTarget",1,"count","+1次","Additive","BALANCE_CANDIDATE"
"array_candidate_i017_orange_randomaffix","I017","I017@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i017_purple_signature","I017","I017@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i017","signaturePayload","AddFlat",350,"basisPoint","+3.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i017_white_famenbuildstage","I017","I017@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:2","buildStagePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i018_blue_signature","I018","I018@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i018","signaturePayload","AddFlat",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i018_green_stat","I018","I018@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",2,"point","+2点","Additive","BALANCE_CANDIDATE"
"array_candidate_i018_orange_coreeffect","I018","I018@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i018_04","corePayload","AddPercent",350,"basisPoint","+3.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i018_purple_randomaffix","I018","I018@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",175,"basisPoint","+1.75%","Additive","BALANCE_CANDIDATE"
"array_candidate_i018_white_qileibuildstage","I018","I018@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:2","buildStagePayload","ExtraTarget",1,"count","+1次","Additive","BALANCE_CANDIDATE"
"array_candidate_i019_blue_randomaffix","I019","I019@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",150,"basisPoint","+1.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i019_green_signature","I019","I019@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i019","signaturePayload","AddFlat",250,"basisPoint","+2.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i019_orange_famenbuildstage","I019","I019@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:6","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i019_purple_coreeffect","I019","I019@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i019_04","corePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i019_white_stat","I019","I019@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",1,"point","+1点","Additive","BALANCE_CANDIDATE"
"array_candidate_i020_blue_coreeffect","I020","I020@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i020_03","corePayload","AddPercent",250,"basisPoint","+2.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i020_green_randomaffix","I020","I020@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",125,"basisPoint","+1.25%","Additive","BALANCE_CANDIDATE"
"array_candidate_i020_orange_qileibuildstage","I020","I020@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i020_purple_famenbuildstage","I020","I020@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:4","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i020_white_signature","I020","I020@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i020","signaturePayload","AddFlat",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i021_blue_famenbuildstage","I021","I021@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:4","buildStagePayload","AddPercent",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i021_green_coreeffect","I021","I021@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i021_02","corePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i021_orange_stat","I021","I021@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",5,"point","+5点","Additive","BALANCE_CANDIDATE"
"array_candidate_i021_purple_qileibuildstage","I021","I021@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i021_white_randomaffix","I021","I021@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",100,"basisPoint","+1%","Additive","BALANCE_CANDIDATE"
"array_candidate_i022_blue_qileibuildstage","I022","I022@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:4","buildStagePayload","ExtraTarget",2,"count","+2次","Additive","BALANCE_CANDIDATE"
"array_candidate_i022_green_famenbuildstage","I022","I022@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:2","buildStagePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i022_orange_signature","I022","I022@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i022","signaturePayload","AddFlat",400,"basisPoint","+4%","Additive","BALANCE_CANDIDATE"
"array_candidate_i022_purple_stat","I022","I022@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",4,"point","+4点","Additive","BALANCE_CANDIDATE"
"array_candidate_i022_white_coreeffect","I022","I022@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i022_01","corePayload","AddPercent",150,"basisPoint","+1.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i023_blue_stat","I023","I023@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",3,"point","+3点","Additive","BALANCE_CANDIDATE"
"array_candidate_i023_green_qileibuildstage","I023","I023@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:2","buildStagePayload","ExtraTarget",1,"count","+1次","Additive","BALANCE_CANDIDATE"
"array_candidate_i023_orange_randomaffix","I023","I023@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i023_purple_signature","I023","I023@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i023","signaturePayload","AddFlat",350,"basisPoint","+3.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i023_white_famenbuildstage","I023","I023@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","FaMenBuildStage","famen:stage:2","buildStagePayload","AddPercent",200,"basisPoint","+2%","Additive","BALANCE_CANDIDATE"
"array_candidate_i024_blue_signature","I024","I024@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i024","signaturePayload","AddFlat",300,"basisPoint","+3%","Additive","BALANCE_CANDIDATE"
"array_candidate_i024_green_stat","I024","I024@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","Stat","primaryStat","rawUnits","AddFlat",2,"point","+2点","Additive","BALANCE_CANDIDATE"
"array_candidate_i024_orange_coreeffect","I024","I024@orange","ArrayBonus","AnyArrayBonusCell","AP_ANY","CoreEffect","candidate_core_i024_04","corePayload","AddPercent",350,"basisPoint","+3.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i024_purple_randomaffix","I024","I024@purple","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",175,"basisPoint","+1.75%","Additive","BALANCE_CANDIDATE"
"array_candidate_i024_white_qileibuildstage","I024","I024@white","ArrayBonus","AnyArrayBonusCell","AP_ANY","QiLeiBuildStage","qilei:stage:2","buildStagePayload","ExtraTarget",1,"count","+1次","Additive","BALANCE_CANDIDATE"
"array_candidate_i025_blue_randomaffix","I025","I025@blue","ArrayBonus","AnyArrayBonusCell","AP_ANY","RandomAffix","randomAffix:0","affixPayload","AddFlat",150,"basisPoint","+1.5%","Additive","BALANCE_CANDIDATE"
"array_candidate_i025_green_signature","I025","I025@green","ArrayBonus","AnyArrayBonusCell","AP_ANY","Signature","signature_i025","signaturePayload","AddFlat",250,"basisPoint","+2.5%","Additive","BALANCE_CANDIDATE"
