path,sha256,length
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I010.asset",ea0d0a577c437d6a3cfb29a7bd4d6fb8b2b58e78865a16072e0f089046adf165,17886
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I011.asset",f40657707d94d2ac1a7f433beb6273983d8507c5b0d82c283baa68c9fe4e649d,17824
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I012.asset",f11cde87251c22fffd23be2023c881151a0a47f70bbc2fcdf443df04f895fb67,17810
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I013.asset",2dca1df6fbfa8a5367d982434843dbd58dc9de1fd9f356a7941eaa6b6ca9fa52,17684
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I014.asset",f7886bf583f2224a304b1aa63076fc222e8c2d2de91fd018c21682852a53e009,17969
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I015.asset",03cc1ada7ea9306b925283c503e6302d0df5d97136b0b2e68dadfda3ea70ba04,18032
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I016.asset",fdb7c765f0a9a2c274242d4eeba1eca19e12760604805c39da7b9ba22aa26d05,18026
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I017.asset",e0ac9d25e6f858b1e551b18dbfef9f5419ae1aa346b6c264108990c3eeeca5a7,18267
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I018.asset",a40f43fc0c1543621af816283fe116089e412b31e8e043e9d8d8d186239dd3f4,17893
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I019.asset",b5ff2c4b4790904e218f6407910715f256c00e56c1e9471340555ac8367e3c47,17757
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I020.asset",6dad4c085e16565cf0b9061e2f079d0dde9a4535afbaff8a5b61549debdea9ce,17893
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I021.asset",66a30a5f32e77550d42dde1cd5affdc8176d69077aee497dce2c6ace74ad3455,17975
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I022.asset",ad18bdd6604f5aec7984c61b1717322d185ef3fb9d804b682d9de1a45965579a,17920
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I023.asset",b4b3b0c07aa14692c4de053b73494b2c18b5baf6f5960bd6b23acadf6a47af93,17955
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I024.asset",8bc260a2bc79b2cc50ef225422df084c51982a5d52db28cf8207feddf5954e44,17685
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I025.asset",218fbea81e9a9dd2d367c7c4dba6bc336f17e437a7cd62b5a0a03f1b48f41e94,17675
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I026.asset",abace029b30d988ea05b963195ad1d3844e4d22601281a5ac3a8343d0a65311f,17942
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I027.asset",469ff50e86f210cce55d463d39e5500a49551577246ee4921f9481a835ff190d,18184
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I028.asset",68689594dbbfb47145f8337f1a668620332e41d01969e93d285e0127816c6974,17745
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I029.asset",f2727e712650f901b1c16670a8602888f61fd9d2b646362500aef75088cc0c27,17815
"F:\Porject\TalismanBagBrawl\Assets\_Game\Configs\ItemBalanceWorkbench\Profiles\ItemBalanceProfile_I030.asset",34bbb27aa480c7d642544d6d26a7ac576a9e680ec239140b403061e1b1cc52fe,17739
