caseId,baseItemId,rarityKey,itemInstanceId,ordinaryEligible,coreProgressionItem,rarityVersionKey,generationVersion,rootSeed,expectedValid,actualValid,validationCode,canonicalSignatureStable,passed
version-108,I022,blue,QA-I022-blue,true,false,I022@blue,1,100107,true,true,NONE,true,true
version-109,I022,purple,QA-I022-purple,true,false,I022@purple,1,100108,true,true,NONE,true,true
version-110,I022,orange,QA-I022-orange,true,false,I022@orange,1,100109,true,true,NONE,true,true
version-111,I023,white,QA-I023-white,true,false,I023@white,1,100110,true,true,NONE,true,true
version-112,I023,green,QA-I023-green,true,false,I023@green,1,100111,true,true,NONE,true,true
version-113,I023,blue,QA-I023-blue,true,false,I023@blue,1,100112,true,true,NONE,true,true
version-114,I023,purple,QA-I023-purple,true,false,I023@purple,1,100113,true,true,NONE,true,true
version-115,I023,orange,QA-I023-orange,true,false,I023@orange,1,100114,true,true,NONE,true,true
version-116,I024,white,QA-I024-white,true,false,I024@white,1,100115,true,true,NONE,true,true
version-117,I024,green,QA-I024-green,true,false,I024@green,1,100116,true,true,NONE,true,true
version-118,I024,blue,QA-I024-blue,true,false,I024@blue,1,100117,true,true,NONE,true,true
version-119,I024,purple,QA-I024-purple,true,false,I024@purple,1,100118,true,true,NONE,true,true
version-120,I024,orange,QA-I024-orange,true,false,I024@orange,1,100119,true,true,NONE,true,true
version-121,I025,white,QA-I025-white,true,false,I025@white,1,100120,true,true,NONE,true,true
version-122,I025,green,QA-I025-green,true,false,I025@green,1,100121,true,true,NONE,true,true
version-123,I025,blue,QA-I025-blue,true,false,I025@blue,1,100122,true,true,NONE,true,true
version-124,I025,purple,QA-I025-purple,true,false,I025@purple,1,100123,true,true,NONE,true,true
version-125,I025,orange,QA-I025-orange,true,false,I025@orange,1,100124,true,true,NONE,true,true
version-126,I026,white,QA-I026-white,true,false,I026@white,1,100125,true,true,NONE,true,true
version-127,I026,green,QA-I026-green,true,false,I026@green,1,100126,true,true,NONE,true,true
version-128,I026,blue,QA-I026-blue,true,false,I026@blue,1,100127,true,true,NONE,true,true
version-129,I026,purple,QA-I026-purple,true,false,I026@purple,1,100128,true,true,NONE,true,true
version-130,I026,orange,QA-I026-orange,true,false,I026@orange,1,100129,true,true,NONE,true,true
version-131,I027,white,QA-I027-white,true,false,I027@white,1,100130,true,true,NONE,true,true
version-132,I027,green,QA-I027-green,true,false,I027@green,1,100131,true,true,NONE,true,true
version-133,I027,blue,QA-I027-blue,true,false,I027@blue,1,100132,true,true,NONE,true,true
version-134,I027,purple,QA-I027-purple,true,false,I027@purple,1,100133,true,true,NONE,true,true
version-135,I027,orange,QA-I027-orange,true,false,I027@orange,1,100134,true,true,NONE,true,true
version-136,I028,white,QA-I028-white,true,false,I028@white,1,100135,true,true,NONE,true,true
version-137,I028,green,QA-I028-green,true,false,I028@green,1,100136,true,true,NONE,true,true
version-138,I028,blue,QA-I028-blue,true,false,I028@blue,1,100137,true,true,NONE,true,true
version-139,I028,purple,QA-I028-purple,true,false,I028@purple,1,100138,true,true,NONE,true,true
version-140,I028,orange,QA-I028-orange,true,false,I028@orange,1,100139,true,true,NONE,true,true
version-141,I029,white,QA-I029-white,true,false,I029@white,1,100140,true,true,NONE,true,true
version-142,I029,green,QA-I029-green,true,false,I029@green,1,100141,true,true,NONE,true,true
version-143,I029,blue,QA-I029-blue,true,false,I029@blue,1,100142,true,true,NONE,true,true
version-144,I029,purple,QA-I029-purple,true,false,I029@purple,1,100143,true,true,NONE,true,true
version-145,I029,orange,QA-I029-orange,true,false,I029@orange,1,100144,true,true,NONE,true,true
version-146,I030,white,QA-I030-white,true,false,I030@white,1,100145,true,true,NONE,true,true
version-147,I030,green,QA-I030-green,true,false,I030@green,1,100146,true,true,NONE,true,true
version-148,I030,blue,QA-I030-blue,true,false,I030@blue,1,100147,true,true,NONE,true,true
version-149,I030,purple,QA-I030-purple,true,false,I030@purple,1,100148,true,true,NONE,true,true
version-150,I030,orange,QA-I030-orange,true,false,I030@orange,1,100149,true,true,NONE,true,true
multi-instance-a,I001,white,INSTANCE-A,true,false,I001@white,1,42,true,true,NONE,true,true
multi-instance-b,I001,white,INSTANCE-B,true,false,I001@white,1,42,true,true,NONE,true,true
exclude-i031,I031,green,INSTANCE-I031,false,true,I031@green,1,7,false,false,BASE_ITEM_NOT_ORDINARY,true,true
generation-version-zero,I001,white,INSTANCE-GEN0,true,false,I001@white,0,7,false,false,GENERATION_VERSION_INVALID,true,true
empty-instance-id,I001,white,,true,false,I001@white,1,7,false,false,ITEM_INSTANCE_ID_EMPTY,true,true
empty-base-item-id,,white,INSTANCE-NOBASE,false,false,@white,1,7,false,false,BASE_ITEM_ID_EMPTY,true,true
unknown-base-item-id,I999,white,INSTANCE-UNKNOWN,false,false,I999@white,1,7,false,false,BASE_ITEM_UNKNOWN,true,true
legacy-rarity-key,I001,bai,INSTANCE-LEGACY,true,false,,1,7,false,false,RARITY_KEY_INVALID,true,true
instance-equals-base,I001,white,I001,true,false,I001@white,1,7,false,false,INSTANCE_ID_EQUALS_BASE_ITEM_ID,true,true
