entityType,ownerId,entityId,role,matchMode,referenceKind,referenceId,value,playerKey,developerOnly,nonFormalTuning
"Pressure","dev_boss_spirit_thief_core","dev_boss_spirit_thief_core","","","","","","enemy.pressure.spirit_core.label","false","false"
"Channel","dev_boss_spirit_thief_core","pressure.cast_interrupt","","","PressureChannel","pressure.cast_interrupt","5000","","true","true"
"Channel","dev_boss_spirit_thief_core","pressure.resource_disruption","","","PressureChannel","pressure.resource_disruption","5000","","true","true"
"RequirementGroup","dev_boss_spirit_thief_core","dev_boss_spirit_thief_core.required","Required","All","","","","","true","true"
"Requirement","dev_boss_spirit_thief_core","dev_boss_spirit_thief_core.required","Required","All","BuildCapability","capability.burst_window","6038","","true","true"
"Requirement","dev_boss_spirit_thief_core","dev_boss_spirit_thief_core.required","Required","All","BuildCapability","capability.control_power","4910","","true","true"
"Requirement","dev_boss_spirit_thief_core","dev_boss_spirit_thief_core.required","Required","All","BuildCapability","capability.energy_stability","5553","","true","true"
"Pressure","dev_enemy_caster_problem","dev_enemy_caster_problem","","","","","","enemy.pressure.caster.label","false","false"
"Channel","dev_enemy_caster_problem","pressure.cast_interrupt","","","PressureChannel","pressure.cast_interrupt","10000","","true","true"
"RequirementGroup","dev_enemy_caster_problem","dev_enemy_caster_problem.recommended","Recommended","Any","","","","","true","true"
"Requirement","dev_enemy_caster_problem","dev_enemy_caster_problem.recommended","Recommended","Any","BuildCapability","capability.burst_window","4001","","true","true"
"Requirement","dev_enemy_caster_problem","dev_enemy_caster_problem.recommended","Recommended","Any","BuildCapability","capability.cleanse_power","3367","","true","true"
"RequirementGroup","dev_enemy_caster_problem","dev_enemy_caster_problem.required","Required","All","","","","","true","true"
"Requirement","dev_enemy_caster_problem","dev_enemy_caster_problem.required","Required","All","BuildCapability","capability.control_power","4384","","true","true"
"Requirement","dev_enemy_caster_problem","dev_enemy_caster_problem.required","Required","All","BuildCapability","capability.interrupt_timing","5971","","true","true"
"Pressure","dev_enemy_formation_eye_problem","dev_enemy_formation_eye_problem","","","","","","enemy.pressure.formation_eye.label","false","false"
"Channel","dev_enemy_formation_eye_problem","pressure.placement_formation","","","PressureChannel","pressure.placement_formation","10000","","true","true"
"RequirementGroup","dev_enemy_formation_eye_problem","dev_enemy_formation_eye_problem.recommended","Recommended","Any","","","","","true","true"
"Requirement","dev_enemy_formation_eye_problem","dev_enemy_formation_eye_problem.recommended","Recommended","Any","BuildCapability","capability.control_power","2871","","true","true"
"Requirement","dev_enemy_formation_eye_problem","dev_enemy_formation_eye_problem.recommended","Recommended","Any","BuildCapability","capability.guard_power","3283","","true","true"
"RequirementGroup","dev_enemy_formation_eye_problem","dev_enemy_formation_eye_problem.required","Required","All","","","","","true","true"
"Requirement","dev_enemy_formation_eye_problem","dev_enemy_formation_eye_problem.required","Required","All","BuildCapability","capability.energy_stability","5545","","true","true"
"Requirement","dev_enemy_formation_eye_problem","dev_enemy_formation_eye_problem.required","Required","All","BuildCapability","capability.placement_shape","5340","","true","true"
"Pressure","dev_enemy_poison_burn_problem","dev_enemy_poison_burn_problem","","","","","","enemy.pressure.status.label","false","false"
"Channel","dev_enemy_poison_burn_problem","pressure.status_damage","","","PressureChannel","pressure.status_damage","10000","","true","true"
"RequirementGroup","dev_enemy_poison_burn_problem","dev_enemy_poison_burn_problem.recommended","Recommended","Any","","","","","true","true"
"Requirement","dev_enemy_poison_burn_problem","dev_enemy_poison_burn_problem.recommended","Recommended","Any","BuildCapability","capability.energy_stability","3200","","true","true"
"Requirement","dev_enemy_poison_burn_problem","dev_enemy_poison_burn_problem.recommended","Recommended","Any","BuildCapability","capability.guard_power","3387","","true","true"
"RequirementGroup","dev_enemy_poison_burn_problem","dev_enemy_poison_burn_problem.required","Required","All","","","","","true","true"
"Requirement","dev_enemy_poison_burn_problem","dev_enemy_poison_burn_problem.required","Required","All","BuildCapability","capability.cleanse_power","4330","","true","true"
"Requirement","dev_enemy_poison_burn_problem","dev_enemy_poison_burn_problem.required","Required","All","BuildCapability","capability.debuff_counter","5083","","true","true"
"Pressure","dev_enemy_polluted_tile_problem","dev_enemy_polluted_tile_problem","","","","","","enemy.pressure.polluted_tile.label","false","false"
"Channel","dev_enemy_polluted_tile_problem","pressure.placement_formation","","","PressureChannel","pressure.placement_formation","10000","","true","true"
"RequirementGroup","dev_enemy_polluted_tile_problem","dev_enemy_polluted_tile_problem.recommended","Recommended","Any","","","","","true","true"
"Requirement","dev_enemy_polluted_tile_problem","dev_enemy_polluted_tile_problem.recommended","Recommended","Any","BuildCapability","capability.energy_stability","2973","","true","true"
"Requirement","dev_enemy_polluted_tile_problem","dev_enemy_polluted_tile_problem.recommended","Recommended","Any","BuildCapability","capability.guard_power","3243","","true","true"
"RequirementGroup","dev_enemy_polluted_tile_problem","dev_enemy_polluted_tile_problem.required","Required","All","","","","","true","true"
"Requirement","dev_enemy_polluted_tile_problem","dev_enemy_polluted_tile_problem.required","Required","All","BuildCapability","capability.cleanse_power","5523","","true","true"
"Requirement","dev_enemy_polluted_tile_problem","dev_enemy_polluted_tile_problem.required","Required","All","BuildCapability","capability.placement_shape","5383","","true","true"
"Pressure","dev_enemy_seal_problem","dev_enemy_seal_problem","","","","","","enemy.pressure.seal.label","false","false"
"Channel","dev_enemy_seal_problem","pressure.seal_control","","","PressureChannel","pressure.seal_control","10000","","true","true"
"RequirementGroup","dev_enemy_seal_problem","dev_enemy_seal_problem.recommended","Recommended","Any","","","","","true","true"
"Requirement","dev_enemy_seal_problem","dev_enemy_seal_problem.recommended","Recommended","Any","BuildCapability","capability.burst_window","2802","","true","true"
"Requirement","dev_enemy_seal_problem","dev_enemy_seal_problem.recommended","Recommended","Any","BuildCapability","capability.guard_power","3728","","true","true"
"RequirementGroup","dev_enemy_seal_problem","dev_enemy_seal_problem.required","Required","All","","","","","true","true"
"Requirement","dev_enemy_seal_problem","dev_enemy_seal_problem.required","Required","All","BuildCapability","capability.cleanse_power","5572","","true","true"
"Requirement","dev_enemy_seal_problem","dev_enemy_seal_problem.required","Required","All","BuildCapability","capability.control_power","5873","","true","true"
"Pressure","dev_enemy_spirit_thief_problem","dev_enemy_spirit_thief_problem","","","","","","enemy.pressure.spirit_thief.label","false","false"
"Channel","dev_enemy_spirit_thief_problem","pressure.resource_disruption","","","PressureChannel","pressure.resource_disruption","10000","","true","true"
"RequirementGroup","dev_enemy_spirit_thief_problem","dev_enemy_spirit_thief_problem.recommended","Recommended","Any","","","","","true","true"
"Requirement","dev_enemy_spirit_thief_problem","dev_enemy_spirit_thief_problem.recommended","Recommended","Any","BuildCapability","capability.control_power","2997","","true","true"
"Requirement","dev_enemy_spirit_thief_problem","dev_enemy_spirit_thief_problem.recommended","Recommended","Any","BuildCapability","capability.placement_shape","2884","","true","true"
"RequirementGroup","dev_enemy_spirit_thief_problem","dev_enemy_spirit_thief_problem.required","Required","All","","","","","true","true"
"Requirement","dev_enemy_spirit_thief_problem","dev_enemy_spirit_thief_problem.required","Required","All","BuildCapability","capability.energy_stability","4673","","true","true"
"Requirement","dev_enemy_spirit_thief_problem","dev_enemy_spirit_thief_problem.required","Required","All","BuildCapability","capability.spirit_lock","4931","","true","true"
"PressureSource","dev_boss_black_furnace_complex_eye","dev_boss_black_furnace_complex_eye","","","MechanicProfile","dev_boss_black_furnace_complex_eye","","","true","false"
"PressureSource","dev_boss_bronze_formation_general","dev_boss_bronze_formation_general","","","MechanicProfile","dev_boss_bronze_formation_general","","","true","false"
"PressureSource","dev_boss_dirty_dream_mother","dev_boss_dirty_dream_mother","","","MechanicProfile","dev_boss_dirty_dream_mother","","","true","false"
"PressureSource","dev_boss_spirit_thief_core","dev_boss_spirit_thief_core","","","MechanicProfile","dev_boss_spirit_thief_core","","","true","false"
"PressureSource","dev_enemy_caster_problem","dev_enemy_caster_problem","","","MechanicProfile","dev_enemy_caster_problem","","","true","false"
"PressureSource","dev_enemy_formation_eye_problem","dev_enemy_formation_eye_problem","","","MechanicProfile","dev_enemy_formation_eye_problem","","","true","false"
"PressureSource","dev_enemy_poison_burn_problem","dev_enemy_poison_burn_problem","","","MechanicProfile","dev_enemy_poison_burn_problem","","","true","false"
"PressureSource","dev_enemy_polluted_tile_problem","dev_enemy_polluted_tile_problem","","","MechanicProfile","dev_enemy_polluted_tile_problem","","","true","false"
"PressureSource","dev_enemy_seal_problem","dev_enemy_seal_problem","","","MechanicProfile","dev_enemy_seal_problem","","","true","false"
"PressureSource","dev_enemy_spirit_thief_problem","dev_enemy_spirit_thief_problem","","","MechanicProfile","dev_enemy_spirit_thief_problem","","","true","false"
"PressureSource","dev_boss_black_furnace_complex_eye","dev_map_bluestone_crack","","","MapRule","dev_map_bluestone_crack","","","true","false"
"PressureSource","dev_enemy_formation_eye_problem","dev_map_bluestone_crack","","","MapRule","dev_map_bluestone_crack","","","true","false"
"PressureSource","dev_enemy_spirit_thief_problem","dev_map_bluestone_crack","","","MapRule","dev_map_bluestone_crack","","","true","false"
"PressureSource","dev_boss_dirty_dream_mother","dev_map_bluestone_damp","","","MapRule","dev_map_bluestone_damp","","","true","false"
"PressureSource","dev_enemy_poison_burn_problem","dev_map_bluestone_damp","","","MapRule","dev_map_bluestone_damp","","","true","false"
"PressureSource","dev_enemy_polluted_tile_problem","dev_map_bluestone_damp","","","MapRule","dev_map_bluestone_damp","","","true","false"
"PressureSource","dev_boss_bronze_formation_general","dev_map_copper_bell_night","","","MapRule","dev_map_copper_bell_night","","","true","false"
"PressureSource","dev_enemy_caster_problem","dev_map_copper_bell_night","","","MapRule","dev_map_copper_bell_night","","","true","false"
"PressureSource","dev_enemy_seal_problem","dev_map_copper_bell_night","","","MapRule","dev_map_copper_bell_night","","","true","false"
"PressureSource","dev_boss_black_furnace_complex_eye","dev_map_furnace_ash_fall","","","MapRule","dev_map_furnace_ash_fall","","","true","false"
"PressureSource","dev_enemy_formation_eye_problem","dev_map_furnace_ash_fall","","","MapRule","dev_map_furnace_ash_fall","","","true","false"
"PressureSource","dev_enemy_polluted_tile_problem","dev_map_furnace_ash_fall","","","MapRule","dev_map_furnace_ash_fall","","","true","false"
"PressureSource","dev_boss_bronze_formation_general","dev_skill_bronze_general_burst","","","SkillPattern","dev_skill_bronze_general_burst","","","true","false"
"PressureSource","dev_enemy_caster_problem","dev_skill_caster_long_cast","","","SkillPattern","dev_skill_caster_long_cast","","","true","false"
"PressureSource","dev_boss_black_furnace_complex_eye","dev_skill_complex_eye_composite","","","SkillPattern","dev_skill_complex_eye_composite","","","true","false"
"PressureSource","dev_boss_dirty_dream_mother","dev_skill_dirty_dream_pressure","","","SkillPattern","dev_skill_dirty_dream_pressure","","","true","false"
"PressureSource","dev_enemy_formation_eye_problem","dev_skill_formation_eye_disruption","","","SkillPattern","dev_skill_formation_eye_disruption","","","true","false"
"PressureSource","dev_enemy_seal_problem","dev_skill_seal_lock","","","SkillPattern","dev_skill_seal_lock","","","true","false"
"PressureSource","dev_boss_spirit_thief_core","dev_skill_spirit_core_channel","","","SkillPattern","dev_skill_spirit_core_channel","","","true","false"
"PressureSource","dev_enemy_spirit_thief_problem","dev_skill_spirit_drain","","","SkillPattern","dev_skill_spirit_drain","","","true","false"
"PressureSource","dev_enemy_poison_burn_problem","dev_skill_status_spread","","","SkillPattern","dev_skill_status_spread","","","true","false"
"PressureSource","dev_boss_bronze_formation_general","dev_phase_bronze_general_opening","","","BossPhase","dev_phase_bronze_general_opening","","","true","false"
"PressureSource","dev_boss_bronze_formation_general","dev_phase_bronze_general_pressure","","","BossPhase","dev_phase_bronze_general_pressure","","","true","false"
"PressureSource","dev_boss_black_furnace_complex_eye","dev_phase_complex_eye_opening","","","BossPhase","dev_phase_complex_eye_opening","","","true","false"
"PressureSource","dev_boss_black_furnace_complex_eye","dev_phase_complex_eye_pressure","","","BossPhase","dev_phase_complex_eye_pressure","","","true","false"
"PressureSource","dev_boss_dirty_dream_mother","dev_phase_dirty_dream_opening","","","BossPhase","dev_phase_dirty_dream_opening","","","true","false"
"PressureSource","dev_boss_dirty_dream_mother","dev_phase_dirty_dream_pressure","","","BossPhase","dev_phase_dirty_dream_pressure","","","true","false"
"PressureSource","dev_boss_spirit_thief_core","dev_phase_spirit_core_opening","","","BossPhase","dev_phase_spirit_core_opening","","","true","false"
"PressureSource","dev_boss_spirit_thief_core","dev_phase_spirit_core_pressure","","","BossPhase","dev_phase_spirit_core_pressure","","","true","false"
"CounterWindow","dev_window_cleanse_reveal","dev_window_cleanse_reveal","","","CounterWindowType","counter_window.cleanse_reveal","","enemy.window.cleanse.label","false","false"
"CounterWindowOpenCondition","dev_window_cleanse_reveal","condition.cleanse.open","Open","All","MechanicSignal","signal.status.cleansed","1300","","true","false"
"CounterWindow","dev_window_clear_core_exposure","dev_window_clear_core_exposure","","","CounterWindowType","counter_window.clear_core_exposure","","enemy.window.clear.label","false","false"
"CounterWindowOpenCondition","dev_window_clear_core_exposure","condition.clear.open","Open","All","MechanicSignal","signal.core.exposed","1600","","true","false"
"CounterWindow","dev_window_energy_counter_full_array","dev_window_energy_counter_full_array","","","CounterWindowType","counter_window.energy_counter_full_array","","enemy.window.energy.label","false","false"
"CounterWindowOpenCondition","dev_window_energy_counter_full_array","condition.energy.open","Open","All","MechanicSignal","signal.energy.countered","1500","","true","false"
"CounterWindow","dev_window_guard_rebound","dev_window_guard_rebound","","","CounterWindowType","counter_window.guard_rebound","","enemy.window.guard.label","false","false"
"CounterWindowOpenCondition","dev_window_guard_rebound","condition.guard.open","Open","All","MechanicSignal","signal.guard.succeeded","1100","","true","false"
"CounterWindow","dev_window_interrupt_stagger","dev_window_interrupt_stagger","","","CounterWindowType","counter_window.interrupt_stagger","","enemy.window.interrupt.label","false","false"
"CounterWindowOpenCondition","dev_window_interrupt_stagger","condition.interrupt.open","Open","All","MechanicSignal","signal.cast.interrupted","1200","","true","false"
"CounterWindow","dev_window_shell_break","dev_window_shell_break","","","CounterWindowType","counter_window.shell_break","","enemy.window.shell.label","false","false"
"CounterWindowOpenCondition","dev_window_shell_break","condition.shell.open","Open","All","MechanicSignal","signal.shell.broken","1400","","true","false"
"CounterWindowSource","dev_window_cleanse_reveal","dev_map_bluestone_damp","","","MapRule","dev_map_bluestone_damp","","","true","false"
"CounterWindowSource","dev_window_cleanse_reveal","dev_map_furnace_ash_fall","","","MapRule","dev_map_furnace_ash_fall","","","true","false"
"CounterWindowSource","dev_window_guard_rebound","dev_skill_bronze_general_burst","","","SkillPattern","dev_skill_bronze_general_burst","","","true","false"
"CounterWindowSource","dev_window_interrupt_stagger","dev_skill_caster_long_cast","","","SkillPattern","dev_skill_caster_long_cast","","","true","false"
"CounterWindowSource","dev_window_shell_break","dev_skill_complex_eye_composite","","","SkillPattern","dev_skill_complex_eye_composite","","","true","false"
"CounterWindowSource","dev_window_cleanse_reveal","dev_skill_dirty_dream_pressure","","","SkillPattern","dev_skill_dirty_dream_pressure","","","true","false"
"CounterWindowSource","dev_window_energy_counter_full_array","dev_skill_formation_eye_disruption","","","SkillPattern","dev_skill_formation_eye_disruption","","","true","false"
"CounterWindowSource","dev_window_guard_rebound","dev_skill_seal_lock","","","SkillPattern","dev_skill_seal_lock","","","true","false"
"CounterWindowSource","dev_window_interrupt_stagger","dev_skill_spirit_core_channel","","","SkillPattern","dev_skill_spirit_core_channel","","","true","false"
"CounterWindowSource","dev_window_energy_counter_full_array","dev_skill_spirit_drain","","","SkillPattern","dev_skill_spirit_drain","","","true","false"
"CounterWindowSource","dev_window_cleanse_reveal","dev_skill_status_spread","","","SkillPattern","dev_skill_status_spread","","","true","false"
"CounterWindowSource","dev_window_guard_rebound","dev_phase_bronze_general_opening","","","BossPhase","dev_phase_bronze_general_opening","","","true","false"
"CounterWindowSource","dev_window_guard_rebound","dev_phase_bronze_general_pressure","","","BossPhase","dev_phase_bronze_general_pressure","","","true","false"
"CounterWindowSource","dev_window_shell_break","dev_phase_complex_eye_opening","","","BossPhase","dev_phase_complex_eye_opening","","","true","false"
"CounterWindowSource","dev_window_clear_core_exposure","dev_phase_complex_eye_pressure","","","BossPhase","dev_phase_complex_eye_pressure","","","true","false"
"CounterWindowSource","dev_window_energy_counter_full_array","dev_phase_complex_eye_pressure","","","BossPhase","dev_phase_complex_eye_pressure","","","true","false"
"CounterWindowSource","dev_window_cleanse_reveal","dev_phase_dirty_dream_opening","","","BossPhase","dev_phase_dirty_dream_opening","","","true","false"
"CounterWindowSource","dev_window_cleanse_reveal","dev_phase_dirty_dream_pressure","","","BossPhase","dev_phase_dirty_dream_pressure","","","true","false"
"CounterWindowSource","dev_window_interrupt_stagger","dev_phase_spirit_core_opening","","","BossPhase","dev_phase_spirit_core_opening","","","true","false"
"CounterWindowSource","dev_window_energy_counter_full_array","dev_phase_spirit_core_pressure","","","BossPhase","dev_phase_spirit_core_pressure","","","true","false"
"PressureWindow","dev_boss_black_furnace_complex_eye","dev_window_clear_core_exposure","","","CounterWindow","dev_window_clear_core_exposure","","","true","false"
"PressureWindow","dev_boss_black_furnace_complex_eye","dev_window_energy_counter_full_array","","","CounterWindow","dev_window_energy_counter_full_array","","","true","false"
"PressureWindow","dev_boss_black_furnace_complex_eye","dev_window_shell_break","","","CounterWindow","dev_window_shell_break","","","true","false"
"PressureWindow","dev_boss_bronze_formation_general","dev_window_guard_rebound","","","CounterWindow","dev_window_guard_rebound","","","true","false"
"PressureWindow","dev_boss_dirty_dream_mother","dev_window_cleanse_reveal","","","CounterWindow","dev_window_cleanse_reveal","","","true","false"
"PressureWindow","dev_boss_spirit_thief_core","dev_window_energy_counter_full_array","","","CounterWindow","dev_window_energy_counter_full_array","","","true","false"
"PressureWindow","dev_boss_spirit_thief_core","dev_window_interrupt_stagger","","","CounterWindow","dev_window_interrupt_stagger","","","true","false"
"PressureWindow","dev_enemy_caster_problem","dev_window_interrupt_stagger","","","CounterWindow","dev_window_interrupt_stagger","","","true","false"
"PressureWindow","dev_enemy_formation_eye_problem","dev_window_energy_counter_full_array","","","CounterWindow","dev_window_energy_counter_full_array","","","true","false"
"PressureWindow","dev_enemy_poison_burn_problem","dev_window_cleanse_reveal","","","CounterWindow","dev_window_cleanse_reveal","","","true","false"
"PressureWindow","dev_enemy_polluted_tile_problem","dev_window_cleanse_reveal","","","CounterWindow","dev_window_cleanse_reveal","","","true","false"
"PressureWindow","dev_enemy_seal_problem","dev_window_guard_rebound","","","CounterWindow","dev_window_guard_rebound","","","true","false"
"PressureWindow","dev_enemy_spirit_thief_problem","dev_window_energy_counter_full_array","","","CounterWindow","dev_window_energy_counter_full_array","","","true","false"
