caseId,category,expected,actual,validationCode,result
"canonical-visible-core-branch","determinism","different","different","NONE","PASS"
"canonical-build-branch","determinism","different","different","NONE","PASS"
"canonical-source-signature-branch","determinism","different","different","NONE","PASS"
"readonly-top-level-set","readonly","rejected","mutation attempt","NONE","PASS"
"readonly-stats","readonly","rejected","mutation attempt","NONE","PASS"
"readonly-affixes","readonly","rejected","mutation attempt","NONE","PASS"
"readonly-eligible-core","readonly","rejected","mutation attempt","NONE","PASS"
"readonly-visible-core","readonly","rejected","mutation attempt","NONE","PASS"
"readonly-query-results","readonly","rejected","mutation attempt","NONE","PASS"
"readonly-validation-errors","readonly","rejected","mutation attempt","NONE","PASS"
"source-mutation-isolated","readonly","QA-SOURCE-MUTATION/B4CC1B1CB4CC53E4","QA-SOURCE-MUTATION/B4CC1B1CB4CC53E4","NONE","PASS"
"null-request","validation","REQUEST_NULL","REQUEST_NULL","REQUEST_NULL","PASS"
"null-generated-instance","validation","GENERATED_INSTANCE_NULL","GENERATED_INSTANCE_NULL","GENERATED_INSTANCE_NULL","PASS"
"source-schema-invalid","validation","SOURCE_SCHEMA_INVALID","SOURCE_SCHEMA_INVALID","SOURCE_SCHEMA_INVALID","PASS"
"source-algorithm-empty","validation","SOURCE_ALGORITHM_ID_EMPTY","SOURCE_ALGORITHM_ID_EMPTY","SOURCE_ALGORITHM_ID_EMPTY","PASS"
"generation-status-empty","validation","GENERATION_DATA_STATUS_EMPTY","GENERATION_DATA_STATUS_EMPTY","GENERATION_DATA_STATUS_EMPTY","PASS"
"item-instance-empty","validation","ITEM_INSTANCE_ID_EMPTY","ITEM_INSTANCE_ID_EMPTY","ITEM_INSTANCE_ID_EMPTY","PASS"
"base-item-empty","validation","BASE_ITEM_ID_EMPTY","BASE_ITEM_ID_EMPTY","BASE_ITEM_ID_EMPTY","PASS"
"base-item-unknown","validation","BASE_ITEM_UNKNOWN","BASE_ITEM_UNKNOWN","BASE_ITEM_UNKNOWN","PASS"
"i031-forbidden","validation","I031_FORBIDDEN","I031_FORBIDDEN|BASE_ITEM_NOT_ORDINARY","I031_FORBIDDEN","PASS"
"base-item-not-ordinary","validation","BASE_ITEM_NOT_ORDINARY","I031_FORBIDDEN|BASE_ITEM_NOT_ORDINARY","BASE_ITEM_NOT_ORDINARY","PASS"
"rarity-invalid","validation","RARITY_INVALID","RARITY_INVALID|RARITY_KEY_INVALID","RARITY_INVALID","PASS"
"rarity-key-invalid","validation","RARITY_KEY_INVALID","RARITY_INVALID|RARITY_KEY_INVALID","RARITY_KEY_INVALID","PASS"
"generation-version-invalid","validation","GENERATION_VERSION_INVALID","GENERATION_VERSION_INVALID","GENERATION_VERSION_INVALID","PASS"
"cultivation-profile-empty","validation","CULTIVATION_PROFILE_ID_EMPTY","CULTIVATION_PROFILE_ID_EMPTY","CULTIVATION_PROFILE_ID_EMPTY","PASS"
"stat-entry-null","validation","STAT_ENTRY_NULL","STAT_ENTRY_NULL","STAT_ENTRY_NULL","PASS"
"stat-id-empty","validation","STAT_ID_EMPTY","STAT_ID_EMPTY","STAT_ID_EMPTY","PASS"
"stat-id-duplicate","validation","STAT_ID_DUPLICATE","STAT_ID_DUPLICATE","STAT_ID_DUPLICATE","PASS"
"affix-entry-null","validation","AFFIX_ENTRY_NULL","AFFIX_ENTRY_NULL","AFFIX_ENTRY_NULL","PASS"
"affix-slot-empty","validation","AFFIX_SLOT_ID_EMPTY","AFFIX_SLOT_ID_EMPTY","AFFIX_SLOT_ID_EMPTY","PASS"
"affix-slot-duplicate","validation","AFFIX_SLOT_ID_DUPLICATE","AFFIX_SLOT_ID_DUPLICATE","AFFIX_SLOT_ID_DUPLICATE","PASS"
"affix-slot-kind-invalid","validation","AFFIX_SLOT_KIND_INVALID","AFFIX_SLOT_KIND_INVALID","AFFIX_SLOT_KIND_INVALID","PASS"
"affix-id-empty","validation","AFFIX_ID_EMPTY","AFFIX_ID_EMPTY","AFFIX_ID_EMPTY","PASS"
"affix-profile-empty","validation","AFFIX_VALUE_PROFILE_ID_EMPTY","AFFIX_VALUE_PROFILE_ID_EMPTY","AFFIX_VALUE_PROFILE_ID_EMPTY","PASS"
"core-potential-null","validation","CORE_POTENTIAL_NULL","CORE_POTENTIAL_NULL","CORE_POTENTIAL_NULL","PASS"
"core-eligible-empty","validation","CORE_ELIGIBLE_ID_EMPTY","CORE_ELIGIBLE_ID_EMPTY|CORE_VISIBLE_NOT_ELIGIBLE","CORE_ELIGIBLE_ID_EMPTY","PASS"
"core-eligible-duplicate","validation","CORE_ELIGIBLE_ID_DUPLICATE","CORE_ELIGIBLE_ID_DUPLICATE","CORE_ELIGIBLE_ID_DUPLICATE","PASS"
"core-visible-empty","validation","CORE_VISIBLE_ID_EMPTY","CORE_VISIBLE_ID_EMPTY","CORE_VISIBLE_ID_EMPTY","PASS"
"core-visible-duplicate","validation","CORE_VISIBLE_ID_DUPLICATE","CORE_VISIBLE_ID_DUPLICATE","CORE_VISIBLE_ID_DUPLICATE","PASS"
"core-visible-not-eligible","validation","CORE_VISIBLE_NOT_ELIGIBLE","CORE_VISIBLE_NOT_ELIGIBLE","CORE_VISIBLE_NOT_ELIGIBLE","PASS"
"build-qualification-invalid","validation","BUILD_QUALIFICATION_INVALID","BUILD_QUALIFICATION_INVALID","BUILD_QUALIFICATION_INVALID","PASS"
"white-build-must-none","validation","WHITE_BUILD_QUALIFICATION_MUST_BE_NONE","WHITE_BUILD_QUALIFICATION_MUST_BE_NONE","WHITE_BUILD_QUALIFICATION_MUST_BE_NONE","PASS"
"set-request-null","validation","REQUEST_NULL","REQUEST_NULL","REQUEST_NULL","PASS"
"set-input-null","validation","SET_INPUT_NULL","SET_INPUT_NULL","SET_INPUT_NULL","PASS"
"set-entry-null","validation","SET_ENTRY_NULL","SET_ENTRY_NULL","SET_ENTRY_NULL","PASS"
"set-instance-id-duplicate","validation","ITEM_INSTANCE_ID_DUPLICATE","ITEM_INSTANCE_ID_DUPLICATE","ITEM_INSTANCE_ID_DUPLICATE","PASS"
"set-i031-null-snapshot","validation","I031_FORBIDDEN","I031_FORBIDDEN|BASE_ITEM_NOT_ORDINARY","I031_FORBIDDEN","PASS"
"query-item-id-empty","query","QUERY_ITEM_INSTANCE_ID_EMPTY","QUERY_ITEM_INSTANCE_ID_EMPTY","QUERY_ITEM_INSTANCE_ID_EMPTY","PASS"
"query-base-id-empty","query","QUERY_BASE_ITEM_ID_EMPTY","QUERY_BASE_ITEM_ID_EMPTY","QUERY_BASE_ITEM_ID_EMPTY","PASS"
"query-rarity-invalid","query","QUERY_RARITY_INVALID","QUERY_RARITY_INVALID","QUERY_RARITY_INVALID","PASS"
"query-not-found-instance","query","QUERY_NOT_FOUND","QUERY_NOT_FOUND","QUERY_NOT_FOUND","PASS"
"query-not-found-base","query","QUERY_NOT_FOUND","QUERY_NOT_FOUND","QUERY_NOT_FOUND","PASS"
"query-not-found-rarity","query","QUERY_RARITY_INVALID","QUERY_RARITY_INVALID","QUERY_RARITY_INVALID","PASS"
"formal-empty-data-no-false-success","validation","failure/null","GENERATION_DATA_STATUS_EMPTY|CULTIVATION_PROFILE_ID_EMPTY|CORE_POTENTIAL_NULL|BUILD_QUALIFICATION_INVALID","NONE","PASS"
"validation-code-None","validation-code","stable non-empty","NONE","NONE","PASS"
"validation-code-RequestNull","validation-code","stable non-empty","REQUEST_NULL","NONE","PASS"
"validation-code-GeneratedInstanceNull","validation-code","stable non-empty","GENERATED_INSTANCE_NULL","NONE","PASS"
"validation-code-SourceSchemaInvalid","validation-code","stable non-empty","SOURCE_SCHEMA_INVALID","NONE","PASS"
"validation-code-SourceAlgorithmIdEmpty","validation-code","stable non-empty","SOURCE_ALGORITHM_ID_EMPTY","NONE","PASS"
"validation-code-GenerationDataStatusEmpty","validation-code","stable non-empty","GENERATION_DATA_STATUS_EMPTY","NONE","PASS"
"validation-code-ItemInstanceIdEmpty","validation-code","stable non-empty","ITEM_INSTANCE_ID_EMPTY","NONE","PASS"
"validation-code-BaseItemIdEmpty","validation-code","stable non-empty","BASE_ITEM_ID_EMPTY","NONE","PASS"
"validation-code-BaseItemUnknown","validation-code","stable non-empty","BASE_ITEM_UNKNOWN","NONE","PASS"
"validation-code-BaseItemNotOrdinary","validation-code","stable non-empty","BASE_ITEM_NOT_ORDINARY","NONE","PASS"
"validation-code-I031Forbidden","validation-code","stable non-empty","I031_FORBIDDEN","NONE","PASS"
"validation-code-RarityInvalid","validation-code","stable non-empty","RARITY_INVALID","NONE","PASS"
"validation-code-RarityKeyInvalid","validation-code","stable non-empty","RARITY_KEY_INVALID","NONE","PASS"
"validation-code-GenerationVersionInvalid","validation-code","stable non-empty","GENERATION_VERSION_INVALID","NONE","PASS"
"validation-code-CultivationProfileIdEmpty","validation-code","stable non-empty","CULTIVATION_PROFILE_ID_EMPTY","NONE","PASS"
"validation-code-StatEntryNull","validation-code","stable non-empty","STAT_ENTRY_NULL","NONE","PASS"
"validation-code-StatIdEmpty","validation-code","stable non-empty","STAT_ID_EMPTY","NONE","PASS"
"validation-code-StatIdDuplicate","validation-code","stable non-empty","STAT_ID_DUPLICATE","NONE","PASS"
"validation-code-AffixEntryNull","validation-code","stable non-empty","AFFIX_ENTRY_NULL","NONE","PASS"
"validation-code-AffixSlotIdEmpty","validation-code","stable non-empty","AFFIX_SLOT_ID_EMPTY","NONE","PASS"
"validation-code-AffixSlotIdDuplicate","validation-code","stable non-empty","AFFIX_SLOT_ID_DUPLICATE","NONE","PASS"
"validation-code-AffixSlotKindInvalid","validation-code","stable non-empty","AFFIX_SLOT_KIND_INVALID","NONE","PASS"
"validation-code-AffixIdEmpty","validation-code","stable non-empty","AFFIX_ID_EMPTY","NONE","PASS"
"validation-code-AffixValueProfileIdEmpty","validation-code","stable non-empty","AFFIX_VALUE_PROFILE_ID_EMPTY","NONE","PASS"
"validation-code-CorePotentialNull","validation-code","stable non-empty","CORE_POTENTIAL_NULL","NONE","PASS"
"validation-code-CoreEligibleIdEmpty","validation-code","stable non-empty","CORE_ELIGIBLE_ID_EMPTY","NONE","PASS"
"validation-code-CoreEligibleIdDuplicate","validation-code","stable non-empty","CORE_ELIGIBLE_ID_DUPLICATE","NONE","PASS"
"validation-code-CoreVisibleIdEmpty","validation-code","stable non-empty","CORE_VISIBLE_ID_EMPTY","NONE","PASS"
"validation-code-CoreVisibleIdDuplicate","validation-code","stable non-empty","CORE_VISIBLE_ID_DUPLICATE","NONE","PASS"
"validation-code-CoreVisibleNotEligible","validation-code","stable non-empty","CORE_VISIBLE_NOT_ELIGIBLE","NONE","PASS"
"validation-code-BuildQualificationInvalid","validation-code","stable non-empty","BUILD_QUALIFICATION_INVALID","NONE","PASS"
"validation-code-WhiteBuildQualificationMustBeNone","validation-code","stable non-empty","WHITE_BUILD_QUALIFICATION_MUST_BE_NONE","NONE","PASS"
"validation-code-SetInputNull","validation-code","stable non-empty","SET_INPUT_NULL","NONE","PASS"
"validation-code-SetEntryNull","validation-code","stable non-empty","SET_ENTRY_NULL","NONE","PASS"
"validation-code-ItemInstanceIdDuplicate","validation-code","stable non-empty","ITEM_INSTANCE_ID_DUPLICATE","NONE","PASS"
"validation-code-QueryItemInstanceIdEmpty","validation-code","stable non-empty","QUERY_ITEM_INSTANCE_ID_EMPTY","NONE","PASS"
"validation-code-QueryBaseItemIdEmpty","validation-code","stable non-empty","QUERY_BASE_ITEM_ID_EMPTY","NONE","PASS"
"validation-code-QueryRarityInvalid","validation-code","stable non-empty","QUERY_RARITY_INVALID","NONE","PASS"
"validation-code-QueryNotFound","validation-code","stable non-empty","QUERY_NOT_FOUND","NONE","PASS"
"validation-code-ProjectionInternalError","validation-code","stable non-empty","PROJECTION_INTERNAL_ERROR","NONE","PASS"
"forbidden-property-itemId","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-placementId","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-isLit","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-isDirectLit","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-litDepth","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-countedInBuild","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-buildStage","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-selectedMainBuildId","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-unlockedCoreEffectIds","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-activeCoreEffectIds","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-coreEffectActive","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-itemLevel","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-cultivationLevel","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-rewardSource","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-inventorySlot","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-saveKey","contract-shape","absent","absent","NONE","PASS"
"forbidden-property-itemPower","contract-shape","absent","absent","NONE","PASS"
"item-system-schema-compatible","compatibility","ItemSystemSnapshot.v2","ItemSystemSnapshot.v2","NONE","PASS"
"item-system-debug-signature-present","compatibility","present","present","NONE","PASS"
"detail-viewmodel-unmodified-contract","compatibility","ItemDetailProjectionComplete PASS","report marker check","ASSERTION_FAILED","FAIL"
