category,slot_name,scene_path,asset_path,status,notes
"art-slot","LightingStatusBadge","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemDetailHeaderTextGroup/ItemStatusBadgeRow/LightingStatusBadge","Assets/_Game/Resources/item/聚念石icon/聚念石icon_点亮.png","BOUND","header"
"art-slot","AwakeningStatusBadge","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemDetailHeaderTextGroup/ItemStatusBadgeRow/AwakeningStatusBadge","Assets/_Game/Resources/item/核心icon/震雷法/I001/I001_4.png","BOUND","header"
"art-slot","ArrayStatusBadge","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailHeader/ItemDetailHeaderTextGroup/ItemStatusBadgeRow/ArrayStatusBadge","Assets/_Game/Resources/item/阵脉icon/阵脉icon_点亮.png","BOUND","header"
"art-slot","BaseStatIconSlot_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/BaseStatsSection/BodyText/BaseStatIconSlot_0","Assets/_Game/Resources/item/基础属性icon/伤害.png","BOUND","BaseStatsSection"
"art-slot","BaseStatIconSlot_1","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/BaseStatsSection/BodyText/BaseStatIconSlot_1","Assets/_Game/Resources/item/基础属性icon/攻击.png","BOUND","BaseStatsSection"
"art-slot","BaseStatIconSlot_2","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/BaseStatsSection/BodyText/BaseStatIconSlot_2","Assets/_Game/Resources/item/基础属性icon/控制.png","BOUND","BaseStatsSection"
"art-slot","BaseStatIconSlot_3","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/BaseStatsSection/BodyText/BaseStatIconSlot_3","Assets/_Game/Resources/item/基础属性icon/破盾.png","BOUND","BaseStatsSection"
"art-slot","BaseStatIconSlot_4","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/BaseStatsSection/BodyText/BaseStatIconSlot_4","Assets/_Game/Resources/item/基础属性icon/冷却.png","BOUND","BaseStatsSection"
"art-slot","BaseStatIconSlot_5","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/BaseStatsSection/BodyText/BaseStatIconSlot_5","Assets/_Game/Resources/item/基础属性icon/耗念.png","BOUND","BaseStatsSection"
"art-slot","BaseStatIconSlot_6","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/BaseStatsSection/BodyText/BaseStatIconSlot_6","Assets/_Game/Resources/item/基础属性icon/护势.png","BOUND","BaseStatsSection"
"art-slot","BaseStatIconSlot_7","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/BaseStatsSection/BodyText/BaseStatIconSlot_7","Assets/_Game/Resources/item/阵脉icon/阵脉icon_点亮.png","BOUND","BaseStatsSection"
"art-slot","CoreEffectIconSlot_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/CoreAwakeningSection/BodyText/CoreEffectIconSlot_0","Assets/_Game/Resources/item/核心icon/震雷法/I001/I001_1.png","BOUND","CoreAwakeningSection"
"art-slot","CoreEffectIconSlot_1","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/CoreAwakeningSection/BodyText/CoreEffectIconSlot_1","Assets/_Game/Resources/item/核心icon/震雷法/I001/I001_2.png","BOUND","CoreAwakeningSection"
"art-slot","CoreEffectIconSlot_2","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/CoreAwakeningSection/BodyText/CoreEffectIconSlot_2","Assets/_Game/Resources/item/核心icon/震雷法/I001/I001_3.png","BOUND","CoreAwakeningSection"
"art-slot","CoreEffectIconSlot_3","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/CoreAwakeningSection/BodyText/CoreEffectIconSlot_3","Assets/_Game/Resources/item/核心icon/震雷法/I001/I001_4.png","BOUND","CoreAwakeningSection"
"art-slot","FaMenBuildStageIconSlot_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/FaMenBuildSection/BodyText/FaMenBuildStageIconSlot_0","Assets/_Game/Resources/item/build技能icon/震雷法/技能icon_2.png","BOUND","FaMenBuildSection"
"art-slot","FaMenBuildStageIconSlot_1","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/FaMenBuildSection/BodyText/FaMenBuildStageIconSlot_1","Assets/_Game/Resources/item/build技能icon/震雷法/技能icon_3.png","BOUND","FaMenBuildSection"
"art-slot","FaMenBuildStageIconSlot_2","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/FaMenBuildSection/BodyText/FaMenBuildStageIconSlot_2","Assets/_Game/Resources/item/build技能icon/震雷法/技能icon_4.png","BOUND","FaMenBuildSection"
"art-slot","QiLeiBuildStageIconSlot_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/QiLeiBuildSection/BodyText/QiLeiBuildStageIconSlot_0","Assets/_Game/Resources/item/器类icon/符类.png","BOUND","QiLeiBuildSection"
"art-slot","QiLeiBuildStageIconSlot_1","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/QiLeiBuildSection/BodyText/QiLeiBuildStageIconSlot_1","Assets/_Game/Resources/item/器类icon/符类.png","BOUND","QiLeiBuildSection"
"art-slot","SkillMonitorIconSlot_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/MainBuildMonitorSection/BodyText/SkillMonitorIconSlot_0","Assets/_Game/Resources/item/build技能icon/震雷法/技能icon_1.png","BOUND","MainBuildMonitorSection"
"art-slot","SkillMonitorIconSlot_1","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/MainBuildMonitorSection/BodyText/SkillMonitorIconSlot_1","Assets/_Game/Resources/item/build技能icon/震雷法/技能icon_2.png","BOUND","MainBuildMonitorSection"
"art-slot","SkillMonitorIconSlot_2","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/MainBuildMonitorSection/BodyText/SkillMonitorIconSlot_2","Assets/_Game/Resources/item/build技能icon/震雷法/技能icon_3.png","BOUND","MainBuildMonitorSection"
"art-slot","SkillMonitorIconSlot_3","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/MainBuildMonitorSection/BodyText/SkillMonitorIconSlot_3","Assets/_Game/Resources/item/build技能icon/震雷法/技能icon_4.png","BOUND","MainBuildMonitorSection"
"art-slot","FixedAffixIconSlot_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/FixedAffixSection/BodyText/FixedAffixIconSlot_0","Assets/_Game/Resources/item/词条icon/固定词条icon_道.png","BOUND","FixedAffixSection"
"art-slot","FixedAffixIconSlot_1","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/FixedAffixSection/BodyText/FixedAffixIconSlot_1","Assets/_Game/Resources/item/词条icon/固定词条icon_道.png","BOUND","FixedAffixSection"
"art-slot","RandomAffixIconSlot_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/RandomAffixSection/BodyText/RandomAffixIconSlot_0","Assets/_Game/Resources/item/词条icon/随机词条icon_道.png","BOUND","RandomAffixSection"
"art-slot","RandomAffixIconSlot_1","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/RandomAffixSection/BodyText/RandomAffixIconSlot_1","Assets/_Game/Resources/item/词条icon/随机词条icon_道.png","BOUND","RandomAffixSection"
"art-slot","RandomAffixIconSlot_2","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/RandomAffixSection/BodyText/RandomAffixIconSlot_2","Assets/_Game/Resources/item/词条icon/随机词条icon_道.png","BOUND","RandomAffixSection"
"art-slot","RandomAffixIconSlot_3","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/RandomAffixSection/BodyText/RandomAffixIconSlot_3","Assets/_Game/Resources/item/词条icon/随机词条icon_道.png","BOUND","RandomAffixSection"
"art-slot","DaoTraceIconSlot_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/OrangeGrowthSection/BodyText/DaoTraceIconSlot_0","Assets/_Game/Resources/item/词条icon/固定词条icon_道.png","BOUND","OrangeGrowthSection"
"art-slot","PlacementIconSlot_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/PlacementHintSection/BodyText/PlacementIconSlot_0","Assets/_Game/Resources/item/基础属性icon/摆放推荐.png","BOUND","PlacementHintSection"
"art-slot","FlavorIconSlot_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/FlavorSection/BodyText/FlavorIconSlot_0","Assets/_Game/Resources/item/基础属性icon/旧物记.png","BOUND","FlavorSection"
"art-slot","InlineArrayModifierIcon_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/BaseStatsSection/BodyText/InlineArrayModifierIcon_0","Assets/_Game/Resources/item/阵脉icon/阵脉icon_点亮.png","BOUND","BaseStatsSection"
"art-slot","InlineArrayModifierIcon_0","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/QiLeiBuildSection/BodyText/InlineArrayModifierIcon_0","Assets/_Game/Resources/item/阵脉icon/阵脉icon_点亮.png","BOUND","QiLeiBuildSection"
"divider","SectionDivider","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/*/SectionDivider","Assets/_Game/Resources/item/分割线/分割线_细.png","BOUND","15 sections"
"divider","CoarseDividerSlot","ItemSandboxCanvas/MobileSafeAreaRoot/ItemSandboxRoot/ItemDetailPanel/ItemDetailScrollView/Viewport/DetailContent/{CoreAwakeningSection,FaMenBuildSection,MainBuildMonitorSection}","Assets/_Game/Resources/item/分割线/分割线_粗.png","BOUND","3 sections"
"missing-body-art","I001","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I001.png","MISSING","gap only"
"missing-body-art","I002","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I002.png","MISSING","gap only"
"missing-body-art","I003","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I003.png","MISSING","gap only"
"missing-body-art","I004","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I004.png","MISSING","gap only"
"missing-body-art","I005","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I005.png","MISSING","gap only"
"missing-body-art","I006","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I006.png","MISSING","gap only"
"missing-body-art","I007","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I007.png","MISSING","gap only"
"missing-body-art","I008","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I008.png","MISSING","gap only"
"missing-body-art","I009","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I009.png","MISSING","gap only"
"missing-body-art","I010","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I010.png","MISSING","gap only"
"missing-body-art","I011","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I011.png","MISSING","gap only"
"missing-body-art","I012","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I012.png","MISSING","gap only"
"missing-body-art","I013","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I013.png","MISSING","gap only"
"missing-body-art","I014","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I014.png","MISSING","gap only"
"missing-body-art","I015","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I015.png","MISSING","gap only"
"missing-body-art","I016","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I016.png","MISSING","gap only"
"missing-body-art","I017","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I017.png","MISSING","gap only"
"missing-body-art","I018","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I018.png","MISSING","gap only"
"missing-body-art","I019","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I019.png","MISSING","gap only"
"missing-body-art","I020","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I020.png","MISSING","gap only"
"missing-body-art","I021","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I021.png","MISSING","gap only"
"missing-body-art","I022","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I022.png","MISSING","gap only"
"missing-body-art","I023","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I023.png","MISSING","gap only"
"missing-body-art","I024","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I024.png","MISSING","gap only"
"missing-body-art","I025","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I025.png","MISSING","gap only"
"missing-body-art","I026","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I026.png","MISSING","gap only"
"missing-body-art","I027","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I027.png","MISSING","gap only"
"missing-body-art","I028","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I028.png","MISSING","gap only"
"missing-body-art","I029","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I029.png","MISSING","gap only"
"missing-body-art","I030","Assets/_Game/Resources/item/道具icon","Assets/_Game/Resources/item/道具icon/I030.png","MISSING","gap only"
