recordType,scenario,baseItemId,familyId,variantId,triggerId,conditionId,operationId,targetStatId,targetScopeId,targetIdentity,requestedAmount,appliedAmount,nativeUnitId,percentageBase,targetBefore,targetAfter,triggerTimeMs,resolveTimeMs,cueIdentity,candidateProfileId,candidateMaturity,sourceFactCanonical,applicationCanonical,status
"APPLICATION","I024","I024","GUARD_SUSTAIN","c1.campaign.guard.sustain.i024.v1","on_cleanse","water_charge_3","ExtraTrigger","heal","effect_primary_target","campaign.normal.lv1.player","12","12","flat","","0","12","0","0","cue.c1.campaign.guard_sustain.i024:c7d0d0dcd9011b0f","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","6f15f2222459cbd460e76742eb2cdd0b8f68aa1f85bde8dc839169e6bfac6e39","c7a70397953cfa20353914d42b36623c55b6a918b23f5a91d1910988f41e36a8","PASS"
"APPLICATION","I025","I025","ENEMY_CONTROL","c1.campaign.enemy.control.i025.v1","on_hit","target_casting","ReduceFlat","castProgress","effect_primary_target","campaign.normal.lv1.balance.actor.c1.1-2.shattered_host.o01","1","1","turn","","0","1","0","0","cue.c1.campaign.enemy_control.i025:326b12d564bbc220","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","248e9ef53721dd07881442467cab9526ef7d042601b78fd47b1510d564c41195","447f3ec08600fad2194bb61edd2be2f0783e9a59e2c1a7ead42469566c415367","PASS"
"APPLICATION","I026","I026","DIRECT_TEMPO","c1.campaign.direct.tempo.i026.v1","on_slash","target_has_flaw","AddPercent","damage","effect_primary_target","campaign.normal.lv1.player","800","48","basisPoint","600","0","48","0","0","cue.c1.campaign.direct_tempo.i026:e5e74ed548432e84","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","ab30e1e04d589d545c35e0dbd5f536523aac097e8b0cef7665c1988ce9cc0d25","16f5dbf0938f5306e9b41cd29d625ff15f9a876d7bc963f649109e1a56dc6ee1","PASS"
"APPLICATION","I028","I028","ENEMY_CONTROL","c1.campaign.enemy.control.i028.v1","on_command_trigger","next_taibai_hit","Override","targeting","effect_primary_target","campaign.normal.lv1.balance.actor.c1.1-2.shattered_host.o01","1","1","count","","0","1","0","0","cue.c1.campaign.enemy_control.i028:0300176924c1d288","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","2bec4ed8e6759e2ad3062ea49c7d6123a8b898b580b3940181ff5d025a34290d","7b38dbbaa937a278f8e946c5c58573a5d7a94a2d8201637fd0880e6a9592c22f","PASS"
"APPLICATION","I030","I030","TARGET_SPREAD","c1.campaign.target.spread.i030.v1","on_kill_flaw","next_slash","ExtraTarget","targetCount","effect_primary_target","campaign.normal.lv1.balance.actor.c1.1-2.shattered_host.o01","1","1","count","","0","1","0","0","cue.c1.campaign.target_spread.i030:0779b92d11354581","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","e62129ef597afc8e9a2e7bb993cf099f7e09ed090ab46d9f8f1d739202126bbc","367419ad2fd9770d37dfe90a511333c05c6364b94a8f032ff94cd3b1401bf1f7","PASS"
"SENSITIVITY","weak-96","","","","on_direct_lit","","","","","","0","","","","","","outerTick=96","","","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","","","PASS"
"SENSITIVITY","middle-96","I004","","","on_direct_lit","","","","","","1","","","","","","outerTick=96","0","","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","","","PASS"
"SENSITIVITY","target-96","I004>I015","","","on_direct_lit","","","","","","2","","","","","","outerTick=96","0>120","","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","","","PASS"
"SENSITIVITY","weak-120","","","","on_direct_lit","","","","","","0","","","","","","outerTick=120","","","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","","","PASS"
"SENSITIVITY","middle-120","I004","","","on_direct_lit","","","","","","1","","","","","","outerTick=120","0","","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","","","PASS"
"SENSITIVITY","target-120","I004>I015","","","on_direct_lit","","","","","","2","","","","","","outerTick=120","0>120","","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","","","PASS"
"SENSITIVITY","weak-144","","","","on_direct_lit","","","","","","0","","","","","","outerTick=144","","","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","","","PASS"
"SENSITIVITY","middle-144","I004","","","on_direct_lit","","","","","","1","","","","","","outerTick=144","0","","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","","","PASS"
"SENSITIVITY","target-144","I004>I015","","","on_direct_lit","","","","","","2","","","","","","outerTick=144","0>120","","C1_CAMPAIGN_LV1_POOL15_BATTLE_EFFECT_CANDIDATE_R1","CANDIDATE","","","PASS"
