kind,protectedPath,expectedHash,actualHash,result
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I016.asset,,5D13250C046D26FE2BDF65F71F15CC08F4EC1C3822618231984FF0C0E3F2168D,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I017.asset,,1673B3B0C0A89080249651DB2EDCB89921CFCD3342B56C2B920C703CCFE6C9C3,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I018.asset,,4CE2FBE4F301E2275A827C7DEF2BDF11E6C58474B7B3B96D3A3BBE04CE67160C,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I019.asset,,A7B3E99D2657641A343CFA3B61682AF56D4C6E999DF740207B212107388A7748,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I020.asset,,68782AFAD30F7005371B90899C3C87525C7400FDB37A8DB4A285EBF132607776,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I021.asset,,33A8478F7BDD99837D10DB008FE5E1D5A8D278FEBD5E1165C1E2FA71AF0DF16B,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I022.asset,,704151D822582B172C83377129CBF2CF006FC4EA56E00E7F947F72384551CADC,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I023.asset,,2A5B68B98F79BCAA95EE10C5DE4FFB8F2C278309099398FEE8583ABE534AE88E,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I024.asset,,3B8107C801FAA638C726F084204ABA1AB043A62CFEA5B5DE7B334FC2C1C02450,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I025.asset,,310344649D2BB97FEDDAD6707B6CAB07BE6764C1F63E30EA48E825D4530C1E48,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I026.asset,,6E5C84B1D4130EF792E29483E29EA16338C8BBA647E99FD8CF2F0A770672D0A2,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I027.asset,,684365936CA4DFB4A8B278CFCF122487ED9F0558BA7CB9A7D38B7F23C0A477C5,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I028.asset,,C88A41B7439CAC48514C0C7B6D6B9EE42092B0D17AC66E841028643579339AC7,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I029.asset,,59DBFB6C4AAF0629494DB510234B2B1E57C0A34059BE8EAEDB18FA8CE3DE3D16,PASS
profile,Assets/_Game/Configs/ItemBalanceWorkbench/Profiles/ItemBalanceProfile_I030.asset,,0FB689780F833BB9DE327A9C0932DA94D5E9A0E94D5034F5FFE1E6000C9633D7,PASS
