sampleKey,baseItemId,rarity,rootSeed,preRollHash,postRollHash,preProjectionHash,postProjectionHash,preProtectedFactHash,postProtectedFactHash,preEligibleIds,postEligibleIds,allowedDelta,status
I003@blue,I003,blue,410032,2a4e719c78f6fadd04c8976c02360129e428574d30cdb627b381803a8dd2e70a,2a4e719c78f6fadd04c8976c02360129e428574d30cdb627b381803a8dd2e70a,c69e40436505d9b8396143789cf985a7f2caea7037eaed7f086f48cdca1034ff,c69e40436505d9b8396143789cf985a7f2caea7037eaed7f086f48cdca1034ff,e7b5d9e44ac7fd459ca8e767033952eff471f5c69044a8d53cca75aebdd5674e,e7b5d9e44ac7fd459ca8e767033952eff471f5c69044a8d53cca75aebdd5674e,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03,NONE,PASS
I003@green,I003,green,410031,99311eeafae451c91bf38f431ef2832bd1df090e5a6723c9ffb1ad1153f7d00e,99311eeafae451c91bf38f431ef2832bd1df090e5a6723c9ffb1ad1153f7d00e,e47f4e1ce2190dba2b1d23173f1494230e5201a6904bf0ff35eae4b153fd85f1,e47f4e1ce2190dba2b1d23173f1494230e5201a6904bf0ff35eae4b153fd85f1,db5f6cb0871c0a37b8bbffe05421115ef7f841f6a0fc4a963a7b2f0bfbf8d1c2,db5f6cb0871c0a37b8bbffe05421115ef7f841f6a0fc4a963a7b2f0bfbf8d1c2,candidate_core_i003_01|candidate_core_i003_02,candidate_core_i003_01|candidate_core_i003_02,NONE,PASS
I003@orange,I003,orange,410034,5d36fa98c151c39243e41367a1031685832d1a7b78f58abe473af64fb8e1ba07,3dddb27365a68bf27e5c9822f23fb831b2454ee9514e0b14eb3a27b7c8a34daa,4999bd5c67bbc5ef9b2632c4c21a10479ed7586c23e9a0196d3fb98886cc723b,5490dd84daa2557a5ae3df7f18915bb5909b1b597bfaa0191fd3cde45e6c6ad6,f192d01a9f099bee2560bddac8815d7fcce407c6b0bfd9af5746f738a7a66b7b,f192d01a9f099bee2560bddac8815d7fcce407c6b0bfd9af5746f738a7a66b7b,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03|candidate_core_i003_04|candidate_core_i003_ultimate,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03|candidate_core_i003_ultimate,REMOVE_04_KEEP_ULT,PASS
I003@purple,I003,purple,410033,85b42f923476999fe225a7348242349444c5d3630cf63b59da4f63b7418d42f6,301cfbf29f490dd8717f3067b55ec335b0ea380ba1f2b3e960946cedb211294d,4b35f6be0ff831b0ff3a371f1f7bcb131bd39d61e14b5a75a13537f736f594d3,82f006ba191ce02c47796c0f86ceabd367e9d9df412744141429c6856c9ba668,db50468583880c1cf16ecf763b87b038f0ef6e52a789a9e5e4deb860b449e67d,db50468583880c1cf16ecf763b87b038f0ef6e52a789a9e5e4deb860b449e67d,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03|candidate_core_i003_04,candidate_core_i003_01|candidate_core_i003_02|candidate_core_i003_03,REMOVE_04,PASS
I003@white,I003,white,410030,58ff11975388888a4123e27650e01a3ad1e8c0b6699fa4b5db16253982f3c331,58ff11975388888a4123e27650e01a3ad1e8c0b6699fa4b5db16253982f3c331,d29c90cc93421e531c98f8192c63b62db6fde512d7cc84103a2c6f0d37a385c6,d29c90cc93421e531c98f8192c63b62db6fde512d7cc84103a2c6f0d37a385c6,f71236a3fa8a8502e1251bfd59f60480a193f0f40e7ff64e62891980f34cfb3c,f71236a3fa8a8502e1251bfd59f60480a193f0f40e7ff64e62891980f34cfb3c,candidate_core_i003_01,candidate_core_i003_01,NONE,PASS
I004@blue,I004,blue,410042,419ef02068ebcf66314ff373b4fcba68a651555d3999b936c2462859c3d6ffdc,419ef02068ebcf66314ff373b4fcba68a651555d3999b936c2462859c3d6ffdc,c7c004caa384db82bf9f20af5e6e22aeea72d456299338b5fffb37ffaa46ab1f,c7c004caa384db82bf9f20af5e6e22aeea72d456299338b5fffb37ffaa46ab1f,46be06881e1640ddf6ea5cc613175711f3344b8acf878984dd556d05ce5cd60f,46be06881e1640ddf6ea5cc613175711f3344b8acf878984dd556d05ce5cd60f,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03,NONE,PASS
I004@green,I004,green,410041,4bbe434f037bde695102f9c25f56e60bea309ce6fa4bce6e1610b6a3cf4e7a57,4bbe434f037bde695102f9c25f56e60bea309ce6fa4bce6e1610b6a3cf4e7a57,499b525450b7b31f3827799c15bd35c6c70fb8e9ab356f6277ef0b15c176b316,499b525450b7b31f3827799c15bd35c6c70fb8e9ab356f6277ef0b15c176b316,d3dfa9185d7e9cebdb566e187c08180609f571d0ba818c9fd0555f7d397aa486,d3dfa9185d7e9cebdb566e187c08180609f571d0ba818c9fd0555f7d397aa486,candidate_core_i004_01|candidate_core_i004_02,candidate_core_i004_01|candidate_core_i004_02,NONE,PASS
I004@orange,I004,orange,410044,96220fdbe72d39e1d57e1bf830be2ba4486339a1f602e357a23038f64f439a1b,556581bf2f7187952e2960cb30cfa72905660dd8f1fba94eeb59c6ac1d6da37a,a36d36c5bf484ff7473e8f82ef73a60ac540a3d48f5670e6cb2cd532cf8324c5,3cb23b7e506aca1ea6080adb87f9939da0237ff548bae5966b45858e30153f41,9b4c56a2140c36e8286ef1eec1f67e3937c1c95a63650958b6509dafe91b0398,9b4c56a2140c36e8286ef1eec1f67e3937c1c95a63650958b6509dafe91b0398,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03|candidate_core_i004_04|candidate_core_i004_ultimate,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03|candidate_core_i004_ultimate,REMOVE_04_KEEP_ULT,PASS
I004@purple,I004,purple,410043,1c9636bcc8ce177b0e3d0c68eec7569f4fdb5274a0be9f833f82b7199342e4d3,9c608d00cde1949fcd675905edb207ff398af81a589933b9821e60ad24e27287,df8a11dcd87aae0f8f7a34018bea2e11e0e217f3082dfcfb5f6bda8ea06aa630,9968f2f334e3ea3ef2988983c2cdf2dcf1896f4e4fb123438b8404aec1f49ef1,8df58759ae1e4bfe2d3f1b43fde0e38ba3d7c1708e49fbc37c4bd542c8bd935e,8df58759ae1e4bfe2d3f1b43fde0e38ba3d7c1708e49fbc37c4bd542c8bd935e,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03|candidate_core_i004_04,candidate_core_i004_01|candidate_core_i004_02|candidate_core_i004_03,REMOVE_04,PASS
I004@white,I004,white,410040,bbfed4b7433733277bbe94247e3282ee8d920d73180473121272f648aa386698,bbfed4b7433733277bbe94247e3282ee8d920d73180473121272f648aa386698,bc34b58df1228263370ca9957181fee5979dc1bbae860a9bea3b5d03c7272f64,bc34b58df1228263370ca9957181fee5979dc1bbae860a9bea3b5d03c7272f64,869ddd18eb7ad4e0ce1bada4fe473f349d2057df28104d50cae9902494427962,869ddd18eb7ad4e0ce1bada4fe473f349d2057df28104d50cae9902494427962,candidate_core_i004_01,candidate_core_i004_01,NONE,PASS
I005@blue,I005,blue,410052,f3ba940b03e8816cdc7170c4975ac7724bb08d2037ccda83a908893eab3fdfb3,f3ba940b03e8816cdc7170c4975ac7724bb08d2037ccda83a908893eab3fdfb3,77213c53905bf8bc74561adaff278624983adf3f23daf66f5f4c585202aeacfb,77213c53905bf8bc74561adaff278624983adf3f23daf66f5f4c585202aeacfb,a029ab32b457f0a963356c2647e0d66430a0cd91d50d731abf7565b09439538f,a029ab32b457f0a963356c2647e0d66430a0cd91d50d731abf7565b09439538f,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03,NONE,PASS
I005@green,I005,green,410051,f9746ab21ee3e02567d1a62fe9cb75d0994110d94cdb0f2f4856b3b47134a5d3,f9746ab21ee3e02567d1a62fe9cb75d0994110d94cdb0f2f4856b3b47134a5d3,db2477b7abefc4056d853896808704fb8bad9d34080a4a38d690afdde55a5438,db2477b7abefc4056d853896808704fb8bad9d34080a4a38d690afdde55a5438,ce30747e60669a8b1f788d8625b13c69ef110400317635342f64a1391435ed0a,ce30747e60669a8b1f788d8625b13c69ef110400317635342f64a1391435ed0a,candidate_core_i005_01|candidate_core_i005_02,candidate_core_i005_01|candidate_core_i005_02,NONE,PASS
I005@orange,I005,orange,410054,c92493b5f6e55bb59a54bba81864bc5d80dda045366ee0df817c9b12ef90f6c3,25d433e2a8273e4a3343a0961278bba32550c73fc80885450b74a6f997a1512e,f70fab522ea2264efdabdc20dd08c91d51fd290bcd5e71184233f9d6c1688d7d,b13e68464695ae5843da4c56d69e76edc881b7e286bbf6be450d5504191c0423,fa5a82151c29052c8831faaef9f8b89857c988b79eb1a5cb21aee357595b0eb1,fa5a82151c29052c8831faaef9f8b89857c988b79eb1a5cb21aee357595b0eb1,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03|candidate_core_i005_04|candidate_core_i005_ultimate,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03|candidate_core_i005_ultimate,REMOVE_04_KEEP_ULT,PASS
I005@purple,I005,purple,410053,af865dd91aa1f1fc34ebf132a234c2e414005a3cdbca9019b8c1b200a237195c,5926189d2fa66bbf147514af4a36ebff03f7c853b2d1cad69a6a275ff6d7035a,7ac28d7847b53ea07409b0d8f0cba4a706485bec0b851b1e52b5eb6bc965c3cd,eb503fbacd293e3d8503c672bb55be8dd9487b257c3a112992de52859aba94a2,6c7b5f6527725eef26268a58f7b9324b79bb84a1af6176a45888d2197cd25f0c,6c7b5f6527725eef26268a58f7b9324b79bb84a1af6176a45888d2197cd25f0c,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03|candidate_core_i005_04,candidate_core_i005_01|candidate_core_i005_02|candidate_core_i005_03,REMOVE_04,PASS
I005@white,I005,white,410050,3e8d78eefeea9f2933dc45c11ed2ab8624ca706657c036c040c89403657fdbff,3e8d78eefeea9f2933dc45c11ed2ab8624ca706657c036c040c89403657fdbff,4108d8ebf2610fd7ad996e437cc6aa9ce667a35e47bbea51b82108f7461a98eb,4108d8ebf2610fd7ad996e437cc6aa9ce667a35e47bbea51b82108f7461a98eb,f3051fbf8a9f6e55a9ede467f55adb714def9f81354e3ee0845296b80e29c31f,f3051fbf8a9f6e55a9ede467f55adb714def9f81354e3ee0845296b80e29c31f,candidate_core_i005_01,candidate_core_i005_01,NONE,PASS
I006@blue,I006,blue,410062,fdba7338632149be131c750457f5aaf313c602b19c4294af9f835ebf8c60944e,fdba7338632149be131c750457f5aaf313c602b19c4294af9f835ebf8c60944e,f160c5e8a18fb870e4de190c09d3064fe5cfa1e9ae0e79063acc17f3e00380bf,f160c5e8a18fb870e4de190c09d3064fe5cfa1e9ae0e79063acc17f3e00380bf,b7bc2522f84b445d0596aaa774ca4137e9fd2207a57ef8144d18ffc038ff498c,b7bc2522f84b445d0596aaa774ca4137e9fd2207a57ef8144d18ffc038ff498c,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03,NONE,PASS
I006@green,I006,green,410061,62f75b1d80de825e8d7af4fa7105a97dfcae0f3517e6dc11e461c835d3915657,62f75b1d80de825e8d7af4fa7105a97dfcae0f3517e6dc11e461c835d3915657,14ea7a2f835b05ac7637b7a1cf1d89c8a3e29c84c614391e69014d4ba6be5b03,14ea7a2f835b05ac7637b7a1cf1d89c8a3e29c84c614391e69014d4ba6be5b03,19eeb0637f4076042c3dcec6f66679cc8a5669435468023bfd4e4d850f3feceb,19eeb0637f4076042c3dcec6f66679cc8a5669435468023bfd4e4d850f3feceb,candidate_core_i006_01|candidate_core_i006_02,candidate_core_i006_01|candidate_core_i006_02,NONE,PASS
I006@orange,I006,orange,410064,d1d0707b628db51ce351ad63158a70f85f0e2a033d524682fe413aa1532d984d,62bc5a5865498a8d7f3245b2599a38f33f4dd52da2d6cd60963f5e956076b17f,94c937fcec87d44b2de706aa53533ff15fae01270c2814b1e0c0ce3acbaeaeec,88bf5701d8f137e2e03b41005a80a55f9fcea0f236b89a4f66610231a447a6aa,b8099b1d568886baf037dd1618ddebfc13c863881e4f50c3c157da2e81a63cdb,b8099b1d568886baf037dd1618ddebfc13c863881e4f50c3c157da2e81a63cdb,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03|candidate_core_i006_04|candidate_core_i006_ultimate,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03|candidate_core_i006_ultimate,REMOVE_04_KEEP_ULT,PASS
I006@purple,I006,purple,410063,acb14916ca31efb314008df552ab062aabc8e1a3658c2ceb0ad4eca41858f91b,a1495453f55df3a884979a9818c0b5bf2ca691c62922399ed6c5b98176fab1ae,166e842638d084e15cf893655b3354ae75bb53703ec634e87669411f85b9afa3,0eade1ea4586988416b2689d9fade1e9b0bf13bbd671cd2703603d7a108455f1,1e0664c002788bab826f2f2afad45f0190df4c8de2ab03f4b50089ebb59be31a,1e0664c002788bab826f2f2afad45f0190df4c8de2ab03f4b50089ebb59be31a,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03|candidate_core_i006_04,candidate_core_i006_01|candidate_core_i006_02|candidate_core_i006_03,REMOVE_04,PASS
I006@white,I006,white,410060,95d4d66a10c7c2305801965b2a03935e7102d2f593ef6e1abcfd915eac71cf40,95d4d66a10c7c2305801965b2a03935e7102d2f593ef6e1abcfd915eac71cf40,05938128bc3939dfaeeb2644fecd8971b7aba8fe93453a918c881b76c0681ff1,05938128bc3939dfaeeb2644fecd8971b7aba8fe93453a918c881b76c0681ff1,d3a35c015ea018ba4ea76f17ad2e06906d77e5b90ab05293dfd6ff6a2ee00e5d,d3a35c015ea018ba4ea76f17ad2e06906d77e5b90ab05293dfd6ff6a2ee00e5d,candidate_core_i006_01,candidate_core_i006_01,NONE,PASS
I007@blue,I007,blue,410072,1c94764894363c6c8db3bfcf8db651be2896799b4ce1d5c95fc74c1d2fcf6400,1c94764894363c6c8db3bfcf8db651be2896799b4ce1d5c95fc74c1d2fcf6400,1a54a008f8e6f8db4bba139bacd13094af0fe61d3eab7116ba1030e0121f53a5,1a54a008f8e6f8db4bba139bacd13094af0fe61d3eab7116ba1030e0121f53a5,a568e19cf98a6b540f83bbee78b8a925bebf0845a04eb8f09f771ab48e40b5fa,a568e19cf98a6b540f83bbee78b8a925bebf0845a04eb8f09f771ab48e40b5fa,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03,NONE,PASS
I007@green,I007,green,410071,0dc03390348f2aeadd83ab85270a1b1f899d80e59d9649b587f34e0b279d4129,0dc03390348f2aeadd83ab85270a1b1f899d80e59d9649b587f34e0b279d4129,71cede94405e31e56a68cca7fb83d0d3ea6b4248b7252df2b8c485e7aae79d85,71cede94405e31e56a68cca7fb83d0d3ea6b4248b7252df2b8c485e7aae79d85,bce46a819d291df05a349eaf3e4d6cd73ac0d1a7d9d3864295b843f13a806587,bce46a819d291df05a349eaf3e4d6cd73ac0d1a7d9d3864295b843f13a806587,candidate_core_i007_01|candidate_core_i007_02,candidate_core_i007_01|candidate_core_i007_02,NONE,PASS
I007@orange,I007,orange,410074,8a2b1e1cc5fe389ab2ef151db94648e3d5d8bcedbed7702cf249d231af053ea3,2f96006e7c4ca99ef772f37d6ecd04b33caff52f2d4aabd56921caae91fddfb0,cabb112109ec3584333f87236e302cefb17df998833dd4153f7d9f62022bc05a,93e45104ca121c6aa7d818612582dea8861adecbe47f92f7cdb465dabf19bcf7,5ffd829f049c2d229544e6d32a36c1aa97ac479fb5a1d0f2c59a6e40f77a34cb,5ffd829f049c2d229544e6d32a36c1aa97ac479fb5a1d0f2c59a6e40f77a34cb,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03|candidate_core_i007_04|candidate_core_i007_ultimate,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03|candidate_core_i007_ultimate,REMOVE_04_KEEP_ULT,PASS
I007@purple,I007,purple,410073,93025635fee7263c060d2dcc369a1b38aa9c16e258dbc3fb5f00e217fda9da27,fb430638c2ed2a201ff0f8e7258bef24f2afa5f4df2721195c9c4b8217cb030f,bd31a09f217bbdc416e0a58c7fb00f42f3946ce420abd6ab6578e0a52053666d,a88edc01b85941889a842cb967aa82269d6471b971ff062152e6af5f22365987,8838e1e9b7e3e34527fcf11f005ad90039ef955f5fee3d2b4b72cc2bdb5b5674,8838e1e9b7e3e34527fcf11f005ad90039ef955f5fee3d2b4b72cc2bdb5b5674,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03|candidate_core_i007_04,candidate_core_i007_01|candidate_core_i007_02|candidate_core_i007_03,REMOVE_04,PASS
I007@white,I007,white,410070,4a4fd415c3802608bce3190a79911787323dd6e306a58e74734d9fe3146cc989,4a4fd415c3802608bce3190a79911787323dd6e306a58e74734d9fe3146cc989,17296146c0734372473842d3689896a7f02b9440edd7c12395f36469b2a48401,17296146c0734372473842d3689896a7f02b9440edd7c12395f36469b2a48401,3c30fa053abb70bba2bb4900001b00f7880da4a6d78ac95a609a160f9359c6a3,3c30fa053abb70bba2bb4900001b00f7880da4a6d78ac95a609a160f9359c6a3,candidate_core_i007_01,candidate_core_i007_01,NONE,PASS
I008@blue,I008,blue,410082,f0573967b6fac4dd09f986b34fa84cd959c7c501c5a470ec62e4dbaa83697fa1,f0573967b6fac4dd09f986b34fa84cd959c7c501c5a470ec62e4dbaa83697fa1,e0e42605b601358a81d5da90f128f6a0b12446560b7e05ba691c49c00c985b20,e0e42605b601358a81d5da90f128f6a0b12446560b7e05ba691c49c00c985b20,725239de81040af59aa0396009f033ae447af61e6202fa376d7031d39501a599,725239de81040af59aa0396009f033ae447af61e6202fa376d7031d39501a599,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03,NONE,PASS
I008@green,I008,green,410081,e07d2b18cf7caeddf0b8bf00741047ddd2bba8030b77055308341d838ae04209,e07d2b18cf7caeddf0b8bf00741047ddd2bba8030b77055308341d838ae04209,443fe4f61f72ee220decb61354f88b45e19369e70078d85d8ef6622a9926d192,443fe4f61f72ee220decb61354f88b45e19369e70078d85d8ef6622a9926d192,51ea290aa1696fc1515bf708846724734ccbb90ef6150a91665b6882c92f84f3,51ea290aa1696fc1515bf708846724734ccbb90ef6150a91665b6882c92f84f3,candidate_core_i008_01|candidate_core_i008_02,candidate_core_i008_01|candidate_core_i008_02,NONE,PASS
I008@orange,I008,orange,410084,782339c843c5413f6b9042bb7c8ad27063b77a85a5d7f0d7e3faf7a58146ad25,d8db494477c90ecd5e704ed42f99165170cc9fe734407e30de36e64146789436,1c90ae129b9a37394fa35e79bae92031b9c3992faa0d801e3e0e392bce07d5f4,46dcfb3690993e3d3ace300c5f7eac115e63edcf5d1fb9a304fabdea71357916,52ff99e60271db3fd4eea01205dd526ce09661fa18ad155311bb5d8efc8c74c5,52ff99e60271db3fd4eea01205dd526ce09661fa18ad155311bb5d8efc8c74c5,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03|candidate_core_i008_04|candidate_core_i008_ultimate,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03|candidate_core_i008_ultimate,REMOVE_04_KEEP_ULT,PASS
I008@purple,I008,purple,410083,50d2c52b5316029316a308d25151b2ad213e67fa8abe03374b14ac552139061f,a21935aefb95a56b46df3da75e7744906ebb395bd6e460f0cabba22b774d2128,0ca3cdb40628220ce2921bb3b50bda13a871abec6afaebc1af9bbdd2e44469bf,a94ed92a8f72da88ce75b67e6793b7ffe242a5334394c361bd1246af1514fefa,032d383c30969c129ce31263a8256d148542580cfb229db359a9775399602607,032d383c30969c129ce31263a8256d148542580cfb229db359a9775399602607,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03|candidate_core_i008_04,candidate_core_i008_01|candidate_core_i008_02|candidate_core_i008_03,REMOVE_04,PASS
I008@white,I008,white,410080,afbd557fb32f79a3694180ab7637d90c8977a6ad51a6873a7448ef4746b765c4,afbd557fb32f79a3694180ab7637d90c8977a6ad51a6873a7448ef4746b765c4,503b015a2e7bb086850c9a5dba8ff0339db7791f664eb38c57606aa2ca6ab1bd,503b015a2e7bb086850c9a5dba8ff0339db7791f664eb38c57606aa2ca6ab1bd,6e56f184ca686bf7c8c172818a6e328a002f5c253a0b0ceebb6169bbfd5436b3,6e56f184ca686bf7c8c172818a6e328a002f5c253a0b0ceebb6169bbfd5436b3,candidate_core_i008_01,candidate_core_i008_01,NONE,PASS
