carrier,check,status,source,target,outcome
"BOARD","BoardGridCell_03.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_04.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_04.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_05.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_05.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_06.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_06.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_07.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_07.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_08.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_08.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_09.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_09.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_10.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_10.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_11.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_11.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_12.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_12.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_13.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_13.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_14.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_14.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_15.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_15.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_16.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_16.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_17.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_17.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_18.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_18.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_19.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_19.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_20.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_20.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_21.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_21.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_22.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_22.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_23.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_23.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_24.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_24.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","BoardGridCell_25.rect",PASS,"0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|0:0|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"BOARD","BoardGridCell_25.image",PASS,"Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","Assets/_Game/Resources/V04/beibao/gezi_light.png|Assets/_Game/Scripts/TalismanBag/BuildSandbox/UI_CellGlow_Additive.mat|1:0.572549045:0.305882365:0.784313738|Simple|False|True|True|True|1","EXACT_COPY"
"BOARD","authored.dynamic_refs",PASS,"complete","complete","PROMOTED_AUTHORED_REF"
"BOARD","missing_scripts",PASS,"0","0","STATIC_VALIDATION"
"TRAY","root.rect",PASS,"0.5:0.5|0.5:0.5|0:-372|800:800|0.5:0.5|1:1:1|0:0:0:1","0.5:0.5|0.5:0.5|0:-372|800:800|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"TRAY","root.image",PASS,"Assets/_Game/Resources/战斗页道具栏UI/棋盘/qipan_black1024.png||1:1:1:1|Simple|False|True|False|True|1","Assets/_Game/Resources/战斗页道具栏UI/棋盘/qipan_black1024.png||1:1:1:1|Simple|False|True|False|True|1","EXACT_COPY"
"TRAY","root.child_order",PASS,"ItemTraySlot_01>ItemTraySlot_02>ItemTraySlot_03>ItemTraySlot_04>ItemTraySlot_05>ItemTraySlot_06>ItemTraySlot_07>ItemTraySlot_08>ItemTraySlot_09>ItemTraySlot_10>CategoryTabsRoot>ItemTrayViewport>TrayArrangeButton","ItemTraySlot_01>ItemTraySlot_02>ItemTraySlot_03>ItemTraySlot_04>ItemTraySlot_05>ItemTraySlot_06>ItemTraySlot_07>ItemTraySlot_08>ItemTraySlot_09>ItemTraySlot_10>CategoryTabsRoot>ItemTrayViewport>TrayArrangeButton","EXACT_BASE_ORDER"
"TRAY","CategoryTabsRoot.rect",PASS,"0.5:0.5|0.5:0.5|0:442|700:90|0.5:0.5|1:1:1|0:0:0:1","0.5:0.5|0.5:0.5|0:442|700:90|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"TRAY","ItemTrayViewport.rect",PASS,"0.5:0.5|0.5:0.5|-2.8:19.9|700:700|0.5:0.5|1:1:1|0:0:0:1","0.5:0.5|0.5:0.5|-2.8:19.9|700:700|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"TRAY","ItemTrayContent.rect",PASS,"0.5:0.5|0.5:0.5|4.6:350.000031|700:700|0.5:1|1:1:1|0:0:0:1","0.5:0.5|0.5:0.5|4.6:350.000031|700:700|0.5:1|1:1:1|0:0:0:1","EXACT_COPY"
"TRAY","ItemCardLayer.rect",PASS,"0:0|1:1|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","0:0|1:1|0:0|0:0|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"TRAY","scrollrect.contract",PASS,"False|True|Clamped|0.1|True|0.135|18|ItemTrayViewport|ItemTrayContent","False|True|Clamped|0.1|True|0.135|18|ItemTrayViewport|ItemTrayContent","EXACT_COPY"
"TRAY","viewport.mask.padding",PASS,"(0.00, -25.00, -12.00, 0.00)","(0.00, -25.00, -12.00, 0.00)","EXACT_COPY"
"TRAY","content.grid_layout",PASS,"UpperLeft|Horizontal|UpperCenter|140:140|5:5|FixedColumnCount|5|8|8|8|8","UpperLeft|Horizontal|UpperCenter|140:140|5:5|FixedColumnCount|5|8|8|8|8","EXACT_COPY"
"TRAY","category.count",PASS,"6","6","EXACT_COPY"
"TRAY","formal_card_pool",PASS,"3 authored reusable instances","3","INTENTIONAL_SCRIPT_CARRIER_SUBSTITUTION"
"TRAY","missing_scripts",PASS,"0","0","STATIC_VALIDATION"
"CARD","root.rect",PASS,"0:1|0:1|-10:-297.999969|284.999969:285|0:1|1:1:1|0:0:0:1","0:1|0:1|-10:-297.999969|284.999969:285|0:1|1:1:1|0:0:0:1","EXACT_COPY"
"CARD","base_child_order",PASS,"TrayLayoutCellLayer>ItemCard_04_image>Title>Category>Shape","TrayLayoutCellLayer>ItemCard_04_image>Title>Category>Shape","EXACT_BASE_ORDER"
"CARD","root.layout_element",PASS,"NONE","NONE","EXACT_COPY"
"CARD","artwork_slot.rect",PASS,"0.5:0.5|0.5:0.5|0:0|275:275|0.5:0.5|1:1:1|0:0:0:1","0.5:0.5|0.5:0.5|0:0|275:275|0.5:0.5|1:1:1|0:0:0:1","EXACT_COPY"
"CARD","artwork_slot.sprite",PASS,"null","null","EXACT_COPY"
"CARD","artwork_slot.preserve_aspect",PASS,"source runtime contract forces true","True","INTENTIONAL_SCRIPT_CARRIER_SUBSTITUTION"
"CARD","Title.font",PASS,"Library/unity default resources|11|Normal|UpperCenter|0.9:0.87:0.76:1|False","Library/unity default resources|11|Normal|UpperCenter|0.9:0.87:0.76:1|False","EXACT_COPY"
"CARD","Category.font",PASS,"Library/unity default resources|10|Normal|MiddleCenter|0.9:0.87:0.76:1|False","Library/unity default resources|10|Normal|MiddleCenter|0.9:0.87:0.76:1|False","EXACT_COPY"
"CARD","Shape.font",PASS,"Library/unity default resources|10|Normal|UpperCenter|0.9:0.87:0.76:1|False","Library/unity default resources|10|Normal|UpperCenter|0.9:0.87:0.76:1|False","EXACT_COPY"
"CARD","authored.refs",PASS,"complete","complete","PROMOTED_AUTHORED_REF"
"CARD","source_roles_01_05",PASS,"5 compared","ItemCard_01=0:1|0:1|-10:-8.00003052|284.999969:284.999939|0:1|1:1:1|0:0:0:1;ItemCard_02=0:1|0:1|280:-8.00003052|285.000031:284.999939|0:1|1:1:1|0:0:0:1;ItemCard_03=0:1|0:1|570.000061:-8.00003052|139.999939:429.999969|0:1|1:1:1|0:0:0:1;ItemCard_04=0:1|0:1|-10:-297.999969|284.999969:285|0:1|1:1:1|0:0:0:1;ItemCard_05=0:1|0:1|280:-297.999969|285.000031:285|0:1|1:1:1|0:0:0:1","COMMON_PLUS_INTENTIONAL_ROLE_DIFFERENCES"
"C1ExactBattleSandboxItemBoard","prefab_mode.serialized_inspection",PASS,"missing_scripts=0;view=C1ExactBattleSandboxItemBoardView","missing_scripts=0;view=True","PREFAB_MODE_STATIC_INSPECTION"
"C1ExactBattleSandboxItemTray","prefab_mode.serialized_inspection",PASS,"missing_scripts=0;view=C1ExactBattleSandboxItemTrayView","missing_scripts=0;view=True","PREFAB_MODE_STATIC_INSPECTION"
"C1ExactBattleSandboxItemCard","prefab_mode.serialized_inspection",PASS,"missing_scripts=0;view=C1ExactBattleSandboxItemCardView","missing_scripts=0;view=True","PREFAB_MODE_STATIC_INSPECTION"
"C1ExactBattleSandboxItemBoard","no_sandbox_runtime_component",PASS,"0","0","STATIC_ISOLATION"
"C1ExactBattleSandboxItemBoard","missing_scripts",PASS,"0","0","STATIC_VALIDATION"
"C1ExactBattleSandboxItemTray","no_sandbox_runtime_component",PASS,"0","0","STATIC_ISOLATION"
"C1ExactBattleSandboxItemTray","missing_scripts",PASS,"0","0","STATIC_VALIDATION"
"C1ExactBattleSandboxItemCard","no_sandbox_runtime_component",PASS,"0","0","STATIC_ISOLATION"
"C1ExactBattleSandboxItemCard","missing_scripts",PASS,"0","0","STATIC_VALIDATION"
"ROLE","BoardItemArtworkLayer",PASS,"PROMOTED_AUTHORED_REF","PROMOTED_AUTHORED_REF","SERIALIZED_DYNAMIC_CARRIER"
"ROLE","placed_preview_invalid_artwork",PASS,"FORMAL_ADAPTER_DYNAMIC_STATE_ON_AUTHORED_REF","FORMAL_ADAPTER_DYNAMIC_STATE_ON_AUTHORED_REF","SERIALIZED_DYNAMIC_CARRIER"
"ROLE","formation_core_power_lighting_overlay",PASS,"FORMAL_ADAPTER_DYNAMIC_STATE_ON_AUTHORED_REF","FORMAL_ADAPTER_DYNAMIC_STATE_ON_AUTHORED_REF","SERIALIZED_DYNAMIC_CARRIER"
"ROLE","drag_ghost_layers_underlays",PASS,"PROMOTED_AUTHORED_REF","PROMOTED_AUTHORED_REF","SERIALIZED_DYNAMIC_CARRIER"
"ROLE","mobile_rotate_zone_right_and_guide",PASS,"PROMOTED_AUTHORED_REF","PROMOTED_AUTHORED_REF","AUTHORED_SOURCE_SUBTREE"
"ROLE","selected_info_close_handling",PASS,"OUTSIDE_THIS_CARRIER_DOWNSTREAM","OUTSIDE_THIS_CARRIER_DOWNSTREAM","FULL_PAGE_COMPOSITION_NOT_COPIED"
