scenarioId,itemSourceSignature,encounterId,chapterLabelDevOnly,evaluationStatus,readinessBand,knownRequirementCount,unknownRequirementCount,metRequirementCount,gapCount,supportedCapabilities,unknownCapabilities,resultCanonicalSignature,notes
"EMPTY","ibcr64116eeb379e47302620bbaeb13ae1794d6ebcac69b9d8600816976d327bfc82","dev_encounter_4_10_furnace_core","4-10","BLOCKED_BY_UNKNOWN","","4","18","0","4","","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:8c40819f9f508e01317437b8894c83fd087faa66849df990e42324a68fb65288","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"EMPTY","ibcr64116eeb379e47302620bbaeb13ae1794d6ebcac69b9d8600816976d327bfc82","dev_encounter_4_10_thunder_fire_cross","4-10","BLOCKED_BY_UNKNOWN","","3","12","0","3","","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:14607068acfee9a83dc154ab0f3c7aa53d04baa6977ff7136ea7437dafbce694","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"MIXED_SUPPORTED","ibcra4864e84f26dc84c79c9c4f86bb770b46fcff162072e0ebe34121f54186c8006","dev_encounter_3_10_cleanse_corner","3-10","BLOCKED_BY_UNKNOWN","","2","8","0","2","capability.guard_power","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","sha256:1d7715dac900886fd9b8d69f6de95dab036ed3e544b761baa4500b45b36177aa","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"MIXED_SUPPORTED","ibcra4864e84f26dc84c79c9c4f86bb770b46fcff162072e0ebe34121f54186c8006","dev_encounter_3_10_guard_wall","3-10","BLOCKED_BY_UNKNOWN","","2","9","0","2","capability.guard_power","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","sha256:020a6974d35982722e7fa31b05b1010de50eb1da4090a4bbb5735e61a9f8a28a","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"MIXED_SUPPORTED","ibcra4864e84f26dc84c79c9c4f86bb770b46fcff162072e0ebe34121f54186c8006","dev_encounter_4_10_furnace_core","4-10","BLOCKED_BY_UNKNOWN","","4","18","0","4","capability.break_power;capability.guard_power","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:e67a2ec396c74bff9cb27e98eb4797130cce2b80921263a1fd244397ef1064f5","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"MIXED_SUPPORTED","ibcra4864e84f26dc84c79c9c4f86bb770b46fcff162072e0ebe34121f54186c8006","dev_encounter_4_10_thunder_fire_cross","4-10","BLOCKED_BY_UNKNOWN","","3","12","0","3","capability.break_power;capability.guard_power","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:ee923fab26679fa9b78c1aa19fdaaf6f2e954dbb876b696b4eb8d9ca8cfee250","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"OFFENSE_SUPPORTED","ibcra064b95b75087977b274e8411ce7baaf48a3f31e81875458f41326c07f1311c3","dev_encounter_3_10_cleanse_corner","3-10","BLOCKED_BY_UNKNOWN","","2","8","0","2","","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","sha256:db267e74d6c29bb72e3ebe455e2101400fc1043b04c6d7a2439c1de3fd5606fd","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"OFFENSE_SUPPORTED","ibcra064b95b75087977b274e8411ce7baaf48a3f31e81875458f41326c07f1311c3","dev_encounter_3_10_guard_wall","3-10","BLOCKED_BY_UNKNOWN","","2","9","0","2","","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","sha256:ebeabf6f292a5d93eb1a48e9531c99182ed8cfe512ae93a7ac947a0ca31ccc82","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"OFFENSE_SUPPORTED","ibcra064b95b75087977b274e8411ce7baaf48a3f31e81875458f41326c07f1311c3","dev_encounter_4_10_furnace_core","4-10","BLOCKED_BY_UNKNOWN","","4","18","0","4","capability.break_power","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:b8de52fb2b1b0853826dccd61cb0d381acf784948cf05367a0e37790e5cb709c","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"OFFENSE_SUPPORTED","ibcra064b95b75087977b274e8411ce7baaf48a3f31e81875458f41326c07f1311c3","dev_encounter_4_10_thunder_fire_cross","4-10","BLOCKED_BY_UNKNOWN","","3","12","0","3","capability.break_power","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:5b387ef83be05da92d0edc930aac530477f5716bffd87f3fa8e140387244ac14","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"RARITY_VARIANTS","ibcr9c0b4687bb9117cfb39152f8858b816f9f4a86eb90f2045b4e386b39318eb5d9","dev_encounter_3_10_cleanse_corner","3-10","BLOCKED_BY_UNKNOWN","","2","8","0","2","capability.guard_power","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","sha256:eddca7061f04a4aa4591bce27ce23dd25df5130bda08e946a814c6d0f56db4a5","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"RARITY_VARIANTS","ibcr9c0b4687bb9117cfb39152f8858b816f9f4a86eb90f2045b4e386b39318eb5d9","dev_encounter_3_10_guard_wall","3-10","BLOCKED_BY_UNKNOWN","","2","9","0","2","capability.guard_power","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","sha256:1420a8acc72da9cd1454b4d7c1556b45cf99f098f3b81bfefb468b74304dfcd5","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"RARITY_VARIANTS","ibcr9c0b4687bb9117cfb39152f8858b816f9f4a86eb90f2045b4e386b39318eb5d9","dev_encounter_4_10_furnace_core","4-10","BLOCKED_BY_UNKNOWN","","4","18","0","4","capability.guard_power","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:1196cc17128ac2952b7381a754b32c9a03817771a8fc44104cef119831646a98","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"RARITY_VARIANTS","ibcr9c0b4687bb9117cfb39152f8858b816f9f4a86eb90f2045b4e386b39318eb5d9","dev_encounter_4_10_thunder_fire_cross","4-10","BLOCKED_BY_UNKNOWN","","3","12","0","3","capability.guard_power","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:c72969e3f122843b8d569835ff51ea622c0f58e32c620eca3ab658d36898d461","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"SAME_BASE_MULTI_INSTANCE","ibcr3389c48b25640ae93f1d545b61c3696c2cde7c72410dbe8a3231a8b58a976604","dev_encounter_3_10_cleanse_corner","3-10","BLOCKED_BY_UNKNOWN","","2","8","0","2","","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","sha256:b7fc9b11dd4f7e51cc300e279cc96130f4fe516e3c26b0dbe27a329dd6aade02","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"SAME_BASE_MULTI_INSTANCE","ibcr3389c48b25640ae93f1d545b61c3696c2cde7c72410dbe8a3231a8b58a976604","dev_encounter_3_10_guard_wall","3-10","BLOCKED_BY_UNKNOWN","","2","9","0","2","","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","sha256:a868f61f8e44af70ec288715d7f3f0c14e7992ba5a0db811a36d7f1c8b98e78c","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"SAME_BASE_MULTI_INSTANCE","ibcr3389c48b25640ae93f1d545b61c3696c2cde7c72410dbe8a3231a8b58a976604","dev_encounter_4_10_furnace_core","4-10","BLOCKED_BY_UNKNOWN","","4","18","0","4","capability.break_power","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:61b1739bfc76f948a07c7e5c99d4e0cd3426eb48588e2295bd9d6c92cbd865ad","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"SAME_BASE_MULTI_INSTANCE","ibcr3389c48b25640ae93f1d545b61c3696c2cde7c72410dbe8a3231a8b58a976604","dev_encounter_4_10_thunder_fire_cross","4-10","BLOCKED_BY_UNKNOWN","","3","12","0","3","capability.break_power","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:0e5537a97f27cbeb13c91bf87f1ec35697d0b38ca476b825af0a2d86697adbe2","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"SPARSE_UNKNOWN","ibcr6a784758b794aa3849b20561f7903eea9f31192e864222989becba700fdcf2d1","dev_encounter_3_10_cleanse_corner","3-10","BLOCKED_BY_UNKNOWN","","2","8","0","2","","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","sha256:0abb926ab87b7550c7c2723444b41fb226c831ea76e0b25c2f5bc39d54dd2f3d","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"SPARSE_UNKNOWN","ibcr6a784758b794aa3849b20561f7903eea9f31192e864222989becba700fdcf2d1","dev_encounter_3_10_guard_wall","3-10","BLOCKED_BY_UNKNOWN","","2","9","0","2","","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","sha256:edda3c19cb3693c15388d09aff3a7b2c2bdf0d939fe1b0ed75ceccd84bfcffd3","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"SPARSE_UNKNOWN","ibcr6a784758b794aa3849b20561f7903eea9f31192e864222989becba700fdcf2d1","dev_encounter_4_10_furnace_core","4-10","BLOCKED_BY_UNKNOWN","","4","18","0","4","","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:b337bb9139a5e48d7f0c3fa84bd669597679cbbbd1ef4ac15c670827830a85fe","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
"SPARSE_UNKNOWN","ibcr6a784758b794aa3849b20561f7903eea9f31192e864222989becba700fdcf2d1","dev_encounter_4_10_thunder_fire_cross","4-10","BLOCKED_BY_UNKNOWN","","3","12","0","3","","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","sha256:97fcdae2e7f700bac43dd68ee007501567d32c4388a4b286affc2771a0780178","READINESS_SUPPRESSED_BY_DECISIVE_UNKNOWN"
