feedbackId,feedbackKind,bossDisplayNameChinese,stateLineChinese,castSkillLineChinese,floatingTextChinese,combatLogLineChinese,reuseSourceComponent,reuseLanguagePattern,sourceDataPath,developerDataPanelFieldKey,castDurationSeconds,devOnly,isEnabled,playerVisible,developerPanelVisible,playerShowsCompleteAnswer,usesFloatingCombatTextLanguage,usesEnemyCastBarLanguage,usesBossInfoLanguage,runsFormalCombat,callsFormalDamageSettlement,writesFormalFlow,writesFormalSaveData,grantsFormalReward,advancesChapter,opensFeatureFlag,formalLeak
mechanic.mapMechanic.dev_map_bluestone_damp,mechanicFeedback,首领,机制反馈：地脉正在换向,机制变化,地脉正在换向,【机制】地脉正在换向。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.mapRules,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.mapMechanic.dev_map_lamp_shortage,mechanicFeedback,首领,机制反馈：供能短暂紊乱,机制变化,供能短暂紊乱,【机制】供能短暂紊乱。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.mapRules,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.mapMechanic.dev_map_copper_bell_night,mechanicFeedback,首领,机制反馈：边线出现压迫,机制变化,边线出现压迫,【机制】边线出现压迫。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.mapRules,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.mapMechanic.dev_map_formation_eye_shift,mechanicFeedback,首领,机制反馈：灵气流速改变,机制变化,灵气流速改变,【机制】灵气流速改变。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.mapRules,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.mapMechanic.dev_map_talisman_paper_damp,mechanicFeedback,首领,机制反馈：场上气息偏冷,机制变化,场上气息偏冷,【机制】场上气息偏冷。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.mapRules,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.mapMechanic.dev_map_old_lane_echo,mechanicFeedback,首领,机制反馈：符位开始震动,机制变化,符位开始震动,【机制】符位开始震动。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.mapRules,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.mapMechanic.dev_map_furnace_ash_fall,mechanicFeedback,首领,机制反馈：阵眼需要留意,机制变化,阵眼需要留意,【机制】阵眼需要留意。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.mapRules,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.mapMechanic.dev_map_night_watch_lamp_out,mechanicFeedback,首领,机制反馈：阵面压力升高,机制变化,阵面压力升高,【机制】阵面压力升高。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.mapRules,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.mapMechanic.dev_map_bluestone_crack,mechanicFeedback,首领,机制反馈：地脉正在换向,机制变化,地脉正在换向,【机制】地脉正在换向。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.mapRules,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.enemyMechanic.dev_enemy_shield_problem,mechanicFeedback,首领,机制反馈：供能短暂紊乱,机制变化,供能短暂紊乱,【机制】供能短暂紊乱。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.enemyMechanic.dev_enemy_swarm_problem,mechanicFeedback,首领,机制反馈：边线出现压迫,机制变化,边线出现压迫,【机制】边线出现压迫。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.enemyMechanic.dev_enemy_poison_burn_problem,mechanicFeedback,首领,机制反馈：灵气流速改变,机制变化,灵气流速改变,【机制】灵气流速改变。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.enemyMechanic.dev_enemy_spirit_thief_problem,mechanicFeedback,首领,机制反馈：场上气息偏冷,机制变化,场上气息偏冷,【机制】场上气息偏冷。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.enemyMechanic.dev_enemy_seal_problem,mechanicFeedback,首领,机制反馈：符位开始震动,机制变化,符位开始震动,【机制】符位开始震动。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.enemyMechanic.dev_enemy_burst_problem,mechanicFeedback,首领,机制反馈：阵眼需要留意,机制变化,阵眼需要留意,【机制】阵眼需要留意。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.enemyMechanic.dev_enemy_caster_problem,mechanicFeedback,首领,机制反馈：阵面压力升高,机制变化,阵面压力升高,【机制】阵面压力升高。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.enemyMechanic.dev_enemy_thick_blood_problem,mechanicFeedback,首领,机制反馈：地脉正在换向,机制变化,地脉正在换向,【机制】地脉正在换向。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.enemyMechanic.dev_enemy_polluted_tile_problem,mechanicFeedback,首领,机制反馈：供能短暂紊乱,机制变化,供能短暂紊乱,【机制】供能短暂紊乱。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.enemyMechanic.dev_enemy_formation_eye_problem,mechanicFeedback,首领,机制反馈：边线出现压迫,机制变化,边线出现压迫,【机制】边线出现压迫。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.enemyProblems,hardSolutionTags,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.bossSkill.dev_boss_black_furnace_shell,mechanicFeedback,首领,机制反馈：灵气流速改变,机制变化,灵气流速改变,【机制】灵气流速改变。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.bossSkill.dev_boss_dirty_dream_mother,mechanicFeedback,首领,机制反馈：场上气息偏冷,机制变化,场上气息偏冷,【机制】场上气息偏冷。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.bossSkill.dev_boss_spirit_thief_core,mechanicFeedback,首领,机制反馈：符位开始震动,机制变化,符位开始震动,【机制】符位开始震动。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.bossSkill.dev_boss_bronze_formation_general,mechanicFeedback,首领,机制反馈：阵眼需要留意,机制变化,阵眼需要留意,【机制】阵眼需要留意。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.bossSkill.dev_boss_paper_faces,mechanicFeedback,首领,机制反馈：阵面压力升高,机制变化,阵面压力升高,【机制】阵面压力升高。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
mechanic.bossSkill.dev_boss_black_furnace_complex_eye,mechanicFeedback,首领,机制反馈：地脉正在换向,机制变化,地脉正在换向,【机制】地脉正在换向。,BattleHint / CombatLog,Battle hint lane + short combat log phrase,BuildProblemSeedDataset.bossProblems,bossSixKeyFullAnswer,2.40,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_enemy_shield_break,failureFeedback,首领,反馈：短板被放大,压力反馈,短板被放大,【反馈】短板被放大，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_enemy_swarm_clear,failureFeedback,首领,反馈：供能跟不上,压力反馈,供能跟不上,【反馈】供能跟不上，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_enemy_dot_cleanse,failureFeedback,首领,反馈：抗压略显不足,压力反馈,抗压略显不足,【反馈】抗压略显不足，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_enemy_energy_stability,failureFeedback,首领,反馈：清场节奏偏慢,压力反馈,清场节奏偏慢,【反馈】清场节奏偏慢，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_enemy_seal_unlock,failureFeedback,首领,反馈：回复窗口偏窄,压力反馈,回复窗口偏窄,【反馈】回复窗口偏窄，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_enemy_burst_guard,failureFeedback,首领,反馈：护盾承压过高,压力反馈,护盾承压过高,【反馈】护盾承压过高，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_enemy_caster_interrupt,failureFeedback,首领,反馈：短板被放大,压力反馈,短板被放大,【反馈】短板被放大，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_enemy_thick_blood,failureFeedback,首领,反馈：供能跟不上,压力反馈,供能跟不上,【反馈】供能跟不上，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_enemy_polluted_tile,failureFeedback,首领,反馈：抗压略显不足,压力反馈,抗压略显不足,【反馈】抗压略显不足，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_enemy_formation_eye,failureFeedback,首领,反馈：清场节奏偏慢,压力反馈,清场节奏偏慢,【反馈】清场节奏偏慢，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_boss_black_shell,failureFeedback,首领,反馈：回复窗口偏窄,压力反馈,回复窗口偏窄,【反馈】回复窗口偏窄，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_boss_dirty_mother,failureFeedback,首领,反馈：护盾承压过高,压力反馈,护盾承压过高,【反馈】护盾承压过高，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_boss_spirit_core,failureFeedback,首领,反馈：短板被放大,压力反馈,短板被放大,【反馈】短板被放大，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_boss_bronze_general,failureFeedback,首领,反馈：供能跟不上,压力反馈,供能跟不上,【反馈】供能跟不上，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_boss_paper_faces,failureFeedback,首领,反馈：抗压略显不足,压力反馈,抗压略显不足,【反馈】抗压略显不足，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_boss_complex_eye,failureFeedback,首领,反馈：清场节奏偏慢,压力反馈,清场节奏偏慢,【反馈】清场节奏偏慢，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
failure.hint_boss_complex_eye_energy,failureFeedback,首领,反馈：回复窗口偏窄,压力反馈,回复窗口偏窄,【反馈】回复窗口偏窄，回整备再补一手。,BattleHint,Failed placement feedback tone,BuildProblemSeedDataset.failureHints,requiredStats,2.00,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_basic,enemyState,普通怪,普通怪：敌势正在聚拢,敌人意图,敌势正在聚拢,【敌势】敌势正在聚拢。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,1.80,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_shield_guard,enemyState,护盾怪,护盾怪：敌人准备突进,敌人意图,敌人准备突进,【敌势】敌人准备突进。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,2.15,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_poison_cultist,enemyState,毒怪,毒怪：敌人护势上升,敌人意图,敌人护势上升,【敌势】敌人护势上升。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,2.50,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_burning_wisp,enemyState,燃烧怪,燃烧怪：敌人施压加快,敌人意图,敌人施压加快,【敌势】敌人施压加快。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,1.80,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_spirit_thief,enemyState,偷灵怪,偷灵怪：敌人露出意图,敌人意图,敌人露出意图,【敌势】敌人露出意图。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,2.15,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_seal_locker,enemyState,封符怪,封符怪：敌人短暂停顿,敌人意图,敌人短暂停顿,【敌势】敌人短暂停顿。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,2.50,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_swarm_pack,enemyState,群怪,群怪：敌势正在聚拢,敌人意图,敌势正在聚拢,【敌势】敌势正在聚拢。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,1.80,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_burst_assassin,enemyState,高爆发怪,高爆发怪：敌人准备突进,敌人意图,敌人准备突进,【敌势】敌人准备突进。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,2.15,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_caster_chanter,enemyState,施法怪,施法怪：敌人护势上升,敌人意图,敌人护势上升,【敌势】敌人护势上升。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,2.50,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_thick_blood,enemyState,厚血怪,厚血怪：敌人施压加快,敌人意图,敌人施压加快,【敌势】敌人施压加快。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,1.80,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False
enemyState.dev_enemy_formation_eye_jammer,enemyState,阵眼干扰怪,阵眼干扰怪：敌人露出意图,敌人意图,敌人露出意图,【敌势】敌人露出意图。,V02EnemyIntentUI,Enemy intent short state,EnemyBossValidationPool.enemies,hardSolutionTags,2.15,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False

developerKey,chineseDisplayName,dataPanelSlot,sourceDataPath,developerVisible,playerVisible,maskedFromPlayer
hardSolutionTags,硬解标签,EnemyCombatFeedbackDeveloperPanel,BuildProblemSeedDataset.enemyProblems.hardSolutionTags,True,False,True
requiredSynergy,必需协同,EnemyCombatFeedbackDeveloperPanel,BuildProblemSeedDataset.bossProblems.keyRequirements,True,False,True
requiredAffix,必需词缀,EnemyCombatFeedbackDeveloperPanel,BuildProblemSeedDataset.bossProblems.keyRequirements,True,False,True
requiredStats,必需属性,EnemyCombatFeedbackDeveloperPanel,BuildProblemSeedDataset.bossProblems.requiredProblemAttributes,True,False,True
dropBiasWeights,定向倾向权重,EnemyCombatFeedbackDeveloperPanel,BuildProblemSeedDataset.dropBiases.previewWeight,True,False,True
bossSixKeyFullAnswer,Boss六钥匙完整答案,EnemyCombatFeedbackDeveloperPanel,BuildProblemSeedDataset.bossProblems.keyRequirements,True,False,True
