recordType,id,rarity,detailA,detailB,detailC,detailD,dataMaturity
profile,I014,,affix_guard_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_guard_refund:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i014,BALANCE_CANDIDATE
profile,I015,,affix_guard_up,affix_control_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_array_guard:8|affix_guard_refund:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i015,BALANCE_CANDIDATE
profile,I016,,affix_guard_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_guard_refund:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i016,BALANCE_CANDIDATE
profile,I017,,affix_guard_up,affix_control_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_guard_refund:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i017,BALANCE_CANDIDATE
profile,I018,,affix_guard_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_isolated_power:8|affix_guard_refund:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i018,BALANCE_CANDIDATE
profile,I019,,affix_cleanse_up,affix_heal_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_overheal_to_guard:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i019,BALANCE_CANDIDATE
profile,I020,,affix_cleanse_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_overheal_to_guard:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i020,BALANCE_CANDIDATE
profile,I021,,affix_cleanse_up,affix_guard_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_array_guard:8|affix_overheal_to_guard:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i021,BALANCE_CANDIDATE
profile,I022,,affix_heal_up,affix_cleanse_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_overheal_to_guard:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i022,BALANCE_CANDIDATE
profile,I023,,affix_cleanse_up,affix_control_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_overheal_to_guard:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i023,BALANCE_CANDIDATE
profile,I024,,affix_cleanse_up,affix_heal_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_isolated_power:8|affix_overheal_to_guard:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i024,BALANCE_CANDIDATE
profile,I025,,affix_control_up,affix_duration_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_debuff_target_power:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i025,BALANCE_CANDIDATE
profile,I026,,affix_damage_up,affix_control_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_debuff_target_power:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i026,BALANCE_CANDIDATE
profile,I027,,affix_break_up,affix_control_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_array_guard:8|affix_debuff_target_power:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i027,BALANCE_CANDIDATE
profile,I028,,affix_control_up,affix_break_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_debuff_target_power:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i028,BALANCE_CANDIDATE
profile,I029,,affix_control_up,affix_break_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_adjacent_damage:8|affix_debuff_target_power:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i029,BALANCE_CANDIDATE
profile,I030,,affix_damage_up,affix_control_up:4|affix_nian_efficiency:3|affix_cooldown_reduction:3|affix_isolated_power:8|affix_debuff_target_power:7|affix_trigger_refund:4|affix_direct_lit_power:3|affix_core_next_power:2|affix_first_trigger_bonus:1,5,candidate_pool_i030,BALANCE_CANDIDATE
build,candidate_build_white,white,100,0,0,0,BALANCE_CANDIDATE
build,candidate_build_green,green,70,15,15,0,BALANCE_CANDIDATE
build,candidate_build_blue,blue,45,25,25,5,BALANCE_CANDIDATE
build,candidate_build_purple,purple,20,30,30,20,BALANCE_CANDIDATE
build,candidate_build_orange,orange,5,20,20,55,BALANCE_CANDIDATE
drop,1-10,,100,0,0,0/0,BALANCE_CANDIDATE
drop,11-20,,70,25,5,0/0,BALANCE_CANDIDATE
drop,21-30,,45,35,17,3/0,BALANCE_CANDIDATE
drop,31-40,,25,35,28,10/2,BALANCE_CANDIDATE
drop,41-+,,10,25,35,22/8,BALANCE_CANDIDATE
