affixId,displayName,description,effectCategory,operation,triggerEventId,conditionId,targetStatId,valueUnitKey,valueUnits,secondaryValueUnits,mutexGroupId,repeatPolicy,dataMaturity
"affix_fast_weak_trade","急式","冷却降低X回合，但基础效果降低Y%。","TradeoffEffect","ReduceFlat","always","NONE","cooldown","turn","1","500","TRADEOFF","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_first_trigger_bonus","先声","每场首次触发额外执行一次X%效果。","TriggeredEffect","ExtraTrigger","on_first_trigger","first_trigger_in_battle","basicEffect","basisPoint","3000","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_guard_refund","护势回流","护势耗尽时返还X点念。","ResourceEffect","Refund","on_guard_depleted","guard_was_positive","nian","point","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_guard_slow_trade","沉守","护势提高X%，但冷却增加Y回合。","TradeoffEffect","AddPercent","always","NONE","guard","basisPoint","1000","1","TRADEOFF","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_guard_up","护势提升","获得的护势提高X%。","NumericModifier","AddPercent","always","NONE","guard","basisPoint","300","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_heal_up","回复提升","回复效果提高X%。","NumericModifier","AddPercent","always","NONE","heal","basisPoint","300","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_isolated_power","独阵","无相邻道具时基础效果提高X%。","SpatialEffect","AddPercent","on_layout_evaluate","adjacent_count_0","basicEffect","basisPoint","700","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_low_health_power","危时","生命低于阈值时基础效果提高X%。","ConditionalModifier","AddPercent","on_trigger","owner_low_health","basicEffect","basisPoint","800","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_nian_efficiency","省念","耗念降低X点。","ResourceEffect","ReduceFlat","before_trigger","nian_cost_gt_0","nianCost","point","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_overheal_to_guard","盈疗成护","治疗溢出转为护势。","MechanicConversion","Convert","on_overheal","overheal_gt_0","heal_to_guard","basisPoint","5000","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_qilei2_power","器类成对","器类Build2激活时关键数值提高X%。","BuildSynergyEffect","AddPercent","on_build_change","qilei_stage_2","primaryStat","basisPoint","500","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_qilei4_target","器类合阵","器类Build4激活时额外影响X个目标。","BuildSynergyEffect","ExtraTarget","on_trigger","qilei_stage_4","targetCount","count","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_relay_lit_power","接明","由相邻道具接亮时基础效果提高X%。","ConditionalModifier","AddPercent","on_relay_lit","is_relay_lit","basicEffect","basisPoint","350","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_shield_target_power","破甲","目标有护盾时效果提高X%。","ConditionalModifier","AddPercent","on_trigger","target_has_shield","basicEffect","basisPoint","700","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
"affix_trigger_refund","回念","触发后返还X点念。","ResourceEffect","Refund","after_trigger","trigger_success","nian","point","1","0","NONE","NO_DUPLICATE","BALANCE_CANDIDATE"
