displayEventId,ledgerEventId,battleTick,resetGeneration,sequence,sourceKind,sourceId,targetActorId,channel,amount,messageKey,priority,aggregationKey,anchorRoute,colorPolicy,playerVisible,developerOnly
"battle.display.g1.0011","battle.ledger.g1.0008",7500,1,11,"Enemy","battle.application.g1.005","shougunu.phase1.dev.enemy","EnemyCoreExpose",0,"battle.enemy.core_expose",95,"cue.1.9","MechanicFloatingText","enemy.mechanic",true,false
"battle.display.g1.0012","battle.ledger.g1.0009",9000,1,12,"Item","I012","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",76,"battle.item.enemy_hp_damage",70,"wb_i012_orange_404310012.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0013","battle.ledger.g1.0010",10500,1,13,"Item","I007","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",29,"battle.item.enemy_hp_damage",70,"wb_i007_orange_404310007.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0014","battle.ledger.g1.0011",12000,1,14,"Item","I008","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",42,"battle.item.enemy_hp_damage",70,"wb_i008_orange_404310008.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0015","battle.ledger.g1.0012",12000,1,15,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.2","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0016","battle.ledger.g1.0014",12700,1,16,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemyToPlayerDamage",12,"battle.enemy.player_damage",100,"shougunu.phase1.basic_attack.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0017","battle.ledger.g1.0013",12700,1,17,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillResolved",12,"battle.enemy.action_resolved",90,"execution.1.2","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0018","battle.ledger.g1.0015",13500,1,18,"Enemy","core-expose-elapsed","shougunu.phase1.dev.enemy","EnemyRecover",0,"battle.enemy.recover",95,"cue.1.15","MechanicFloatingText","enemy.mechanic",true,false
"battle.display.g1.0019","battle.ledger.g1.0017",13500,1,19,"Item","I009","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",53,"battle.item.enemy_shell_damage",60,"wb_i009_orange_404310009.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0020","battle.ledger.g1.0018",13500,1,20,"Enemy","shougunu.phase1.skill1.shell_repair","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.3","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0021","battle.ledger.g1.0019",14700,1,21,"Enemy","shougunu.phase1.skill1.shell_repair","shougunu.phase1.dev.enemy","EnemySkillResolved",30,"battle.enemy.action_resolved",90,"execution.1.3","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0022","battle.ledger.g1.0020",15000,1,22,"Item","I010","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",46,"battle.item.enemy_shell_damage",60,"wb_i010_orange_404310010.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0023","battle.ledger.g1.0021",16500,1,23,"Item","I011","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",55,"battle.item.enemy_shell_damage",60,"wb_i011_orange_404310011.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0024","battle.ledger.g1.0022",18000,1,24,"Item","I012","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",76,"battle.item.enemy_shell_damage",60,"wb_i012_orange_404310012.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0025","battle.ledger.g1.0022",18000,1,25,"Enemy","battle.application.g1.012","shougunu.phase1.dev.enemy","EnemyShellBreak",0,"battle.enemy.shell_break",95,"cue.1.21","ShieldBreakAnchor","enemy.mechanic",true,false
"battle.display.g1.0026","battle.ledger.g1.0022",18000,1,26,"Enemy","battle.application.g1.012","shougunu.phase1.dev.enemy","EnemyCoreExpose",0,"battle.enemy.core_expose",95,"cue.1.22","MechanicFloatingText","enemy.mechanic",true,false
"battle.display.g1.0027","battle.ledger.g1.0023",18600,1,27,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.4","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0028","battle.ledger.g1.0025",19300,1,28,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemyToPlayerDamage",12,"battle.enemy.player_damage",100,"shougunu.phase1.basic_attack.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0029","battle.ledger.g1.0024",19300,1,29,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillResolved",12,"battle.enemy.action_resolved",90,"execution.1.4","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0030","battle.ledger.g1.0026",19500,1,30,"Item","I007","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",29,"battle.item.enemy_hp_damage",70,"wb_i007_orange_404310007.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0031","battle.ledger.g1.0027",21000,1,31,"Item","I008","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",42,"battle.item.enemy_hp_damage",70,"wb_i008_orange_404310008.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0032","battle.ledger.g1.0028",22500,1,32,"Item","I009","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",53,"battle.item.enemy_hp_damage",70,"wb_i009_orange_404310009.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0033","battle.ledger.g1.0029",24000,1,33,"Enemy","core-expose-elapsed","shougunu.phase1.dev.enemy","EnemyRecover",0,"battle.enemy.recover",95,"cue.1.27","MechanicFloatingText","enemy.mechanic",true,false
"battle.display.g1.0034","battle.ledger.g1.0031",24000,1,34,"Enemy","shougunu.phase1.skill2.rope_heavy_strike","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.5","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0035","battle.ledger.g1.0032",24000,1,35,"Item","I010","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",46,"battle.item.enemy_shell_damage",60,"wb_i010_orange_404310010.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0036","battle.ledger.g1.0033",25500,1,36,"Item","I011","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",55,"battle.item.enemy_shell_damage",60,"wb_i011_orange_404310011.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0037","battle.ledger.g1.0035",25700,1,37,"Enemy","shougunu.phase1.skill2.rope_heavy_strike","battle.sandbox.player.dev","EnemyToPlayerDamage",24,"battle.enemy.player_damage",100,"shougunu.phase1.skill2.rope_heavy_strike.player","PlayerHitFeedback","enemy.damage.player",true,false
"battle.display.g1.0038","battle.ledger.g1.0034",25700,1,38,"Enemy","shougunu.phase1.skill2.rope_heavy_strike","battle.sandbox.player.dev","EnemySkillResolved",24,"battle.enemy.action_resolved",90,"execution.1.5","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0039","battle.ledger.g1.0036",26601,1,39,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.6","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0040","battle.ledger.g1.0037",27000,1,40,"Item","I012","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",76,"battle.item.enemy_shell_damage",60,"wb_i012_orange_404310012.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0041","battle.ledger.g1.0039",27301,1,41,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemyToPlayerDamage",12,"battle.enemy.player_damage",100,"shougunu.phase1.basic_attack.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0042","battle.ledger.g1.0038",27301,1,42,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillResolved",12,"battle.enemy.action_resolved",90,"execution.1.6","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0043","battle.ledger.g1.0040",28500,1,43,"Item","I007","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",23,"battle.item.enemy_shell_damage",60,"wb_i007_orange_404310007.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0044","battle.ledger.g1.0040",28500,1,44,"Item","I007","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",6,"battle.item.enemy_hp_damage",70,"wb_i007_orange_404310007.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0045","battle.ledger.g1.0040",28500,1,45,"Enemy","battle.application.g1.019","shougunu.phase1.dev.enemy","EnemyShellBreak",0,"battle.enemy.shell_break",95,"cue.1.34","ShieldBreakAnchor","enemy.mechanic",true,false
"battle.display.g1.0046","battle.ledger.g1.0040",28500,1,46,"Enemy","battle.application.g1.019","shougunu.phase1.dev.enemy","EnemyCoreExpose",0,"battle.enemy.core_expose",95,"cue.1.35","MechanicFloatingText","enemy.mechanic",true,false
"battle.display.g1.0047","battle.ledger.g1.0041",30000,1,47,"Item","I008","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",42,"battle.item.enemy_hp_damage",70,"wb_i008_orange_404310008.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0048","battle.ledger.g1.0042",30000,1,48,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.7","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0049","battle.ledger.g1.0044",30700,1,49,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemyToPlayerDamage",12,"battle.enemy.player_damage",100,"shougunu.phase1.basic_attack.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0050","battle.ledger.g1.0043",30700,1,50,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillResolved",12,"battle.enemy.action_resolved",90,"execution.1.7","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0051","battle.ledger.g1.0045",31500,1,51,"Item","I009","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",53,"battle.item.enemy_hp_damage",70,"wb_i009_orange_404310009.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0052","battle.ledger.g1.0046",33000,1,52,"Item","I010","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",46,"battle.item.enemy_hp_damage",70,"wb_i010_orange_404310010.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0053","battle.ledger.g1.0047",34500,1,53,"Enemy","core-expose-elapsed","shougunu.phase1.dev.enemy","EnemyRecover",0,"battle.enemy.recover",95,"cue.1.41","MechanicFloatingText","enemy.mechanic",true,false
"battle.display.g1.0054","battle.ledger.g1.0049",34500,1,54,"Enemy","shougunu.phase1.skill3.ground_seal_burst","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.8","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0055","battle.ledger.g1.0050",34500,1,55,"Item","I011","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",55,"battle.item.enemy_shell_damage",60,"wb_i011_orange_404310011.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0056","battle.ledger.g1.0051",36000,1,56,"Item","I012","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",76,"battle.item.enemy_shell_damage",60,"wb_i012_orange_404310012.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0057","battle.ledger.g1.0053",37000,1,57,"Enemy","shougunu.phase1.skill3.ground_seal_burst","battle.sandbox.player.dev","EnemyToPlayerDamage",36,"battle.enemy.player_damage",100,"shougunu.phase1.skill3.ground_seal_burst.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0058","battle.ledger.g1.0052",37000,1,58,"Enemy","shougunu.phase1.skill3.ground_seal_burst","battle.sandbox.player.dev","EnemyToPlayerStatusOrArea",36,"battle.enemy.action_resolved",90,"execution.1.8","StatusDamageAnchor","enemy.action.resolved",true,false
"battle.display.g1.0059","battle.ledger.g1.0054",37500,1,59,"Item","I007","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",29,"battle.item.enemy_shell_damage",60,"wb_i007_orange_404310007.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0060","battle.ledger.g1.0055",38201,1,60,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.9","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0061","battle.ledger.g1.0057",38901,1,61,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemyToPlayerDamage",12,"battle.enemy.player_damage",100,"shougunu.phase1.basic_attack.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0062","battle.ledger.g1.0056",38901,1,62,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillResolved",12,"battle.enemy.action_resolved",90,"execution.1.9","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0063","battle.ledger.g1.0058",39000,1,63,"Item","I008","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",40,"battle.item.enemy_shell_damage",60,"wb_i008_orange_404310008.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0064","battle.ledger.g1.0058",39000,1,64,"Item","I008","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",2,"battle.item.enemy_hp_damage",70,"wb_i008_orange_404310008.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0065","battle.ledger.g1.0058",39000,1,65,"Enemy","battle.application.g1.026","shougunu.phase1.dev.enemy","EnemyShellBreak",0,"battle.enemy.shell_break",95,"cue.1.48","ShieldBreakAnchor","enemy.mechanic",true,false
"battle.display.g1.0066","battle.ledger.g1.0058",39000,1,66,"Enemy","battle.application.g1.026","shougunu.phase1.dev.enemy","EnemyCoreExpose",0,"battle.enemy.core_expose",95,"cue.1.49","MechanicFloatingText","enemy.mechanic",true,false
"battle.display.g1.0067","battle.ledger.g1.0059",40500,1,67,"Item","I009","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",53,"battle.item.enemy_hp_damage",70,"wb_i009_orange_404310009.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0068","battle.ledger.g1.0060",42000,1,68,"Item","I010","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",46,"battle.item.enemy_hp_damage",70,"wb_i010_orange_404310010.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0069","battle.ledger.g1.0061",42000,1,69,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.10","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0070","battle.ledger.g1.0063",42700,1,70,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemyToPlayerDamage",12,"battle.enemy.player_damage",100,"shougunu.phase1.basic_attack.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0071","battle.ledger.g1.0062",42700,1,71,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillResolved",12,"battle.enemy.action_resolved",90,"execution.1.10","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0072","battle.ledger.g1.0064",43500,1,72,"Item","I011","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",55,"battle.item.enemy_hp_damage",70,"wb_i011_orange_404310011.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0073","battle.ledger.g1.0065",45000,1,73,"Enemy","core-expose-elapsed","shougunu.phase1.dev.enemy","EnemyRecover",0,"battle.enemy.recover",95,"cue.1.55","MechanicFloatingText","enemy.mechanic",true,false
"battle.display.g1.0074","battle.ledger.g1.0067",45000,1,74,"Item","I012","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",76,"battle.item.enemy_shell_damage",60,"wb_i012_orange_404310012.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0075","battle.ledger.g1.0068",45000,1,75,"Enemy","shougunu.phase1.skill1.shell_repair","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.11","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0076","battle.ledger.g1.0069",46200,1,76,"Enemy","shougunu.phase1.skill1.shell_repair","shougunu.phase1.dev.enemy","EnemySkillResolved",30,"battle.enemy.action_resolved",90,"execution.1.11","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0077","battle.ledger.g1.0070",46500,1,77,"Item","I007","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",29,"battle.item.enemy_shell_damage",60,"wb_i007_orange_404310007.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0078","battle.ledger.g1.0071",48000,1,78,"Item","I008","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",42,"battle.item.enemy_shell_damage",60,"wb_i008_orange_404310008.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0079","battle.ledger.g1.0072",48000,1,79,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.12","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0080","battle.ledger.g1.0074",48700,1,80,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemyToPlayerDamage",12,"battle.enemy.player_damage",100,"shougunu.phase1.basic_attack.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0081","battle.ledger.g1.0073",48700,1,81,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillResolved",12,"battle.enemy.action_resolved",90,"execution.1.12","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0082","battle.ledger.g1.0075",49500,1,82,"Item","I009","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",53,"battle.item.enemy_shell_damage",60,"wb_i009_orange_404310009.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0083","battle.ledger.g1.0076",51000,1,83,"Item","I010","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",30,"battle.item.enemy_shell_damage",60,"wb_i010_orange_404310010.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0084","battle.ledger.g1.0076",51000,1,84,"Item","I010","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",16,"battle.item.enemy_hp_damage",70,"wb_i010_orange_404310010.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0085","battle.ledger.g1.0076",51000,1,85,"Enemy","battle.application.g1.034","shougunu.phase1.dev.enemy","EnemyShellBreak",0,"battle.enemy.shell_break",95,"cue.1.63","ShieldBreakAnchor","enemy.mechanic",true,false
"battle.display.g1.0086","battle.ledger.g1.0076",51000,1,86,"Enemy","battle.application.g1.034","shougunu.phase1.dev.enemy","EnemyCoreExpose",0,"battle.enemy.core_expose",95,"cue.1.64","MechanicFloatingText","enemy.mechanic",true,false
"battle.display.g1.0087","battle.ledger.g1.0077",52500,1,87,"Item","I011","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",55,"battle.item.enemy_hp_damage",70,"wb_i011_orange_404310011.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0088","battle.ledger.g1.0078",54000,1,88,"Item","I012","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",76,"battle.item.enemy_hp_damage",70,"wb_i012_orange_404310012.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0089","battle.ledger.g1.0079",54000,1,89,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.13","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0090","battle.ledger.g1.0081",54700,1,90,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemyToPlayerDamage",12,"battle.enemy.player_damage",100,"shougunu.phase1.basic_attack.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0091","battle.ledger.g1.0080",54700,1,91,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillResolved",12,"battle.enemy.action_resolved",90,"execution.1.13","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0092","battle.ledger.g1.0082",55500,1,92,"Item","I007","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",29,"battle.item.enemy_hp_damage",70,"wb_i007_orange_404310007.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0093","battle.ledger.g1.0083",57000,1,93,"Enemy","core-expose-elapsed","shougunu.phase1.dev.enemy","EnemyRecover",0,"battle.enemy.recover",95,"cue.1.70","MechanicFloatingText","enemy.mechanic",true,false
"battle.display.g1.0094","battle.ledger.g1.0085",57000,1,94,"Enemy","shougunu.phase1.skill2.rope_heavy_strike","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.14","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0095","battle.ledger.g1.0086",57000,1,95,"Item","I008","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",42,"battle.item.enemy_shell_damage",60,"wb_i008_orange_404310008.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0096","battle.ledger.g1.0087",58500,1,96,"Item","I009","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",53,"battle.item.enemy_shell_damage",60,"wb_i009_orange_404310009.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0097","battle.ledger.g1.0089",58700,1,97,"Enemy","shougunu.phase1.skill2.rope_heavy_strike","battle.sandbox.player.dev","EnemyToPlayerDamage",24,"battle.enemy.player_damage",100,"shougunu.phase1.skill2.rope_heavy_strike.player","PlayerHitFeedback","enemy.damage.player",true,false
"battle.display.g1.0098","battle.ledger.g1.0088",58700,1,98,"Enemy","shougunu.phase1.skill2.rope_heavy_strike","battle.sandbox.player.dev","EnemySkillResolved",24,"battle.enemy.action_resolved",90,"execution.1.14","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0099","battle.ledger.g1.0090",60000,1,99,"Item","I010","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",46,"battle.item.enemy_shell_damage",60,"wb_i010_orange_404310010.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0100","battle.ledger.g1.0091",60000,1,100,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillIntent",0,"battle.enemy.action_intent",80,"execution.1.15","MechanicFloatingText","enemy.intent",true,false
"battle.display.g1.0101","battle.ledger.g1.0093",60700,1,101,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemyToPlayerDamage",12,"battle.enemy.player_damage",100,"shougunu.phase1.basic_attack.player","DamageTakenAnchor","enemy.damage.player",true,false
"battle.display.g1.0102","battle.ledger.g1.0092",60700,1,102,"Enemy","shougunu.phase1.basic_attack","battle.sandbox.player.dev","EnemySkillResolved",12,"battle.enemy.action_resolved",90,"execution.1.15","MechanicFloatingText","enemy.action.resolved",true,false
"battle.display.g1.0103","battle.ledger.g1.0094",61500,1,103,"Item","I011","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",55,"battle.item.enemy_shell_damage",60,"wb_i011_orange_404310011.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0104","battle.ledger.g1.0095",63000,1,104,"Item","I012","shougunu.phase1.dev.enemy","ItemToEnemyShellDamage",4,"battle.item.enemy_shell_damage",60,"wb_i012_orange_404310012.shell","DamageDealtAnchor","item.damage.shell",true,false
"battle.display.g1.0105","battle.ledger.g1.0095",63000,1,105,"Item","I012","shougunu.phase1.dev.enemy","ItemToEnemyHpDamage",72,"battle.item.enemy_hp_damage",70,"wb_i012_orange_404310012.hp","DamageDealtAnchor","item.damage.hp",true,false
"battle.display.g1.0106","battle.ledger.g1.0095",63000,1,106,"Enemy","battle.application.g1.042","shougunu.phase1.dev.enemy","EnemyShellBreak",0,"battle.enemy.shell_break",95,"cue.1.78","ShieldBreakAnchor","enemy.mechanic",true,false
"battle.display.g1.0107","battle.ledger.g1.0095",63000,1,107,"Enemy","battle.application.g1.042","shougunu.phase1.dev.enemy","EnemyCoreExpose",0,"battle.enemy.core_expose",95,"cue.1.79","MechanicFloatingText","enemy.mechanic",true,false
