caseId,inputSummary,expectedIsValid,actualIsValid,expectedErrorCodes,actualErrorCodes,snapshotDeterministic,immutable,result,notes
"missing-junian","Complete ordinary layout without I031.",FALSE,FALSE,"JUNIAN_MISSING","JUNIAN_MISSING|LIGHTING_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","readonly mutation probes passed"
"multiple-junian","Two I031 source placements.",FALSE,FALSE,"JUNIAN_MULTIPLE","JUNIAN_MULTIPLE|LIGHTING_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","readonly mutation probes passed"
"ordinary-item-forged-source","Catalog clone marks I001 as a direct lighting source.",FALSE,FALSE,"ORDINARY_ITEM_LIGHTING_SOURCE_FORGED","LIGHTING_SNAPSHOT_MISMATCH|ORDINARY_ITEM_LIGHTING_SOURCE_FORGED",TRUE,TRUE,"PASS","readonly mutation probes passed"
"main-build-non-explicit-auto","selectedMainBuildId is supplied from Auto source.",FALSE,FALSE,"MAIN_BUILD_NOT_EXPLICIT","MAIN_BUILD_NOT_EXPLICIT",TRUE,TRUE,"PASS","readonly mutation probes passed"
"qilei-selected-as-main-build","selectedMainBuildId points to qilei:fu.",FALSE,FALSE,"MAIN_BUILD_QILEI_SELECTED|SKILL_MONITOR_VALIDATION","MAIN_BUILD_QILEI_SELECTED|SKILL_MONITOR_VALIDATION",TRUE,TRUE,"PASS","readonly mutation probes passed"
"skill-monitor-fixed-order","Provider emits BasicAttack / Build2 / Build4 / Build6 in order.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Four monitor slots are contract-only and carry no runtime trigger/cooldown/charge state. readonly mutation probes passed"
"duplicate-base-item-excluded-from-build","Two unique placements use the same ordinary base item I001.",FALSE,FALSE,"DUPLICATE_BASE_ITEM_PLACED","BUILD_RESOLVER_VALIDATION|DUPLICATE_BASE_ITEM_PLACED",TRUE,TRUE,"PASS","Duplicate ordinary base identity invalidates the snapshot and the later placement cannot contribute to Build counts. readonly mutation probes passed"
"unlit-item-counted-in-build","Forged snapshot marks an unlit ordinary item counted in Build.",FALSE,FALSE,"UNLIT_ITEM_COUNTED_IN_BUILD","ARRAY_BONUS_SNAPSHOT_MISMATCH|AWAKENING_SNAPSHOT_MISMATCH|BUILD_SNAPSHOT_MISMATCH|LIGHTING_SNAPSHOT_MISMATCH|UNLIT_ITEM_COUNTED_IN_BUILD",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"unlit-item-array-bonus-active","Forged snapshot activates AP bonus on an unlit item.",FALSE,FALSE,"UNLIT_ITEM_ARRAY_BONUS_ACTIVE","ARRAY_BONUS_SNAPSHOT_MISMATCH|AWAKENING_SNAPSHOT_MISMATCH|BUILD_SNAPSHOT_MISMATCH|LIGHTING_SNAPSHOT_MISMATCH|UNLIT_ITEM_ARRAY_BONUS_ACTIVE",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"unopened-core-effect-active","Forged snapshot has active core effect without unlocked effect.",FALSE,FALSE,"CORE_EFFECT_ACTIVE_WHEN_LOCKED","AWAKENING_SNAPSHOT_MISMATCH|CORE_EFFECT_ACTIVE_WHEN_LOCKED",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"opened-but-unlit-core-effect-active","Forged snapshot has unlocked and active core effect while unlit.",FALSE,FALSE,"CORE_EFFECT_ACTIVE_WHEN_UNLIT","ARRAY_BONUS_SNAPSHOT_MISMATCH|AWAKENING_SNAPSHOT_MISMATCH|BUILD_SNAPSHOT_MISMATCH|CORE_EFFECT_ACTIVE_WHEN_UNLIT|LIGHTING_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"build-snapshot-auto-selected-main","Forged Build snapshot carries selectedMainBuildId without explicit input.",FALSE,FALSE,"BUILD_AUTO_SELECTED_MAIN","BUILD_AUTO_SELECTED_MAIN",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"skill-monitor-slot-count-order-wrong","Forged monitor snapshot omits the fixed slot order.",FALSE,FALSE,"SKILL_MONITOR_SLOT_ORDER_INVALID","SKILL_MONITOR_SLOT_ORDER_INVALID",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"skill-monitor-runtime-state-forbidden","Forged monitor snapshot exposes trigger/cooldown/charge runtime state.",FALSE,FALSE,"SKILL_MONITOR_RUNTIME_STATE_FORBIDDEN","SKILL_MONITOR_RUNTIME_STATE_FORBIDDEN",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"external-top-level-collection-mutation-blocked","Try array casts and IList mutations against all top-level snapshot collections.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","top-level collections reject array casts and IList mutations"
"external-nested-collection-mutation-blocked","Try array casts and IList mutations against nested placement/build/awakening collections.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","nested collections reject array casts and IList mutations"
"forged-placement-overlap","Public snapshot is forged so P_I013 overlaps P_I001.",FALSE,FALSE,"PLACEMENT_OVERLAP","ARRAY_BONUS_SNAPSHOT_MISMATCH|LIGHTING_SNAPSHOT_MISMATCH|PLACEMENT_OVERLAP",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"forged-catalog-duplicate-id","Public snapshot catalog contains duplicate I001.",FALSE,FALSE,"CATALOG_ITEM_ID_DUPLICATE","CATALOG_ITEM_ID_DUPLICATE|CATALOG_STABLE_ID_MISSING",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"forged-ordinary-lighting-source","Lighting child result marks I001 as a source.",FALSE,FALSE,"ORDINARY_ITEM_LIGHTING_SOURCE_FORGED","LIGHTING_SNAPSHOT_MISMATCH|ORDINARY_ITEM_LIGHTING_SOURCE_FORGED",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"forged-invalid-rotation","Public snapshot placement rotation is 45 degrees.",FALSE,FALSE,"PLACEMENT_ROTATION_INVALID","PLACEMENT_ROTATION_INVALID",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"lighting-result-missing","Lighting child result for P_I001 is removed.",FALSE,FALSE,"SNAPSHOT_RESULT_MISSING","LIGHTING_SNAPSHOT_MISMATCH|SNAPSHOT_RESULT_MISSING",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"lighting-result-orphan","Lighting child result has stale P_ORPHAN.",FALSE,FALSE,"SNAPSHOT_RESULT_ORPHAN","SNAPSHOT_RESULT_ORPHAN",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"lighting-itemid-mismatch","Lighting child result itemId differs from placement itemId.",FALSE,FALSE,"SNAPSHOT_ITEM_ID_MISMATCH","SNAPSHOT_ITEM_ID_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"lighting-state-mismatch","Lighting child result changes lit state only.",FALSE,FALSE,"LIGHTING_SNAPSHOT_MISMATCH","LIGHTING_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"array-result-missing","Array bonus child result for P_I007 is removed.",FALSE,FALSE,"SNAPSHOT_RESULT_MISSING","SNAPSHOT_RESULT_MISSING",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"array-state-mismatch","Array bonus child result removes P_I007 AP occupancy only.",FALSE,FALSE,"ARRAY_BONUS_SNAPSHOT_MISMATCH","ARRAY_BONUS_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"build-result-missing","Build child item result for P_I001 is removed.",FALSE,FALSE,"SNAPSHOT_RESULT_MISSING","BUILD_SNAPSHOT_MISMATCH|SNAPSHOT_RESULT_MISSING",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"build-unlit-counted-only-in-child-snapshot","Build child result marks P_I013 unlit but counted.",FALSE,FALSE,"BUILD_SNAPSHOT_MISMATCH","BUILD_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"build-track-count-mismatch","Build track litItemCount does not match SourcePlacementIds.",FALSE,FALSE,"BUILD_SNAPSHOT_MISMATCH","BUILD_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"build-track-wrong-tag-source","Build track SourcePlacementIds includes a counted source from another faMen tag.",FALSE,FALSE,"BUILD_SNAPSHOT_MISMATCH","BUILD_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"build-track-source-itemids-mismatch","Build track SourcePlacementIds are correct but SourceItemIds are forged.",FALSE,FALSE,"BUILD_SNAPSHOT_MISMATCH","BUILD_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"build-track-missing-counted-source","Build track removes a legal counted source and shrinks litItemCount too.",FALSE,FALSE,"BUILD_SNAPSHOT_MISMATCH","BUILD_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"build-track-kind-or-buildid-mismatch","Build track keeps sources but forges buildId.",FALSE,FALSE,"BUILD_SNAPSHOT_MISMATCH","BUILD_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"awakening-result-missing","Awakening child result for P_I001 is removed.",FALSE,FALSE,"SNAPSHOT_RESULT_MISSING","SNAPSHOT_RESULT_MISSING",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"awakening-active-only-in-child-snapshot","Awakening child result marks a core effect active while placement aggregate remains inactive.",FALSE,FALSE,"AWAKENING_SNAPSHOT_MISMATCH","AWAKENING_SNAPSHOT_MISMATCH",TRUE,TRUE,"PASS","Standalone validator catches forged snapshot state. readonly mutation probes passed"
"provider-unlit-item-excluded-from-build","Public provider keeps an unlit item out of Build.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Bad state is not forgeable through provider input. readonly mutation probes passed"
"provider-unlit-item-cannot-activate-array","Unlit item sits on AP02 but cannot activate array bonus.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Array bonus requires isLit. readonly mutation probes passed"
"provider-unopened-core-not-active","Lit Lv1 item has no unlocked core effect and no active effect.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Core active requires unlocked and lit. readonly mutation probes passed"
"provider-opened-but-unlit-core-not-active","Lv40 item is unlocked but unlit.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Unlocked core effect stays inactive while unlit. readonly mutation probes passed"
"stale-placement-id-no-itemid-fallback","PlacedInstance query uses stale P_STALE for itemId I001.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Composer keeps stale placement unavailable and never falls back by itemId. readonly mutation probes passed"
"distinct-base-placement-state-isolated","Legal I001 and I007 placements have different lighting/build state.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","State remains keyed by placementId for legal distinct-base placements. readonly mutation probes passed"
"i031-catalog-preview-no-placement-state","CatalogPreview for I031 while P_SOURCE exists.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Catalog preview ignores placement state. readonly mutation probes passed"
"i031-placed-instance-source-boundary","PlacedInstance for P_SOURCE/I031.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","I031 is lit source boundary and never counts in Build. readonly mutation probes passed"
"catalog-31-full-snapshot-and-detail-projection","All 31 catalog items projected as CatalogPreview.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","Full catalog snapshot projects without placement leakage. readonly mutation probes passed"
"runtime-leak-check","Runtime snapshot/provider and sandbox preview avoid forbidden formal dependencies.",TRUE,TRUE,"None","None",TRUE,TRUE,"PASS","clean"
