feedbackKey,category,feedbackKind,energyState,triggerFamily,playerTextChinese,stateLineChinese,castSkillLineChinese,floatingTextChinese,combatLogLineChinese,reuseChannel,playerSurface,sourceDataPath,developerDataPanelFieldKey,playerVisible,developerVisible,developerFieldsHiddenFromPlayer,fuzzyHint,legacyItemBehavior,usesBossStateText,usesCastBar,usesFloatingFeedback,usesCombatLog,playerTextLeak,formalLeak
bossCast.start,BossFeedback,bossSkillCast,,,首领开始蓄力，施法条亮起。,首领：开始蓄力,施法条亮起,施法预兆,【施法】首领开始蓄力，施法条亮起。,CastBar,BossCastBar,BattleFeedbackReadabilityPreview.bossCast.start,bossCastState,True,True,True,True,False,True,True,True,True,False,False
bossCast.charging,BossFeedback,bossSkillCast,,,首领正在蓄力。,首领：持续蓄力,施法中,蓄力中,【施法】首领正在蓄力。,CastBar,BossCastBar,BattleFeedbackReadabilityPreview.bossCast.charging,bossCastState,True,True,True,True,False,True,True,True,True,False,False
bossCast.release,BossFeedback,bossSkillCast,,,首领释放冲击，阵面承压。,首领：冲击落下,施法释放,阵面承压,【施法】首领释放冲击，阵面承压。,CastBar,BossCastBar,BattleFeedbackReadabilityPreview.bossCast.release,bossCastState,True,True,True,True,False,True,True,True,True,False,False
boss.weaknessWindow,BossFeedback,weaknessWindow,,,首领露出短暂破绽。,首领：短暂破绽,破绽窗口,护势松动,【破绽】首领露出短暂破绽。,DamageFeedback,MechanicFloatingText,BattleFeedbackReadabilityPreview.boss.weaknessWindow,bossWeaknessWindow,True,True,True,True,False,True,False,True,True,False,False
boss.pressure,BossFeedback,enemyState,,,首领攻势压近边线。,首领：攻势压近,压力升高,边线承压,【压力】首领攻势压近边线。,BossInfoPanel,BossStateText,BattleFeedbackReadabilityPreview.boss.pressure,bossPressure,True,True,True,True,False,True,False,True,True,False,False
build.effective,BuildFeedback,weaknessWindow,,,这套阵势已有稳定回应。,阵势反馈：回应稳定,阵势成形,回应稳定,【阵势】这套阵势已有稳定回应。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.build.effective,maskedBuildReadiness,True,True,True,True,False,False,False,True,True,False,False
build.partial,BuildFeedback,mechanicFeedback,,,这套阵势有回应，但节奏不稳。,阵势反馈：节奏不稳,阵势半亮,节奏不稳,【阵势】这套阵势有回应，但节奏不稳。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.build.partial,maskedBuildReadiness,True,True,True,True,False,False,False,True,True,False,False
build.missingCounter,BuildFeedback,failureFeedback,,,这套阵势缺少破盾手段。,阵势反馈：破盾不足,护势难退,护盾仍厚,【阵势】这套阵势缺少破盾手段。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.build.missingCounter,maskedBuildGap,True,True,True,True,False,False,False,True,True,False,False
build.overloaded,BuildFeedback,failureFeedback,,,阵面过满，关键道具容易沉寂。,阵势反馈：阵面过满,阵位拥挤,道具沉寂,【阵势】阵面过满，关键道具容易沉寂。,BattleHint,CombatLogText,BattleFeedbackReadabilityPreview.build.overloaded,maskedBuildGap,True,True,True,True,False,False,False,True,True,False,False
build.suppressed,BuildFeedback,failureFeedback,,,当前阵势被压制，供能回响偏弱。,阵势反馈：被压制,供能偏弱,回响偏弱,【阵势】当前阵势被压制，供能回响偏弱。,BattleHint,CombatLogText,BattleFeedbackReadabilityPreview.build.suppressed,maskedBuildGap,True,True,True,True,False,False,False,True,True,False,False
failure.damageTooLow,FailureHint,failureFeedback,,,伤害压力偏低，首领护势退得很慢。,失败提示：伤害偏低,护势难退,压制不足,【提示】伤害压力偏低，首领护势退得很慢。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.failure.damageTooLow,maskedFailureHint,True,True,True,True,False,False,False,True,True,False,False
failure.shieldBreakMissing,FailureHint,failureFeedback,,,这套阵势缺少破盾手段。,失败提示：破盾不足,护盾未破,护盾仍厚,【提示】这套阵势缺少破盾手段。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.failure.shieldBreakMissing,maskedFailureHint,True,True,True,True,False,False,False,True,True,False,False
failure.cleanseMissing,FailureHint,failureFeedback,,,当前构筑对净化压力不足。,失败提示：净化不足,污痕未退,净化偏弱,【提示】当前构筑对净化压力不足。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.failure.cleanseMissing,maskedFailureHint,True,True,True,True,False,False,False,True,True,False,False
failure.controlMissing,FailureHint,failureFeedback,,,控制回响不足，首领节奏没有被压住。,失败提示：控制不足,节奏未断,首领续势,【提示】控制回响不足，首领节奏没有被压住。,CombatLog,CombatLogText,BattleFeedbackReadabilityPreview.failure.controlMissing,maskedFailureHint,True,True,True,True,False,False,False,True,True,False,False
failure.energyDisconnected,FailureHint,failureFeedback,,,供能断开，道具沉寂。,失败提示：供能断开,灵力未起,道具沉寂,【提示】供能断开，道具沉寂。,BattleHint,CombatLogText,BattleFeedbackReadabilityPreview.failure.energyDisconnected,maskedFailureHint,True,True,True,True,False,False,False,True,True,False,False
failure.keyItemUnpowered,FailureHint,failureFeedback,,,关键道具没有亮起，先看供能连通。,失败提示：关键道具沉寂,供能未接,道具无光,【提示】关键道具没有亮起，先看供能连通。,BattleHint,CombatLogText,BattleFeedbackReadabilityPreview.failure.keyItemUnpowered,maskedFailureHint,True,True,True,True,False,False,False,True,True,False,False
