rowId,rowKind,itemId,statProfileId,elapsedSeconds,manaBefore,manaAfter,manaDelta,cooldownSeconds,enemyHpBefore,enemyHpAfter,enemyShieldBefore,enemyShieldAfter,playerHpBefore,playerHpAfter,playerShieldBefore,playerShieldAfter,bossCastRemainingSeconds,bossCastFillAmount,stateLineChinese,castSkillLineChinese,combatLogLineChinese,floatingTextChinese,sourceDataPath,developerDataPanelFieldKey,formalFlowLeak,playerSideAnswerLeak,uiLayoutWrite,hasVictorySettlement,hasDefeatSettlement
runtimeLoop.itemTrigger.03,itemTrigger,preview_x2_wood_talisman,stat_guard_wood_vertical_2,3,92,88,-4,0,129,129,0,0,100,100,40,40,0.15,0.063,道具：触发,首领蓄力未断,【道具】preview_x2_wood_talisman 耗灵 4,触发 talisman,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaCostPerCast,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.enemyHp.03,enemyHp,preview_x2_wood_talisman,stat_guard_wood_vertical_2,3,88,88,0,0,129,122,0,0,100,100,40,40,0.15,0.063,敌人：血量更新,首领护势震动,【伤害】preview_x2_wood_talisman 造成 7，敌方 122/129,-7,BattleSandboxCombatKernelAdapterBuilder.ApplyEnemyDamage,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerShield.03,playerShield,preview_x2_wood_talisman,stat_guard_wood_vertical_2,3,88,88,0,0,122,122,0,0,100,100,40,50,0.15,0.063,玩家：护盾更新,首领攻势被顶住,【护盾】preview_x2_wood_talisman 40->50,护盾 +10,BattleSandboxCombatKernelAdapterBuilder.ApplyPlayerShield,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.bossCast.03,bossCast,,,3,88,88,0,0,122,122,0,0,100,100,50,50,0,0,首领：施法条刷新,施法中：锁阵冲击 0.0秒,【施法】首领剩余 0.0秒,施法释放,BattleSandboxCombatKernelAdapterBuilder.BuildCastBarSample,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerHp.03,playerHp,,,3,88,88,0,0,122,122,0,0,100,88,50,0,2.4,1,玩家：承受压力,施法已释放，重新蓄力,【压力】首领造成 62，玩家 88/100,-12,BattleSandboxCombatKernelAdapterBuilder.BuildEnemyHpSample.attackDamage,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.mana.04,mana,,,3.75,88,109,21,0,122,122,0,0,88,88,0,0,2.4,1,灵力：回流中,首领正在蓄力,【灵力】+21,灵气 +21,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaGainPerTick,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.cooldown.04,cooldown,preview_guard_wood,stat_guard_wood_vertical_2,3.75,109,109,0,3.24,122,122,0,0,88,88,0,0,2.4,1,冷却：道具读取,首领蓄力 2.4秒,【冷却】preview_guard_wood 3.2秒,冷却刷新,BattleSandboxCombatKernelAdapterBuilder.ResolveEffectiveCooldown,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.itemTrigger.04,itemTrigger,preview_guard_wood,stat_guard_wood_vertical_2,3.75,109,105,-4,0,122,122,0,0,88,88,0,0,2.4,1,道具：触发,首领蓄力未断,【道具】preview_guard_wood 耗灵 4,触发 wood,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaCostPerCast,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.enemyHp.04,enemyHp,preview_guard_wood,stat_guard_wood_vertical_2,3.75,105,105,0,0,122,115,0,0,88,88,0,0,2.4,1,敌人：血量更新,首领护势震动,【伤害】preview_guard_wood 造成 7，敌方 115/122,-7,BattleSandboxCombatKernelAdapterBuilder.ApplyEnemyDamage,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.enemyShield.04,enemyShield,preview_guard_wood,stat_guard_wood_vertical_2,3.75,105,105,0,0,115,115,0,7,88,88,0,0,2.4,1,敌人：护盾回流,首领重组护势,【敌盾】0->7,敌盾 +7,BattleSandboxCombatKernelAdapterBuilder.ApplyPlayerShield.enemyShieldSample,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerShield.04,playerShield,preview_guard_wood,stat_guard_wood_vertical_2,3.75,105,105,0,0,115,115,7,7,88,88,0,12,2.4,1,玩家：护盾更新,首领攻势被顶住,【护盾】preview_guard_wood 0->12,护盾 +12,BattleSandboxCombatKernelAdapterBuilder.ApplyPlayerShield,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.bossCast.04,bossCast,,,3.75,105,105,0,0,115,115,7,7,88,88,12,12,1.65,0.688,首领：施法条刷新,施法中：锁阵冲击 1.7秒,【施法】首领剩余 1.7秒,蓄力中,BattleSandboxCombatKernelAdapterBuilder.BuildCastBarSample,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.mana.05,mana,,,4.5,105,126,21,0,115,115,7,7,88,88,12,12,1.65,0.688,灵力：回流中,首领正在蓄力,【灵力】+21,灵气 +21,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaGainPerTick,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.cooldown.05,cooldown,preview_cleanse_corner,stat_cleanse_corner_3,4.5,126,126,0,3.78,115,115,7,7,88,88,12,12,1.65,0.688,冷却：道具读取,首领蓄力 1.7秒,【冷却】preview_cleanse_corner 3.8秒,冷却刷新,BattleSandboxCombatKernelAdapterBuilder.ResolveEffectiveCooldown,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.itemTrigger.05,itemTrigger,preview_cleanse_corner,stat_cleanse_corner_3,4.5,126,121,-5,0,115,115,7,7,88,88,12,12,1.65,0.688,道具：触发,首领蓄力未断,【道具】preview_cleanse_corner 耗灵 5,触发 corner,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaCostPerCast,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.enemyHp.05,enemyHp,preview_cleanse_corner,stat_cleanse_corner_3,4.5,121,121,0,0,115,115,7,1,88,88,12,12,1.65,0.688,敌人：血量更新,首领护势震动,【伤害】preview_cleanse_corner 造成 6，敌方 115/115,-0,BattleSandboxCombatKernelAdapterBuilder.ApplyEnemyDamage,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerShield.05,playerShield,preview_cleanse_corner,stat_cleanse_corner_3,4.5,121,121,0,0,115,115,1,1,88,88,12,18,1.65,0.688,玩家：护盾更新,首领攻势被顶住,【护盾】preview_cleanse_corner 12->18,护盾 +6,BattleSandboxCombatKernelAdapterBuilder.ApplyPlayerShield,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerHp.05,playerHp,preview_cleanse_corner,stat_cleanse_corner_3,4.5,121,121,0,0,115,115,1,1,88,94,18,18,1.65,0.688,玩家：气血回复,首领蓄力中,【气血】preview_cleanse_corner 88->94,气血 +6,BattleSandboxCombatKernelAdapterBuilder.ApplyHealing,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.bossCast.05,bossCast,,,4.5,121,121,0,0,115,115,1,1,94,94,18,18,0.9,0.375,首领：施法条刷新,施法中：锁阵冲击 0.9秒,【施法】首领剩余 0.9秒,蓄力中,BattleSandboxCombatKernelAdapterBuilder.BuildCastBarSample,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.mana.06,mana,,,5.25,121,142,21,0,115,115,1,1,94,94,18,18,0.9,0.375,灵力：回流中,首领正在蓄力,【灵力】+21,灵气 +21,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaGainPerTick,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.cooldown.06,cooldown,preview_stone_core,stat_stone_core_square_4,5.25,142,142,0,4.05,115,115,1,1,94,94,18,18,0.9,0.375,冷却：道具读取,首领蓄力 0.9秒,【冷却】preview_stone_core 4.1秒,冷却刷新,BattleSandboxCombatKernelAdapterBuilder.ResolveEffectiveCooldown,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.itemTrigger.06,itemTrigger,preview_stone_core,stat_stone_core_square_4,5.25,142,135,-7,0,115,115,1,1,94,94,18,18,0.9,0.375,道具：触发,首领蓄力未断,【道具】preview_stone_core 耗灵 7,触发 core,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaCostPerCast,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.enemyHp.06,enemyHp,preview_stone_core,stat_stone_core_square_4,5.25,135,135,0,0,115,99,1,0,94,94,18,18,0.9,0.375,敌人：血量更新,首领护势震动,【伤害】preview_stone_core 造成 17，敌方 99/115,-16,BattleSandboxCombatKernelAdapterBuilder.ApplyEnemyDamage,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerShield.06,playerShield,preview_stone_core,stat_stone_core_square_4,5.25,135,135,0,0,99,99,0,0,94,94,18,30,0.9,0.375,玩家：护盾更新,首领攻势被顶住,【护盾】preview_stone_core 18->30,护盾 +12,BattleSandboxCombatKernelAdapterBuilder.ApplyPlayerShield,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.bossCast.06,bossCast,,,5.25,135,135,0,0,99,99,0,0,94,94,30,30,0.15,0.063,首领：施法条刷新,施法中：锁阵冲击 0.2秒,【施法】首领剩余 0.2秒,蓄力中,BattleSandboxCombatKernelAdapterBuilder.BuildCastBarSample,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.mana.07,mana,,,6,135,156,21,0,99,99,0,0,94,94,30,30,0.15,0.063,灵力：回流中,首领正在蓄力,【灵力】+21,灵气 +21,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaGainPerTick,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.cooldown.07,cooldown,preview_taomu_sword,stat_taomu_sword_vertical_3,6,156,156,0,2.6,99,99,0,0,94,94,30,30,0.15,0.063,冷却：道具读取,首领蓄力 0.2秒,【冷却】preview_taomu_sword 2.6秒,冷却刷新,BattleSandboxCombatKernelAdapterBuilder.ResolveEffectiveCooldown,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.itemTrigger.07,itemTrigger,preview_taomu_sword,stat_taomu_sword_vertical_3,6,156,147,-9,0,99,99,0,0,94,94,30,30,0.15,0.063,道具：触发,首领蓄力未断,【道具】preview_taomu_sword 耗灵 9,触发 sword,BuildSandboxLayoutSnapshot.placedItems[].itemStat.manaCostPerCast,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.enemyHp.07,enemyHp,preview_taomu_sword,stat_taomu_sword_vertical_3,6,147,147,0,0,99,71,0,0,94,94,30,30,0.15,0.063,敌人：血量更新,首领护势震动,【伤害】preview_taomu_sword 造成 28，敌方 71/99,-28,BattleSandboxCombatKernelAdapterBuilder.ApplyEnemyDamage,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerShield.07,playerShield,preview_taomu_sword,stat_taomu_sword_vertical_3,6,147,147,0,0,71,71,0,0,94,94,30,40,0.15,0.063,玩家：护盾更新,首领攻势被顶住,【护盾】preview_taomu_sword 30->40,护盾 +10,BattleSandboxCombatKernelAdapterBuilder.ApplyPlayerShield,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerHp.07,playerHp,preview_taomu_sword,stat_taomu_sword_vertical_3,6,147,147,0,0,71,71,0,0,94,96,40,40,0.15,0.063,玩家：气血回复,首领蓄力中,【气血】preview_taomu_sword 94->96,气血 +2,BattleSandboxCombatKernelAdapterBuilder.ApplyHealing,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.bossCast.07,bossCast,,,6,147,147,0,0,71,71,0,0,96,96,40,40,0,0,首领：施法条刷新,施法中：锁阵冲击 0.0秒,【施法】首领剩余 0.0秒,施法释放,BattleSandboxCombatKernelAdapterBuilder.BuildCastBarSample,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.playerHp.07,playerHp,,,6,147,147,0,0,71,71,0,0,96,84,40,0,2.4,1,玩家：承受压力,施法已释放，重新蓄力,【压力】首领造成 52，玩家 84/100,-12,BattleSandboxCombatKernelAdapterBuilder.BuildEnemyHpSample.attackDamage,battleSandboxRuntimeLoopPreview,False,False,False,False,False
runtimeLoop.noSettlement.08,noSettlement,,,6.75,147,147,0,0,71,71,0,0,84,84,0,0,2.4,1,沙盒：继续循环,不进入胜负结算,【沙盒】战斗继续循环，暂不判定胜负,无结算,Docs/LOCKED/BUILD_SANDBOX_BOUNDARY_LOCK.md,battleSandboxRuntimeLoopPreview,False,False,False,False,False
