context,baseItemId,rarity,fieldKind,displayName,source,playerProjection,debugProjection,status
"GeneratedInstance","I001","purple","stat","破盾","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","13","候选区间：11 ～ 14","PASS"
"GeneratedInstance","I001","purple","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","3回合","候选区间：3回合 ～ 4回合","PASS"
"GeneratedInstance","I001","purple","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","18","候选区间：18 ～ 22","PASS"
"GeneratedInstance","I001","purple","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","3点","候选区间：2点 ～ 3点","PASS"
"GeneratedInstance","I001","purple","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+9.45%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I001","purple","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+9.09%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I001","purple","identity","震雷符","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I001","purple","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I001","purple","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I001","orange","stat","破盾","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","15","候选区间：14 ～ 15","PASS"
"GeneratedInstance","I001","orange","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4回合","候选区间：3回合 ～ 4回合","PASS"
"GeneratedInstance","I001","orange","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","22","候选区间：22 ～ 24","PASS"
"GeneratedInstance","I001","orange","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","3点","候选区间：2点 ～ 3点","PASS"
"GeneratedInstance","I001","orange","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+13.18%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I001","orange","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+15.36%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I001","orange","identity","震雷符","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I001","orange","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I001","orange","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I002","white","stat","控制","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","2点","候选区间：1点 ～ 3点","PASS"
"GeneratedInstance","I002","white","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5回合","候选区间：5回合 ～ 6回合","PASS"
"GeneratedInstance","I002","white","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","16","候选区间：12 ～ 18","PASS"
"GeneratedInstance","I002","white","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","6点","候选区间：5点 ～ 6点","PASS"
"GeneratedInstance","I002","white","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+3.39%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I002","white","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+2.06%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I002","white","identity","五雷急符","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I002","white","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I002","white","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I002","green","stat","控制","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4点","候选区间：3点 ～ 6点","PASS"
"GeneratedInstance","I002","green","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5回合","候选区间：5回合 ～ 5回合","PASS"
"GeneratedInstance","I002","green","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","23","候选区间：16 ～ 23","PASS"
"GeneratedInstance","I002","green","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5点","候选区间：5点 ～ 5点","PASS"
"GeneratedInstance","I002","green","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+6.49%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I002","green","affix","控制提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+5点","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I002","green","identity","五雷急符","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I002","green","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I002","green","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I002","blue","stat","控制","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","6点","候选区间：5点 ～ 8点","PASS"
"GeneratedInstance","I002","blue","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5回合","候选区间：4回合 ～ 5回合","PASS"
"GeneratedInstance","I002","blue","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","29","候选区间：22 ～ 29","PASS"
"GeneratedInstance","I002","blue","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5点","候选区间：4点 ～ 5点","PASS"
"GeneratedInstance","I002","blue","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+7.71%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I002","blue","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+7.69%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I002","blue","identity","五雷急符","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I002","blue","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I002","blue","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I002","purple","stat","控制","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","8点","候选区间：7点 ～ 9点","PASS"
"GeneratedInstance","I002","purple","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4回合","候选区间：3回合 ～ 4回合","PASS"
"GeneratedInstance","I002","purple","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","31","候选区间：26 ～ 32","PASS"
"GeneratedInstance","I002","purple","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","3点","候选区间：3点 ～ 4点","PASS"
"GeneratedInstance","I002","purple","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+10.56%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I002","purple","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+12.57%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I002","purple","identity","五雷急符","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I002","purple","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I002","purple","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I002","orange","stat","控制","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","10点","候选区间：9点 ～ 10点","PASS"
"GeneratedInstance","I002","orange","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","3回合","候选区间：3回合 ～ 4回合","PASS"
"GeneratedInstance","I002","orange","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","34","候选区间：31 ～ 34","PASS"
"GeneratedInstance","I002","orange","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","3点","候选区间：3点 ～ 4点","PASS"
"GeneratedInstance","I002","orange","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+13.92%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I002","orange","affix","冷却缩减","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+16.13%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I002","orange","identity","五雷急符","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I002","orange","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I002","orange","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I003","white","stat","破盾","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","20","候选区间：16 ～ 23","PASS"
"GeneratedInstance","I003","white","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","7回合","候选区间：6回合 ～ 7回合","PASS"
"GeneratedInstance","I003","white","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","18","候选区间：13 ～ 18","PASS"
"GeneratedInstance","I003","white","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","7点","候选区间：6点 ～ 7点","PASS"
"GeneratedInstance","I003","white","affix","破盾提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+3.17%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I003","white","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+3.55%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I003","white","identity","震雷破壳印","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I003","white","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I003","white","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I003","green","stat","破盾","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","29","候选区间：21 ～ 30","PASS"
"GeneratedInstance","I003","green","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","6回合","候选区间：6回合 ～ 6回合","PASS"
"GeneratedInstance","I003","green","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","23","候选区间：17 ～ 24","PASS"
"GeneratedInstance","I003","green","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","6点","候选区间：6点 ～ 6点","PASS"
"GeneratedInstance","I003","green","affix","破盾提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+4.51%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I003","green","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+3.6%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I003","green","identity","震雷破壳印","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I003","green","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I003","green","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I003","blue","stat","破盾","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","32","候选区间：28 ～ 36","PASS"
"GeneratedInstance","I003","blue","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","6回合","候选区间：5回合 ～ 6回合","PASS"
"GeneratedInstance","I003","blue","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","25","候选区间：22 ～ 29","PASS"
"GeneratedInstance","I003","blue","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5点","候选区间：5点 ～ 6点","PASS"
"GeneratedInstance","I003","blue","affix","破盾提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+7.98%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I003","blue","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+8.53%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I003","blue","identity","震雷破壳印","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I003","blue","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I003","blue","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I003","purple","stat","破盾","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","39","候选区间：34 ～ 40","PASS"
"GeneratedInstance","I003","purple","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5回合","候选区间：4回合 ～ 5回合","PASS"
"GeneratedInstance","I003","purple","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","28","候选区间：27 ～ 32","PASS"
"GeneratedInstance","I003","purple","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4点","候选区间：4点 ～ 5点","PASS"
"GeneratedInstance","I003","purple","affix","破盾提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+10.32%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I003","purple","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+9.76%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I003","purple","identity","震雷破壳印","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I003","purple","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I003","purple","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I003","orange","stat","破盾","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","40","候选区间：39 ～ 43","PASS"
"GeneratedInstance","I003","orange","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5回合","候选区间：4回合 ～ 5回合","PASS"
"GeneratedInstance","I003","orange","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","33","候选区间：31 ～ 34","PASS"
"GeneratedInstance","I003","orange","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5点","候选区间：4点 ～ 5点","PASS"
"GeneratedInstance","I003","orange","affix","破盾提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+17.17%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I003","orange","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+18%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I003","orange","identity","震雷破壳印","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I003","orange","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I003","orange","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I004","white","stat","控制","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","2点","候选区间：1点 ～ 3点","PASS"
"GeneratedInstance","I004","white","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4回合","候选区间：4回合 ～ 5回合","PASS"
"GeneratedInstance","I004","white","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","14","候选区间：10 ～ 14","PASS"
"GeneratedInstance","I004","white","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5点","候选区间：5点 ～ 6点","PASS"
"GeneratedInstance","I004","white","affix","控制提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+1点","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I004","white","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+3.53%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I004","white","identity","五雷急令","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I004","white","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I004","white","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I004","green","stat","控制","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5点","候选区间：3点 ～ 6点","PASS"
"GeneratedInstance","I004","green","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4回合","候选区间：4回合 ～ 4回合","PASS"
"GeneratedInstance","I004","green","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","17","候选区间：13 ～ 19","PASS"
"GeneratedInstance","I004","green","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","5点","候选区间：5点 ～ 5点","PASS"
"GeneratedInstance","I004","green","affix","控制提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+4点","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I004","green","affix","伤害提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+5.87%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I004","green","identity","五雷急令","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I004","green","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I004","green","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I004","blue","stat","控制","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","6点","候选区间：5点 ～ 8点","PASS"
"GeneratedInstance","I004","blue","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4回合","候选区间：3回合 ～ 4回合","PASS"
"GeneratedInstance","I004","blue","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","20","候选区间：18 ～ 23","PASS"
"GeneratedInstance","I004","blue","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4点","候选区间：4点 ～ 5点","PASS"
"GeneratedInstance","I004","blue","affix","控制提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+6点","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I004","blue","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+6.61%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I004","blue","identity","五雷急令","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I004","blue","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
"GeneratedInstance","I004","blue","build","Build","buildQualification + read-only Build snapshot","qualification/count/stage + missing payload placeholder","qualification/build ids/count/state","PASS"
"GeneratedInstance","I004","purple","stat","控制","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","7点","候选区间：7点 ～ 9点","PASS"
"GeneratedInstance","I004","purple","stat","冷却","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","3回合","候选区间：2回合 ～ 3回合","PASS"
"GeneratedInstance","I004","purple","stat","伤害","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","24","候选区间：21 ～ 25","PASS"
"GeneratedInstance","I004","purple","stat","耗念","ItemInstanceProjectionContract.Stats + ItemStatRangeSchema","4点","候选区间：3点 ～ 4点","PASS"
"GeneratedInstance","I004","purple","affix","控制提升","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+9点","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I004","purple","affix","耗念效率","ItemInstanceProjectionContract.Affixes + ItemAffixPoolAndRangeSchema","+9.88%","Debug retains slot/affix/profile/raw/formatted/range","PASS"
"GeneratedInstance","I004","purple","identity","五雷急令","ItemInnerDataCatalog + ItemInstanceProjectionContract identity","Chinese header/meta","itemInstanceId/baseItemId/rarity/generation trace","PASS"
"GeneratedInstance","I004","purple","core","核心效果","eligibleCoreEffectIds + visibleCoreEffectIds + candidate descriptors","visible names and hidden count","all eligible/visible IDs","PASS"
