"rowId","section","field","actual","expected","status","notes"
"CHECK-baseline.broad.Scenes","verification","baseline.broad.Scenes","14|4c9e101026dd4aeb35e8c729f080a527c5a621d8df721836802f37057dad681d","14|4c9e101026dd4aeb35e8c729f080a527c5a621d8df721836802f37057dad681d","PASS","deterministic same-source assertion"
"CHECK-baseline.broad.UnityAssets","verification","baseline.broad.UnityAssets","7|081bb0469c44f88ededd6ca63d6b722d6027311d31c4bbee4732462364fe242b","7|081bb0469c44f88ededd6ca63d6b722d6027311d31c4bbee4732462364fe242b","PASS","deterministic same-source assertion"
"CHECK-boundary.assignment-sha256","verification","boundary.assignment-sha256","40f244475a2aabadffb8ba440c011ec8a7dae46c69043db7f93e928788c0c757","40f244475a2aabadffb8ba440c011ec8a7dae46c69043db7f93e928788c0c757","PASS","deterministic same-source assertion"
"CHECK-boundary.compile-safe-entry","verification","boundary.compile-safe-entry","True|True","effective entry present|no sibling TalismanBag.Editor namespace","PASS","deterministic same-source assertion"
"CHECK-boundary.devonly-flags-source","verification","boundary.devonly-flags-source","true","true","PASS","deterministic same-source assertion"
"CHECK-boundary.guid-uniqueness","verification","boundary.guid-uniqueness","8|8|0","8|8|0","PASS","deterministic same-source assertion"
"CHECK-boundary.no-forbidden-runtime-domain","verification","boundary.no-forbidden-runtime-domain","","none","PASS","deterministic same-source assertion"
"CHECK-boundary.no-unauthorized-skill-or-visual-facts","verification","boundary.no-unauthorized-skill-or-visual-facts","","none","PASS","deterministic same-source assertion"
"CHECK-boundary.package-manifest-shape","verification","boundary.package-manifest-shape","23|7|8","23|7|8","PASS","deterministic same-source assertion"
"CHECK-boundary.report-manifest-projection","verification","boundary.report-manifest-projection","23","23","PASS","deterministic same-source assertion"
"CHECK-catalog.canonical-signature","verification","catalog.canonical-signature","sha256:6a7fd49363d5ca41ba66f80b811b4854ea291e636852b8344866ae6d76276b47","sha256:<64 lowercase hex>","PASS","deterministic same-source assertion"
"CHECK-catalog.effect-request-boundaries","verification","catalog.effect-request-boundaries","battle.effect_request.direct_player_damage;enemy.effect_request.repair_current_shell;battle.effect_request.rope_heavy_strike;battle.effect_request.ground_seal_area_burst","four exact neutral requests","PASS","deterministic same-source assertion"
"CHECK-catalog.event-driven-no-cooldown","verification","catalog.event-driven-no-cooldown","BasicDebt;HpThreshold","BasicDebt;HpThreshold only","PASS","deterministic same-source assertion"
"CHECK-catalog.invariant-culture","verification","catalog.invariant-culture","sha256:6a7fd49363d5ca41ba66f80b811b4854ea291e636852b8344866ae6d76276b47","sha256:6a7fd49363d5ca41ba66f80b811b4854ea291e636852b8344866ae6d76276b47","PASS","deterministic same-source assertion"
"CHECK-catalog.pattern-count","verification","catalog.pattern-count","4","4","PASS","deterministic same-source assertion"
"CHECK-catalog.reverse-input-order-canonical","verification","catalog.reverse-input-order-canonical","sha256:6a7fd49363d5ca41ba66f80b811b4854ea291e636852b8344866ae6d76276b47","sha256:6a7fd49363d5ca41ba66f80b811b4854ea291e636852b8344866ae6d76276b47","PASS","deterministic same-source assertion"
"CHECK-catalog.threshold-count","verification","catalog.threshold-count","6","6","PASS","deterministic same-source assertion"
"CHECK-catalog.timing.basic","verification","catalog.timing.basic","0|400|300|700|600","0|400|300|700|600","PASS","deterministic same-source assertion"
"CHECK-catalog.timing.skill1","verification","catalog.timing.skill1","0|800|400|1200|800","0|800|400|1200|800","PASS","deterministic same-source assertion"
"CHECK-catalog.timing.skill2","verification","catalog.timing.skill2","0|1200|500|1700|900","0|1200|500|1700|900","PASS","deterministic same-source assertion"
"CHECK-catalog.timing.skill3","verification","catalog.timing.skill3","0|1800|700|2500|1200","0|1800|700|2500|1200","PASS","deterministic same-source assertion"
"CHECK-catalog.validation","verification","catalog.validation","","no errors","PASS","deterministic same-source assertion"
"CHECK-contract.flags","verification","contract.flags","true|false|false|false","true|false|false|false","PASS","deterministic same-source assertion"
"CHECK-contract.frozen-values","verification","contract.frozen-values","980|200|7|6000|30|4","980|200|7|6000|30|4","PASS","deterministic same-source assertion"
"CHECK-contract.identity","verification","contract.identity","bone_aspect_boss_c1_bone_guard|bone_aspect.phase.shougunu.phase1","bone_aspect_boss_c1_bone_guard|bone_aspect.phase.shougunu.phase1","PASS","deterministic same-source assertion"
"CHECK-contract.schema-id","verification","contract.schema-id","ShougunuPhase1RuntimeAndActionContract.v1","ShougunuPhase1RuntimeAndActionContract.v1","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-001","verification","negative.NEG-001","APPLICATION_EVENT_DUPLICATE","APPLICATION_EVENT_DUPLICATE","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-002","verification","negative.NEG-002","APPLICATION_SEQUENCE_NOT_INCREASING","APPLICATION_SEQUENCE_NOT_INCREASING","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-003","verification","negative.NEG-003","RESET_GENERATION_MISMATCH","RESET_GENERATION_MISMATCH","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-004","verification","negative.NEG-004","ENEMY_INSTANCE_MISMATCH","ENEMY_INSTANCE_MISMATCH","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-005","verification","negative.NEG-005","BATTLE_LEDGER_REJECTED","BATTLE_LEDGER_REJECTED","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-006","verification","negative.NEG-006","ZERO_APPLIED_DAMAGE","ZERO_APPLIED_DAMAGE","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-007","verification","negative.NEG-007","DAMAGE_NEGATIVE","DAMAGE_NEGATIVE","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-008","verification","negative.NEG-008","DAMAGE_CHANNEL_LIFECYCLE_MISMATCH","DAMAGE_CHANNEL_LIFECYCLE_MISMATCH","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-009","verification","negative.NEG-009","SHELL_DAMAGE_EXCEEDS_STATE","SHELL_DAMAGE_EXCEEDS_STATE","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-010","verification","negative.NEG-010","DAMAGE_CHANNEL_LIFECYCLE_MISMATCH","DAMAGE_CHANNEL_LIFECYCLE_MISMATCH","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-011","verification","negative.NEG-011","TERMINAL_ORDERING_VIOLATION","TERMINAL_ORDERING_VIOLATION","PASS","deterministic same-source assertion"
"CHECK-negative.NEG-012","verification","negative.NEG-012","RESET_GENERATION_NOT_INCREASING","RESET_GENERATION_NOT_INCREASING","PASS","deterministic same-source assertion"
"CHECK-nominal.accepted-applications","verification","nominal.accepted-applications","50","50","PASS","deterministic same-source assertion"
"CHECK-nominal.accepted-pulse-magnitudes","verification","nominal.accepted-pulse-magnitudes","29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42","29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42,53,46,55,76,29,42","PASS","deterministic same-source assertion"
"CHECK-nominal.authoritative-delta-within-pulse","verification","nominal.authoritative-delta-within-pulse","50","50","PASS","deterministic same-source assertion"
"CHECK-nominal.basic-resolves","verification","nominal.basic-resolves","12|12","12|12","PASS","deterministic same-source assertion"
"CHECK-nominal.basic12-guarded-final-core","verification","nominal.basic12-guarded-final-core","74800",">=74100 and <75000","PASS","deterministic same-source assertion"
"CHECK-nominal.final-state","verification","nominal.final-state","0|Defeated|75000","0|Defeated|75000","PASS","deterministic same-source assertion"
"CHECK-nominal.observation-break-ticks","verification","nominal.observation-break-ticks","7500;18000;28500;39000;51000;63000;73500","7500;18000;28500;39000;51000;63000;73500","PASS","deterministic same-source assertion"
"CHECK-nominal.observation-threshold-ticks","verification","nominal.observation-threshold-ticks","9000;22500;31500;42000;54000;63000","9000;22500;31500;42000;54000;63000","PASS","deterministic same-source assertion"
"CHECK-nominal.s3b-before-defeat","verification","nominal.s3b-before-defeat","71501|Defeated","S3-B resolves before Defeated","PASS","deterministic same-source assertion"
"CHECK-nominal.shell-breaks","verification","nominal.shell-breaks","7","7","PASS","deterministic same-source assertion"
"CHECK-nominal.threshold-skills","verification","nominal.threshold-skills","6","6","PASS","deterministic same-source assertion"
"CHECK-reducer.hp-hit-threshold","verification","reducer.hp-hit-threshold","880|S1-A","880|S1-A","PASS","deterministic same-source assertion"
"CHECK-reducer.initial-validation","verification","reducer.initial-validation","","no errors","PASS","deterministic same-source assertion"
"CHECK-reducer.no-eighth-layer","verification","reducer.no-eighth-layer","7|NO_LIFECYCLE_TRANSITION_DUE","7|NO_LIFECYCLE_TRANSITION_DUE","PASS","deterministic same-source assertion"
"CHECK-reducer.presence-to-shell","verification","reducer.presence-to-shell","LayeredShellOn|200","LayeredShellOn|200","PASS","deterministic same-source assertion"
"CHECK-reducer.recover-next-shell","verification","reducer.recover-next-shell","LayeredShellOn|2|200|3","LayeredShellOn|2|200|3","PASS","deterministic same-source assertion"
"CHECK-reducer.reset-generation-local-state","verification","reducer.reset-generation-local-state","2|0|0|true","2|0|0|true","PASS","deterministic same-source assertion"
"CHECK-reducer.seven-layers-final-expose","verification","reducer.seven-layers-final-expose","7|false|CoreExposed","7|false|CoreExposed","PASS","deterministic same-source assertion"
"CHECK-reducer.shell-break-core-expose","verification","reducer.shell-break-core-expose","CoreExposed|6000","CoreExposed|6000","PASS","deterministic same-source assertion"
"CHECK-reducer.shell-hit","verification","reducer.shell-hit","150","150","PASS","deterministic same-source assertion"
"CHECK-report.consecutive-hash-determinism","verification","report.consecutive-hash-determinism","650d68bfc048ef1d27632de0a2b6fd0cb0463c92459a54fc982bf36e7da51664|650d68bfc048ef1d27632de0a2b6fd0cb0463c92459a54fc982bf36e7da51664|650d68bfc048ef1d27632de0a2b6fd0cb0463c92459a54fc982bf36e7da51664","three equal aggregate hashes","PASS","deterministic same-source assertion"
"CHECK-report.missing-report-regeneration","verification","report.missing-report-regeneration","true|true","true|true","PASS","deterministic same-source assertion"
"CHECK-scheduler.basic-debt-every-four","verification","scheduler.basic-debt-every-four","1|1","1|1","PASS","deterministic same-source assertion"
"CHECK-scheduler.debt-consume-only-on-battle-accept","verification","scheduler.debt-consume-only-on-battle-accept","0|1","0|1","PASS","deterministic same-source assertion"
"CHECK-scheduler.multi-threshold-fifo","verification","scheduler.multi-threshold-fifo","S1-A;S2-A;S3-A;S1-B;S2-B;S3-B","S1-A;S2-A;S3-A;S1-B;S2-B;S3-B","PASS","deterministic same-source assertion"
"CHECK-scheduler.skill1-cap-and-no-hp-heal","verification","scheduler.skill1-cap-and-no-hp-heal","200|880","200|880","PASS","deterministic same-source assertion"
"CHECK-scheduler.skill1-full-shell-pending-repair-cap","verification","scheduler.skill1-full-shell-pending-repair-cap","NO_LEGAL_ACTION_DUE|190","NO_LEGAL_ACTION_DUE|190","PASS","deterministic same-source assertion"
"CHECK-scheduler.threshold-pending-in-core","verification","scheduler.threshold-pending-in-core","NO_LEGAL_ACTION_DUE","NO_LEGAL_ACTION_DUE","PASS","deterministic same-source assertion"
"CHECK-scheduler.threshold-pending-in-recover","verification","scheduler.threshold-pending-in-recover","NO_LEGAL_ACTION_DUE|6","NO_LEGAL_ACTION_DUE|6","PASS","deterministic same-source assertion"
"CHECK-scheduler.threshold-priority-before-basic","verification","scheduler.threshold-priority-before-basic","shougunu.phase1.skill2.rope_heavy_strike","shougunu.phase1.skill2.rope_heavy_strike","PASS","deterministic same-source assertion"
"CHECK-signature.catalog-tuning-bound","verification","signature.catalog-tuning-bound","sha256:6a7fd49363d5ca41ba66f80b811b4854ea291e636852b8344866ae6d76276b47","sha256:6a7fd49363d5ca41ba66f80b811b4854ea291e636852b8344866ae6d76276b47","PASS","deterministic same-source assertion"
"CHECK-signature.developer-diagnostic-projection-stability","verification","signature.developer-diagnostic-projection-stability","true|true","true|true","PASS","deterministic same-source assertion"
"CHECK-signature.repeat-production","verification","signature.repeat-production","sha256:4c4a39880949ef42b4ed2df5f07b7454f2d5c316ce1353b99795ee79821ec484","sha256:4c4a39880949ef42b4ed2df5f07b7454f2d5c316ce1353b99795ee79821ec484","PASS","deterministic same-source assertion"
"CHECK-signature.visible-state-and-cue-sensitive","verification","signature.visible-state-and-cue-sensitive","sha256:746e7716dfc85a2ba1a2fc19bd32cdbdb97c1d2cc7a663ee270b817ac7216b6b","different from initial presentation signature","PASS","deterministic same-source assertion"
"CHECK-snapshot.defensive-copy","verification","snapshot.defensive-copy","true","true","PASS","deterministic same-source assertion"
