"rowId","scenarioId","encounterId","baselineUnknownCapabilities","remainingDecisiveUnknowns","actualRemainingUnknowns","actualUnknownReferenceReduction","actualBlockedRowReduction","actualEvaluationStatus","placementOnlyRemaining","placementOnlyUnblocked","debuffOnlyRemaining","debuffOnlyUnblocked","interruptOnlyRemaining","interruptOnlyUnblocked","spiritOnlyRemaining","spiritOnlyUnblocked","placementDebuffRemaining","placementDebuffUnblocked","placementInterruptRemaining","placementInterruptUnblocked","placementSpiritRemaining","placementSpiritUnblocked","allFourRemaining","allFourUnblocked","analysisBoundary"
"BRSS01-C02-011","EMPTY","dev_encounter_4_10_furnace_core","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-012","EMPTY","dev_encounter_4_10_thunder_fire_cross","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-013","MIXED_SUPPORTED","dev_encounter_3_10_cleanse_corner","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","capability.debuff_counter;capability.placement_shape","capability.debuff_counter;capability.placement_shape","0","0","BLOCKED_BY_UNKNOWN","capability.debuff_counter","false","capability.placement_shape","false","capability.debuff_counter;capability.placement_shape","false","capability.debuff_counter;capability.placement_shape","false","","true","capability.debuff_counter","false","capability.debuff_counter","false","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-014","MIXED_SUPPORTED","dev_encounter_3_10_guard_wall","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","capability.interrupt_timing;capability.placement_shape","capability.interrupt_timing;capability.placement_shape","0","0","BLOCKED_BY_UNKNOWN","capability.interrupt_timing","false","capability.interrupt_timing;capability.placement_shape","false","capability.placement_shape","false","capability.interrupt_timing;capability.placement_shape","false","capability.interrupt_timing","false","","true","capability.interrupt_timing","false","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-015","MIXED_SUPPORTED","dev_encounter_4_10_furnace_core","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-016","MIXED_SUPPORTED","dev_encounter_4_10_thunder_fire_cross","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-017","OFFENSE_SUPPORTED","dev_encounter_3_10_cleanse_corner","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","capability.debuff_counter;capability.placement_shape","capability.debuff_counter;capability.placement_shape","0","0","BLOCKED_BY_UNKNOWN","capability.debuff_counter","false","capability.placement_shape","false","capability.debuff_counter;capability.placement_shape","false","capability.debuff_counter;capability.placement_shape","false","","true","capability.debuff_counter","false","capability.debuff_counter","false","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-018","OFFENSE_SUPPORTED","dev_encounter_3_10_guard_wall","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","capability.interrupt_timing;capability.placement_shape","capability.interrupt_timing;capability.placement_shape","0","0","BLOCKED_BY_UNKNOWN","capability.interrupt_timing","false","capability.interrupt_timing;capability.placement_shape","false","capability.placement_shape","false","capability.interrupt_timing;capability.placement_shape","false","capability.interrupt_timing","false","","true","capability.interrupt_timing","false","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-019","OFFENSE_SUPPORTED","dev_encounter_4_10_furnace_core","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-020","OFFENSE_SUPPORTED","dev_encounter_4_10_thunder_fire_cross","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-021","RARITY_VARIANTS","dev_encounter_3_10_cleanse_corner","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","capability.debuff_counter;capability.placement_shape","capability.debuff_counter;capability.placement_shape","0","0","BLOCKED_BY_UNKNOWN","capability.debuff_counter","false","capability.placement_shape","false","capability.debuff_counter;capability.placement_shape","false","capability.debuff_counter;capability.placement_shape","false","","true","capability.debuff_counter","false","capability.debuff_counter","false","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-022","RARITY_VARIANTS","dev_encounter_3_10_guard_wall","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","capability.interrupt_timing;capability.placement_shape","capability.interrupt_timing;capability.placement_shape","0","0","BLOCKED_BY_UNKNOWN","capability.interrupt_timing","false","capability.interrupt_timing;capability.placement_shape","false","capability.placement_shape","false","capability.interrupt_timing;capability.placement_shape","false","capability.interrupt_timing","false","","true","capability.interrupt_timing","false","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-023","RARITY_VARIANTS","dev_encounter_4_10_furnace_core","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-024","RARITY_VARIANTS","dev_encounter_4_10_thunder_fire_cross","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-025","SAME_BASE_MULTI_INSTANCE","dev_encounter_3_10_cleanse_corner","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","capability.debuff_counter;capability.placement_shape","capability.debuff_counter;capability.placement_shape","0","0","BLOCKED_BY_UNKNOWN","capability.debuff_counter","false","capability.placement_shape","false","capability.debuff_counter;capability.placement_shape","false","capability.debuff_counter;capability.placement_shape","false","","true","capability.debuff_counter","false","capability.debuff_counter","false","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-026","SAME_BASE_MULTI_INSTANCE","dev_encounter_3_10_guard_wall","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","capability.interrupt_timing;capability.placement_shape","capability.interrupt_timing;capability.placement_shape","0","0","BLOCKED_BY_UNKNOWN","capability.interrupt_timing","false","capability.interrupt_timing;capability.placement_shape","false","capability.placement_shape","false","capability.interrupt_timing;capability.placement_shape","false","capability.interrupt_timing","false","","true","capability.interrupt_timing","false","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-027","SAME_BASE_MULTI_INSTANCE","dev_encounter_4_10_furnace_core","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-028","SAME_BASE_MULTI_INSTANCE","dev_encounter_4_10_thunder_fire_cross","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-029","SPARSE_UNKNOWN","dev_encounter_3_10_cleanse_corner","capability.cleanse_power;capability.control_power;capability.debuff_counter;capability.energy_stability;capability.placement_shape","capability.debuff_counter;capability.placement_shape","capability.debuff_counter;capability.placement_shape","0","0","BLOCKED_BY_UNKNOWN","capability.debuff_counter","false","capability.placement_shape","false","capability.debuff_counter;capability.placement_shape","false","capability.debuff_counter;capability.placement_shape","false","","true","capability.debuff_counter","false","capability.debuff_counter","false","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-030","SPARSE_UNKNOWN","dev_encounter_3_10_guard_wall","capability.burst_window;capability.cleanse_power;capability.control_power;capability.energy_stability;capability.interrupt_timing;capability.placement_shape","capability.interrupt_timing;capability.placement_shape","capability.interrupt_timing;capability.placement_shape","0","0","BLOCKED_BY_UNKNOWN","capability.interrupt_timing","false","capability.interrupt_timing;capability.placement_shape","false","capability.placement_shape","false","capability.interrupt_timing;capability.placement_shape","false","capability.interrupt_timing","false","","true","capability.interrupt_timing","false","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-031","SPARSE_UNKNOWN","dev_encounter_4_10_furnace_core","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
"BRSS01-C02-032","SPARSE_UNKNOWN","dev_encounter_4_10_thunder_fire_cross","capability.burst_window;capability.cleanse_power;capability.clear_power;capability.control_power;capability.energy_stability;capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","capability.placement_shape;capability.spirit_lock","0","0","BLOCKED_BY_UNKNOWN","capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape;capability.spirit_lock","false","capability.placement_shape","false","capability.spirit_lock","false","capability.spirit_lock","false","","true","","true","CONDITIONAL_SET_SUBTRACTION_ONLY;SURVEY_ACTUAL_REDUCTION_ZERO;NO_READINESS_DIFFICULTY_OR_OUTCOME"
