statementId,artSourceId,sourceRegion,statementKind,sourceTextExact,transcriptionStatus,contentId,chapterId,sourceOrder,notesDeveloperOnly
BA-ART-01-S021,BA-ART-01,row3.nodes,ENCOUNTER_NODE,荒废山道,TRANSCRIPTION_EXACT,,bone_aspect_chapter_3,21,
BA-ART-01-S022,BA-ART-01,row3.nodes,ENCOUNTER_NODE,倒塌山门,TRANSCRIPTION_EXACT,,bone_aspect_chapter_3,22,
BA-ART-01-S023,BA-ART-01,row3.nodes,ENCOUNTER_NODE,记忆大殿·阵眼层,TRANSCRIPTION_EXACT,,bone_aspect_chapter_3,23,
BA-ART-01-S024,BA-ART-01,row4.nodes,ENCOUNTER_NODE,封锁丁巷·街坊防线,TRANSCRIPTION_EXACT,,bone_aspect_chapter_4,24,
BA-ART-01-S025,BA-ART-01,row4.nodes,ENCOUNTER_NODE,异化骨铺,TRANSCRIPTION_EXACT,,bone_aspect_chapter_4,25,
BA-ART-01-S026,BA-ART-01,row4.nodes,ENCOUNTER_NODE,万相骨腹,TRANSCRIPTION_EXACT,,bone_aspect_chapter_4,26,
BA-ART-01-S027,BA-ART-01,row1.enemy1,IDENTITY_NAME,碎骨附身者,TRANSCRIPTION_EXACT,bone_aspect_enemy_c1_01_shattered_host,bone_aspect_chapter_1,27,
BA-ART-01-S028,BA-ART-01,row1.enemy1,MECHANIC_MARKER,附身 / 骨粉残留,TRANSCRIPTION_EXACT,bone_aspect_enemy_c1_01_shattered_host,bone_aspect_chapter_1,28,
BA-ART-01-S029,BA-ART-01,row1.enemy2,IDENTITY_NAME,骨瓷犬,TRANSCRIPTION_EXACT,bone_aspect_enemy_c1_02_porcelain_hound,bone_aspect_chapter_1,29,
BA-ART-01-S030,BA-ART-01,row1.enemy2,MECHANIC_MARKER,护壳 / 冲撞 / 破壳虚弱,TRANSCRIPTION_EXACT,bone_aspect_enemy_c1_02_porcelain_hound,bone_aspect_chapter_1,30,
BA-ART-01-S031,BA-ART-01,row1.enemy3,IDENTITY_NAME,换骨残相,TRANSCRIPTION_EXACT,bone_aspect_enemy_c1_03_bone_swap_remnant,bone_aspect_chapter_1,31,
BA-ART-01-S032,BA-ART-01,row1.enemy3,MECHANIC_MARKER,分裂 / 状态叠加,TRANSCRIPTION_EXACT,bone_aspect_enemy_c1_03_bone_swap_remnant,bone_aspect_chapter_1,32,
BA-ART-01-S033,BA-ART-01,row2.enemy1,IDENTITY_NAME,假相浮骨,TRANSCRIPTION_EXACT,bone_aspect_enemy_c2_01_false_identity_bone,bone_aspect_chapter_2,33,
BA-ART-01-S034,BA-ART-01,row2.enemy1,MECHANIC_MARKER,真假目标 / 诱导,TRANSCRIPTION_EXACT,bone_aspect_enemy_c2_01_false_identity_bone,bone_aspect_chapter_2,34,
BA-ART-01-S035,BA-ART-01,row2.enemy2,IDENTITY_NAME,契纸吏,TRANSCRIPTION_EXACT,bone_aspect_enemy_c2_02_contract_clerk,bone_aspect_chapter_2,35,
BA-ART-01-S036,BA-ART-01,row2.enemy2,MECHANIC_MARKER,读条 / 封招 / 打断,TRANSCRIPTION_EXACT,bone_aspect_enemy_c2_02_contract_clerk,bone_aspect_chapter_2,36,
BA-ART-01-S037,BA-ART-01,row2.enemy3,IDENTITY_NAME,竞骨客,TRANSCRIPTION_EXACT,bone_aspect_enemy_c2_03_bone_bidder,bone_aspect_chapter_2,37,
BA-ART-01-S038,BA-ART-01,row2.enemy3,MECHANIC_MARKER,争夺 / 抢夺 / 标记,TRANSCRIPTION_EXACT,bone_aspect_enemy_c2_03_bone_bidder,bone_aspect_chapter_2,38,
BA-ART-01-S039,BA-ART-01,row3.enemy1,IDENTITY_NAME,残阵石傀,TRANSCRIPTION_EXACT,bone_aspect_enemy_c3_01_array_stone_puppet,bone_aspect_chapter_3,39,
BA-ART-01-S040,BA-ART-01,row3.enemy1,MECHANIC_MARKER,耐护盾 / 破防前难处理,TRANSCRIPTION_EXACT,bone_aspect_enemy_c3_01_array_stone_puppet,bone_aspect_chapter_3,40,
BA-ART-01-S041,BA-ART-01,row3.enemy2,IDENTITY_NAME,旧令道影,TRANSCRIPTION_EXACT,bone_aspect_enemy_c3_02_old_edict_shadow,bone_aspect_chapter_3,41,
BA-ART-01-S042,BA-ART-01,row3.enemy2,MECHANIC_MARKER,打断 / 压制 / 禁止触发,TRANSCRIPTION_EXACT,bone_aspect_enemy_c3_02_old_edict_shadow,bone_aspect_chapter_3,42,
BA-ART-01-S043,BA-ART-01,row4.enemy1,IDENTITY_NAME,无面骨俑,TRANSCRIPTION_EXACT,bone_aspect_enemy_c4_01_faceless_bone_figure,bone_aspect_chapter_4,43,
BA-ART-01-S044,BA-ART-01,row4.enemy1,MECHANIC_MARKER,群体压迫 / 数量威胁,TRANSCRIPTION_EXACT,bone_aspect_enemy_c4_01_faceless_bone_figure,bone_aspect_chapter_4,44,
BA-ART-01-S045,BA-ART-01,row4.enemy2,IDENTITY_NAME,骨契商侍,TRANSCRIPTION_EXACT,bone_aspect_enemy_c4_02_contract_attendant,bone_aspect_chapter_4,45,
BA-ART-01-S046,BA-ART-01,row4.enemy2,MECHANIC_MARKER,封存器类 / 持续读契,TRANSCRIPTION_EXACT,bone_aspect_enemy_c4_02_contract_attendant,bone_aspect_chapter_4,46,
BA-ART-01-S047,BA-ART-01,row4.enemy3,IDENTITY_NAME,天骨赝相,TRANSCRIPTION_EXACT,bone_aspect_enemy_c4_03_false_celestial_form,bone_aspect_chapter_4,47,
BA-ART-01-S048,BA-ART-01,row4.enemy3,MECHANIC_MARKER,复合法门 / 能力切换,TRANSCRIPTION_EXACT,bone_aspect_enemy_c4_03_false_celestial_form,bone_aspect_chapter_4,48,
BA-ART-01-S049,BA-ART-01,row1.boss,IDENTITY_NAME,守骨奴,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,49,
BA-ART-01-S050,BA-ART-01,row1.boss,MECHANIC_MARKER,强护壳,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,50,
BA-ART-01-S051,BA-ART-01,row1.boss,DAMAGE_TRANSFER_STATEMENT,替主承伤,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,51,历史美术证据保留，但语义已被用户决定否决。
BA-ART-01-S052,BA-ART-01,row1.boss,MECHANIC_MARKER,核心暴露,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,52,
BA-ART-01-S053,BA-ART-01,row2.boss,IDENTITY_NAME,竞骨人,TRANSCRIPTION_EXACT,bone_aspect_boss_c2_identity_bidder,bone_aspect_chapter_2,53,
BA-ART-01-S054,BA-ART-01,row2.boss,MECHANIC_MARKER,身份切换,TRANSCRIPTION_EXACT,bone_aspect_boss_c2_identity_bidder,bone_aspect_chapter_2,54,
BA-ART-01-S055,BA-ART-01,row2.boss,MECHANIC_MARKER,竞价护盾,TRANSCRIPTION_EXACT,bone_aspect_boss_c2_identity_bidder,bone_aspect_chapter_2,55,历史美术证据保留，但语义已被用户决定否决。
BA-ART-01-S056,BA-ART-01,row2.boss,MECHANIC_MARKER,读条破绽,TRANSCRIPTION_EXACT,bone_aspect_boss_c2_identity_bidder,bone_aspect_chapter_2,56,
BA-ART-01-S057,BA-ART-01,row3.enemy3,IDENTITY_NAME,骨尘小像,TRANSCRIPTION_EXACT,bone_aspect_enemy_c3_03_bone_dust_effigy,bone_aspect_chapter_3,57,
BA-ART-01-S058,BA-ART-01,row3.enemy3,MECHANIC_MARKER,偷念,TRANSCRIPTION_EXACT,bone_aspect_enemy_c3_03_bone_dust_effigy,bone_aspect_chapter_3,58,
BA-ART-01-S059,BA-ART-01,row3.enemy3,MECHANIC_MARKER,复制,TRANSCRIPTION_EXACT,bone_aspect_enemy_c3_03_bone_dust_effigy,bone_aspect_chapter_3,59,
BA-ART-01-S060,BA-ART-01,row3.enemy3,MECHANIC_MARKER,干扰增益,TRANSCRIPTION_EXACT,bone_aspect_enemy_c3_03_bone_dust_effigy,bone_aspect_chapter_3,60,
BA-ART-01-S061,BA-ART-01,row3.boss,IDENTITY_NAME,阵眼守护者,TRANSCRIPTION_EXACT,bone_aspect_boss_c3_array_eye_guardian,bone_aspect_chapter_3,61,
BA-ART-01-S062,BA-ART-01,row3.boss,MECHANIC_MARKER,形态切换 / 验证资格 / 阵眼缺口,TRANSCRIPTION_EXACT,bone_aspect_boss_c3_array_eye_guardian,bone_aspect_chapter_3,62,
BA-ART-01-S063,BA-ART-01,row4.boss,IDENTITY_NAME,万相骨兽,TRANSCRIPTION_EXACT,bone_aspect_boss_c4_myriad_bone_beast,bone_aspect_chapter_4,63,
BA-ART-01-S064,BA-ART-01,row4.boss,MECHANIC_MARKER,交易封存,TRANSCRIPTION_EXACT,bone_aspect_boss_c4_myriad_bone_beast,bone_aspect_chapter_4,64,
BA-ART-01-S065,BA-ART-01,row4.boss,MECHANIC_MARKER,能力切换,TRANSCRIPTION_EXACT,bone_aspect_boss_c4_myriad_bone_beast,bone_aspect_chapter_4,65,
BA-ART-01-S066,BA-ART-01,row4.boss,MECHANIC_MARKER,空白骨破局,TRANSCRIPTION_EXACT,bone_aspect_boss_c4_myriad_bone_beast,bone_aspect_chapter_4,66,
BA-ART-01-S067,BA-ART-01,row4.boss,MECHANIC_MARKER,记忆反噬,TRANSCRIPTION_EXACT,bone_aspect_boss_c4_myriad_bone_beast,bone_aspect_chapter_4,67,
BA-ART-01-S068,BA-ART-01,bottom.design_principles,PRESENTATION_PRINCIPLE,一怪一机制,TRANSCRIPTION_EXACT,,,68,
BA-ART-01-S069,BA-ART-01,bottom.design_principles,PRESENTATION_PRINCIPLE,大轮廓清晰,TRANSCRIPTION_EXACT,,,69,
BA-ART-01-S070,BA-ART-01,bottom.design_principles,PRESENTATION_PRINCIPLE,机制一眼可见,TRANSCRIPTION_EXACT,,,70,
BA-ART-01-S071,BA-ART-01,bottom.design_principles,PRESENTATION_PRINCIPLE,同章有家族感,TRANSCRIPTION_EXACT,,,71,
BA-ART-01-S072,BA-ART-01,bottom.design_principles,PRESENTATION_PRINCIPLE,小屏可读,TRANSCRIPTION_EXACT,,,72,
BA-ART-01-S073,BA-ART-01,bottom.design_principles,PRESENTATION_PRINCIPLE,志怪现代化,TRANSCRIPTION_EXACT,,,73,
BA-ART-01-S074,BA-ART-01,bottom.mechanic_legend,PRESENTATION_LEGEND,护壳 / 冲撞 / 分裂 / 封招 / 读条 / 打断 / 压制 / 偷念 / 复制 / 封存 / 争夺 / 标记,TRANSCRIPTION_EXACT,,,74,
BA-ART-01-S075,BA-ART-01,bottom.size_reference,PRESENTATION_NOTE,最终形象以游戏内实际为准,TRANSCRIPTION_EXACT,,,75,
BA-ART-02-S001,BA-ART-02,left.title,IDENTITY_NAME,守骨奴,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,1,
BA-ART-02-S002,BA-ART-02,left.title,FORM_HEADING,替骨承伤,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,2,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S003,BA-ART-02,top.phase,PHASE_HEADING,第二阶段：替骨承伤,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,3,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S004,BA-ART-02,top.phase,DAMAGE_TRANSFER_STATEMENT,为主承受伤害，替主分担一切侵袭。,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,4,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S005,BA-ART-02,top.phase,PRESENTATION_STATEMENT,护板环绕，骨绳相牵,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,5,
BA-ART-02-S006,BA-ART-02,top.phase,NARRATIVE_STATEMENT,忠心不渝,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,6,
BA-ART-02-S007,BA-ART-02,top.phase,NARRATIVE_STATEMENT,以身为门，代主无憾。,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,7,
BA-ART-02-S008,BA-ART-02,right.identity,IDENTITY_STATEMENT,守门骨相第二阶段形态。,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,8,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S009,BA-ART-02,right.identity,DAMAGE_TRANSFER_STATEMENT,以环门之势，护主承伤,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,9,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S010,BA-ART-02,right.identity,ACTION_STATEMENT,以骨板拦截,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,10,
BA-ART-02-S011,BA-ART-02,right.identity,ACTION_STATEMENT,以骨绳牵引,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,11,
BA-ART-02-S012,BA-ART-02,right.identity,NARRATIVE_STATEMENT,为门为盾，代主受难。,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,12,
BA-ART-02-S013,BA-ART-02,left.role,ROLE_STATEMENT,防御型·拦截型·护主型,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,13,
BA-ART-02-S014,BA-ART-02,left.role,PRESENTATION_STATEMENT,以环形护门与浮游护板构建防御体系,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,14,
BA-ART-02-S015,BA-ART-02,left.role,DAMAGE_TRANSFER_STATEMENT,能拦截并转移绝大部分伤害,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,15,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S016,BA-ART-02,left.role,TARGET_EFFECT_STATEMENT,借骨绳牵引控制敌人,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,16,
BA-ART-02-S017,BA-ART-02,left.role,NARRATIVE_STATEMENT,始终将自身置于主人身前,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,17,
BA-ART-02-S018,BA-ART-02,left.role,TIMING_STATEMENT,直至战斗终结,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,18,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S019,BA-ART-02,right.details,PRESENTATION_DETAIL,胸口「忠」核心,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,19,
BA-ART-02-S020,BA-ART-02,right.details,PRESENTATION_DETAIL,浮游护板,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,20,
BA-ART-02-S021,BA-ART-02,right.details,PRESENTATION_DETAIL,朱砂骨绳,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,21,
BA-ART-02-S022,BA-ART-02,right.details,PRESENTATION_DETAIL,开环骨门结构,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,22,
BA-ART-02-S023,BA-ART-02,right.details,PRESENTATION_DETAIL,符咒挂饰,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,23,
BA-ART-02-S024,BA-ART-02,bottom.skills,SKILL_HEADING,护板转移,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,24,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S025,BA-ART-02,bottom.skills,DAMAGE_TRANSFER_STATEMENT,浮游护板沿骨绳轨迹快速转移，将即将到来的攻击引向自身。,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,25,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S026,BA-ART-02,bottom.skills,SKILL_HEADING,环形拦截,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,26,
BA-ART-02-S027,BA-ART-02,bottom.skills,EFFECT_STATEMENT,张开骨门形成环形防御场，拦截来自多方向的攻击。,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,27,
BA-ART-02-S028,BA-ART-02,bottom.skills,SKILL_HEADING,骨绳牵引,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,28,
BA-ART-02-S029,BA-ART-02,bottom.skills,TARGET_EFFECT_STATEMENT,以朱砂骨绳牵引敌人或攻击，拉回并打断其攻势。,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,29,
BA-ART-02-S030,BA-ART-02,bottom.skills,SKILL_HEADING,护主回身,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,30,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S031,BA-ART-02,bottom.skills,TARGET_EFFECT_STATEMENT,迅速转身置于主人身前，背后方攻击拒接在身后。,TRANSCRIPTION_UNCERTAIN,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,31,历史美术证据保留，但语义已被用户决定否决。 TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-ART-02-S032,BA-ART-02,bottom.form_compare,FORM_HEADING,第一阶段：守门骨相,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,32,
BA-ART-02-S033,BA-ART-02,bottom.form_compare,FORM_HEADING,第二阶段：替骨承伤,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,33,历史美术证据保留，但语义已被用户决定否决。
BA-ART-02-S034,BA-ART-02,bottom.definition,PRESENTATION_HEADING,设定释义,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,34,
BA-ART-02-S035,BA-ART-02,bottom.definition,NARRATIVE_STATEMENT,替骨承伤，忠诚无二，以开环护城，以骨板代身，以绳牵引，以门为界，代主受难，护主周全。,TRANSCRIPTION_UNCERTAIN,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,35,历史美术证据保留，但语义已被用户决定否决。 TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-ART-02-S036,BA-ART-02,bottom.legend,PRESENTATION_LEGEND,护板 / 环形拒敌 / 骨绳牵引 / 护主 / 减伤 / 控制 / 反击 / 护盾,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,36,
BA-ART-02-S037,BA-ART-02,bottom.drop_preview,DROP_REWARD_PROP,忠魂骨符,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,37,
BA-ART-02-S038,BA-ART-02,bottom.drop_preview,DROP_REWARD_PROP,守门骨绳,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,38,
BA-ART-02-S039,BA-ART-02,bottom.drop_preview,DROP_REWARD_PROP,守骨门牌,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,39,
BA-ART-02-S040,BA-ART-02,bottom.drop_preview,DROP_REWARD_PROP,骨相残片,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,40,
BA-ART-02-S041,BA-ART-02,bottom.footer,NARRATIVE_STATEMENT,替骨为契 忠诚为门 主人不语 骨奴无憾,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,41,
BA-ART-03-S001,BA-ART-03,left.title,IDENTITY_NAME,守骨奴,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,1,
BA-ART-03-S002,BA-ART-03,left.title,PHASE_HEADING,第三阶段：忠骨殉相,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,2,
BA-ART-03-S003,BA-ART-03,left.form,FORM_HEADING,殉护之相,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,3,
BA-ART-03-S004,BA-ART-03,left.form,NARRATIVE_STATEMENT,以残破为刃，以忠诚为盾，失去守护之躯后，化身为主之盾，倾尽骨血，誓死殉主。,TRANSCRIPTION_UNCERTAIN,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,4,TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-ART-03-S005,BA-ART-03,left.phase_concept,TRANSITION_STATEMENT,护体尽碎，守门化攻,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,5,
BA-ART-03-S006,BA-ART-03,left.phase_concept,TRANSITION_STATEMENT,守骨奴以残破之躯发动最后的反击。,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,6,
BA-ART-03-S007,BA-ART-03,left.phase_concept,PRESENTATION_STATEMENT,其环阵破裂为锋，赤骨绳化为刃,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,7,
BA-ART-03-S008,BA-ART-03,left.phase_concept,PRESENTATION_STATEMENT,心核“忠”字燃热,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,8,
BA-ART-03-S009,BA-ART-03,left.phase_concept,NARRATIVE_STATEMENT,寸步不退,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,9,
BA-ART-03-S010,BA-ART-03,left.phase_concept,ACTION_STATEMENT,赴死一击,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,10,
BA-ART-03-S011,BA-ART-03,right.details,PRESENTATION_DETAIL,核心·忠骨心核,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,11,
BA-ART-03-S012,BA-ART-03,right.details,PRESENTATION_DETAIL,残门破环,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,12,
BA-ART-03-S013,BA-ART-03,right.details,PRESENTATION_STATEMENT,护身之板尽碎，“忠”字骨铭完全暴露，由此化作战斗核心。,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,13,
BA-ART-03-S014,BA-ART-03,right.details,PRESENTATION_STATEMENT,守门骨相的环阵碎裂，环阵化为利刃，赤绳缠绕，悬浮于肩背两侧。,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,14,
BA-ART-03-S015,BA-ART-03,right.details,PRESENTATION_DETAIL,残袍缚臂,TRANSCRIPTION_UNCERTAIN,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,15,TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-ART-03-S016,BA-ART-03,right.details,PRESENTATION_STATEMENT,战袍破碎，赤绳在骨躯间形成攻守一体的牵引结构。,TRANSCRIPTION_UNCERTAIN,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,16,TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-ART-03-S017,BA-ART-03,right.details,PRESENTATION_DETAIL,殉骨长臂,TRANSCRIPTION_UNCERTAIN,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,17,TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
BA-ART-03-S018,BA-ART-03,bottom.skills,SKILL_HEADING,忠字震击,TRANSCRIPTION_EXACT,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,18,
BA-ART-03-S019,BA-ART-03,bottom.skills,DAMAGE_EFFECT_STATEMENT,心锁“忠”字蓄能聚力，向前方扇形范围释放骨纹冲击波。,TRANSCRIPTION_UNCERTAIN,bone_aspect_boss_c1_bone_guard,bone_aspect_chapter_1,19,TRANSCRIPTION_UNCERTAIN excluded from candidate support and acceptance.
