caseId,baseItemId,rarity,rootSeed,itemInstanceId,expected,result,actual
"determinism-I001@green","","",0,"","same base+rarity+seed is identical","PASS","wb_i001_green_77041201"
"seed-switch-I001@green","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i001_green_77041202"
"candidate-I001@blue","","",0,"","candidate instance generated","PASS","Success:wb_i001_blue_77041201"
"projection-I001@blue","","",0,"","exact read-only projection","PASS","wb_i001_blue_77041201"
"viewmodel-I001@blue","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I001@blue-0","I001","blue",77041201,"wb_i001_blue_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I001@blue-1","I001","blue",77041201,"wb_i001_blue_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I001@blue-2","I001","blue",77041201,"wb_i001_blue_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I001@blue-3","I001","blue",77041201,"wb_i001_blue_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I001@blue","","",0,"","same base+rarity+seed is identical","PASS","wb_i001_blue_77041201"
"seed-switch-I001@blue","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i001_blue_77041202"
"candidate-I001@purple","","",0,"","candidate instance generated","PASS","Success:wb_i001_purple_77041201"
"projection-I001@purple","","",0,"","exact read-only projection","PASS","wb_i001_purple_77041201"
"viewmodel-I001@purple","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I001@purple-0","I001","purple",77041201,"wb_i001_purple_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I001@purple-1","I001","purple",77041201,"wb_i001_purple_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I001@purple-2","I001","purple",77041201,"wb_i001_purple_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I001@purple-3","I001","purple",77041201,"wb_i001_purple_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I001@purple","","",0,"","same base+rarity+seed is identical","PASS","wb_i001_purple_77041201"
"seed-switch-I001@purple","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i001_purple_77041202"
"candidate-I001@orange","","",0,"","candidate instance generated","PASS","Success:wb_i001_orange_77041201"
"projection-I001@orange","","",0,"","exact read-only projection","PASS","wb_i001_orange_77041201"
"viewmodel-I001@orange","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I001@orange-0","I001","orange",77041201,"wb_i001_orange_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I001@orange-1","I001","orange",77041201,"wb_i001_orange_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I001@orange-2","I001","orange",77041201,"wb_i001_orange_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I001@orange-3","I001","orange",77041201,"wb_i001_orange_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I001@orange","","",0,"","same base+rarity+seed is identical","PASS","wb_i001_orange_77041201"
"seed-switch-I001@orange","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i001_orange_77041202"
"base-query-I002","","",0,"","catalog base item query succeeds","PASS","I002"
"candidate-I002@white","","",0,"","candidate instance generated","PASS","Success:wb_i002_white_77041201"
"projection-I002@white","","",0,"","exact read-only projection","PASS","wb_i002_white_77041201"
"viewmodel-I002@white","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I002@white-0","I002","white",77041201,"wb_i002_white_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I002@white-1","I002","white",77041201,"wb_i002_white_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I002@white-2","I002","white",77041201,"wb_i002_white_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I002@white-3","I002","white",77041201,"wb_i002_white_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I002@white","","",0,"","same base+rarity+seed is identical","PASS","wb_i002_white_77041201"
"seed-switch-I002@white","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i002_white_77041202"
"candidate-I002@green","","",0,"","candidate instance generated","PASS","Success:wb_i002_green_77041201"
"projection-I002@green","","",0,"","exact read-only projection","PASS","wb_i002_green_77041201"
"viewmodel-I002@green","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I002@green-0","I002","green",77041201,"wb_i002_green_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I002@green-1","I002","green",77041201,"wb_i002_green_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I002@green-2","I002","green",77041201,"wb_i002_green_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I002@green-3","I002","green",77041201,"wb_i002_green_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I002@green","","",0,"","same base+rarity+seed is identical","PASS","wb_i002_green_77041201"
"seed-switch-I002@green","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i002_green_77041202"
"candidate-I002@blue","","",0,"","candidate instance generated","PASS","Success:wb_i002_blue_77041201"
"projection-I002@blue","","",0,"","exact read-only projection","PASS","wb_i002_blue_77041201"
"viewmodel-I002@blue","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I002@blue-0","I002","blue",77041201,"wb_i002_blue_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I002@blue-1","I002","blue",77041201,"wb_i002_blue_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I002@blue-2","I002","blue",77041201,"wb_i002_blue_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I002@blue-3","I002","blue",77041201,"wb_i002_blue_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I002@blue","","",0,"","same base+rarity+seed is identical","PASS","wb_i002_blue_77041201"
"seed-switch-I002@blue","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i002_blue_77041202"
"candidate-I002@purple","","",0,"","candidate instance generated","PASS","Success:wb_i002_purple_77041201"
"projection-I002@purple","","",0,"","exact read-only projection","PASS","wb_i002_purple_77041201"
"viewmodel-I002@purple","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I002@purple-0","I002","purple",77041201,"wb_i002_purple_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I002@purple-1","I002","purple",77041201,"wb_i002_purple_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I002@purple-2","I002","purple",77041201,"wb_i002_purple_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I002@purple-3","I002","purple",77041201,"wb_i002_purple_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I002@purple","","",0,"","same base+rarity+seed is identical","PASS","wb_i002_purple_77041201"
"seed-switch-I002@purple","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i002_purple_77041202"
"candidate-I002@orange","","",0,"","candidate instance generated","PASS","Success:wb_i002_orange_77041201"
"projection-I002@orange","","",0,"","exact read-only projection","PASS","wb_i002_orange_77041201"
"viewmodel-I002@orange","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I002@orange-0","I002","orange",77041201,"wb_i002_orange_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I002@orange-1","I002","orange",77041201,"wb_i002_orange_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I002@orange-2","I002","orange",77041201,"wb_i002_orange_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I002@orange-3","I002","orange",77041201,"wb_i002_orange_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I002@orange","","",0,"","same base+rarity+seed is identical","PASS","wb_i002_orange_77041201"
"seed-switch-I002@orange","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i002_orange_77041202"
"base-query-I003","","",0,"","catalog base item query succeeds","PASS","I003"
"candidate-I003@white","","",0,"","candidate instance generated","PASS","Success:wb_i003_white_77041201"
"projection-I003@white","","",0,"","exact read-only projection","PASS","wb_i003_white_77041201"
"viewmodel-I003@white","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I003@white-0","I003","white",77041201,"wb_i003_white_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I003@white-1","I003","white",77041201,"wb_i003_white_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I003@white-2","I003","white",77041201,"wb_i003_white_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I003@white-3","I003","white",77041201,"wb_i003_white_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I003@white","","",0,"","same base+rarity+seed is identical","PASS","wb_i003_white_77041201"
"seed-switch-I003@white","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i003_white_77041202"
"candidate-I003@green","","",0,"","candidate instance generated","PASS","Success:wb_i003_green_77041201"
"projection-I003@green","","",0,"","exact read-only projection","PASS","wb_i003_green_77041201"
"viewmodel-I003@green","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I003@green-0","I003","green",77041201,"wb_i003_green_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I003@green-1","I003","green",77041201,"wb_i003_green_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I003@green-2","I003","green",77041201,"wb_i003_green_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I003@green-3","I003","green",77041201,"wb_i003_green_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I003@green","","",0,"","same base+rarity+seed is identical","PASS","wb_i003_green_77041201"
"seed-switch-I003@green","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i003_green_77041202"
"candidate-I003@blue","","",0,"","candidate instance generated","PASS","Success:wb_i003_blue_77041201"
"projection-I003@blue","","",0,"","exact read-only projection","PASS","wb_i003_blue_77041201"
"viewmodel-I003@blue","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I003@blue-0","I003","blue",77041201,"wb_i003_blue_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I003@blue-1","I003","blue",77041201,"wb_i003_blue_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I003@blue-2","I003","blue",77041201,"wb_i003_blue_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I003@blue-3","I003","blue",77041201,"wb_i003_blue_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I003@blue","","",0,"","same base+rarity+seed is identical","PASS","wb_i003_blue_77041201"
"seed-switch-I003@blue","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i003_blue_77041202"
"candidate-I003@purple","","",0,"","candidate instance generated","PASS","Success:wb_i003_purple_77041201"
"projection-I003@purple","","",0,"","exact read-only projection","PASS","wb_i003_purple_77041201"
"viewmodel-I003@purple","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I003@purple-0","I003","purple",77041201,"wb_i003_purple_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I003@purple-1","I003","purple",77041201,"wb_i003_purple_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I003@purple-2","I003","purple",77041201,"wb_i003_purple_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I003@purple-3","I003","purple",77041201,"wb_i003_purple_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I003@purple","","",0,"","same base+rarity+seed is identical","PASS","wb_i003_purple_77041201"
"seed-switch-I003@purple","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i003_purple_77041202"
"candidate-I003@orange","","",0,"","candidate instance generated","PASS","Success:wb_i003_orange_77041201"
"projection-I003@orange","","",0,"","exact read-only projection","PASS","wb_i003_orange_77041201"
"viewmodel-I003@orange","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I003@orange-0","I003","orange",77041201,"wb_i003_orange_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I003@orange-1","I003","orange",77041201,"wb_i003_orange_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I003@orange-2","I003","orange",77041201,"wb_i003_orange_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I003@orange-3","I003","orange",77041201,"wb_i003_orange_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I003@orange","","",0,"","same base+rarity+seed is identical","PASS","wb_i003_orange_77041201"
"seed-switch-I003@orange","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i003_orange_77041202"
"base-query-I004","","",0,"","catalog base item query succeeds","PASS","I004"
"candidate-I004@white","","",0,"","candidate instance generated","PASS","Success:wb_i004_white_77041201"
"projection-I004@white","","",0,"","exact read-only projection","PASS","wb_i004_white_77041201"
"viewmodel-I004@white","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I004@white-0","I004","white",77041201,"wb_i004_white_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I004@white-1","I004","white",77041201,"wb_i004_white_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I004@white-2","I004","white",77041201,"wb_i004_white_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I004@white-3","I004","white",77041201,"wb_i004_white_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I004@white","","",0,"","same base+rarity+seed is identical","PASS","wb_i004_white_77041201"
"seed-switch-I004@white","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i004_white_77041202"
"candidate-I004@green","","",0,"","candidate instance generated","PASS","Success:wb_i004_green_77041201"
"projection-I004@green","","",0,"","exact read-only projection","PASS","wb_i004_green_77041201"
"viewmodel-I004@green","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I004@green-0","I004","green",77041201,"wb_i004_green_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I004@green-1","I004","green",77041201,"wb_i004_green_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I004@green-2","I004","green",77041201,"wb_i004_green_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I004@green-3","I004","green",77041201,"wb_i004_green_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I004@green","","",0,"","same base+rarity+seed is identical","PASS","wb_i004_green_77041201"
"seed-switch-I004@green","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i004_green_77041202"
"candidate-I004@blue","","",0,"","candidate instance generated","PASS","Success:wb_i004_blue_77041201"
"projection-I004@blue","","",0,"","exact read-only projection","PASS","wb_i004_blue_77041201"
"viewmodel-I004@blue","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I004@blue-0","I004","blue",77041201,"wb_i004_blue_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I004@blue-1","I004","blue",77041201,"wb_i004_blue_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I004@blue-2","I004","blue",77041201,"wb_i004_blue_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I004@blue-3","I004","blue",77041201,"wb_i004_blue_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I004@blue","","",0,"","same base+rarity+seed is identical","PASS","wb_i004_blue_77041201"
"seed-switch-I004@blue","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i004_blue_77041202"
"candidate-I004@purple","","",0,"","candidate instance generated","PASS","Success:wb_i004_purple_77041201"
"projection-I004@purple","","",0,"","exact read-only projection","PASS","wb_i004_purple_77041201"
"viewmodel-I004@purple","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I004@purple-0","I004","purple",77041201,"wb_i004_purple_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I004@purple-1","I004","purple",77041201,"wb_i004_purple_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I004@purple-2","I004","purple",77041201,"wb_i004_purple_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I004@purple-3","I004","purple",77041201,"wb_i004_purple_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I004@purple","","",0,"","same base+rarity+seed is identical","PASS","wb_i004_purple_77041201"
"seed-switch-I004@purple","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i004_purple_77041202"
"candidate-I004@orange","","",0,"","candidate instance generated","PASS","Success:wb_i004_orange_77041201"
"projection-I004@orange","","",0,"","exact read-only projection","PASS","wb_i004_orange_77041201"
"viewmodel-I004@orange","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I004@orange-0","I004","orange",77041201,"wb_i004_orange_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I004@orange-1","I004","orange",77041201,"wb_i004_orange_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I004@orange-2","I004","orange",77041201,"wb_i004_orange_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I004@orange-3","I004","orange",77041201,"wb_i004_orange_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I004@orange","","",0,"","same base+rarity+seed is identical","PASS","wb_i004_orange_77041201"
"seed-switch-I004@orange","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i004_orange_77041202"
"base-query-I005","","",0,"","catalog base item query succeeds","PASS","I005"
"candidate-I005@white","","",0,"","candidate instance generated","PASS","Success:wb_i005_white_77041201"
"projection-I005@white","","",0,"","exact read-only projection","PASS","wb_i005_white_77041201"
"viewmodel-I005@white","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I005@white-0","I005","white",77041201,"wb_i005_white_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I005@white-1","I005","white",77041201,"wb_i005_white_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I005@white-2","I005","white",77041201,"wb_i005_white_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I005@white-3","I005","white",77041201,"wb_i005_white_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I005@white","","",0,"","same base+rarity+seed is identical","PASS","wb_i005_white_77041201"
"seed-switch-I005@white","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i005_white_77041202"
"candidate-I005@green","","",0,"","candidate instance generated","PASS","Success:wb_i005_green_77041201"
"projection-I005@green","","",0,"","exact read-only projection","PASS","wb_i005_green_77041201"
"viewmodel-I005@green","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I005@green-0","I005","green",77041201,"wb_i005_green_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I005@green-1","I005","green",77041201,"wb_i005_green_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I005@green-2","I005","green",77041201,"wb_i005_green_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I005@green-3","I005","green",77041201,"wb_i005_green_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I005@green","","",0,"","same base+rarity+seed is identical","PASS","wb_i005_green_77041201"
"seed-switch-I005@green","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i005_green_77041202"
"candidate-I005@blue","","",0,"","candidate instance generated","PASS","Success:wb_i005_blue_77041201"
"projection-I005@blue","","",0,"","exact read-only projection","PASS","wb_i005_blue_77041201"
"viewmodel-I005@blue","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I005@blue-0","I005","blue",77041201,"wb_i005_blue_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I005@blue-1","I005","blue",77041201,"wb_i005_blue_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I005@blue-2","I005","blue",77041201,"wb_i005_blue_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I005@blue-3","I005","blue",77041201,"wb_i005_blue_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I005@blue","","",0,"","same base+rarity+seed is identical","PASS","wb_i005_blue_77041201"
"seed-switch-I005@blue","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i005_blue_77041202"
"candidate-I005@purple","","",0,"","candidate instance generated","PASS","Success:wb_i005_purple_77041201"
"projection-I005@purple","","",0,"","exact read-only projection","PASS","wb_i005_purple_77041201"
"viewmodel-I005@purple","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I005@purple-0","I005","purple",77041201,"wb_i005_purple_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I005@purple-1","I005","purple",77041201,"wb_i005_purple_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I005@purple-2","I005","purple",77041201,"wb_i005_purple_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I005@purple-3","I005","purple",77041201,"wb_i005_purple_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I005@purple","","",0,"","same base+rarity+seed is identical","PASS","wb_i005_purple_77041201"
"seed-switch-I005@purple","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i005_purple_77041202"
"candidate-I005@orange","","",0,"","candidate instance generated","PASS","Success:wb_i005_orange_77041201"
"projection-I005@orange","","",0,"","exact read-only projection","PASS","wb_i005_orange_77041201"
"viewmodel-I005@orange","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I005@orange-0","I005","orange",77041201,"wb_i005_orange_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I005@orange-1","I005","orange",77041201,"wb_i005_orange_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I005@orange-2","I005","orange",77041201,"wb_i005_orange_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I005@orange-3","I005","orange",77041201,"wb_i005_orange_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I005@orange","","",0,"","same base+rarity+seed is identical","PASS","wb_i005_orange_77041201"
"seed-switch-I005@orange","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i005_orange_77041202"
"base-query-I006","","",0,"","catalog base item query succeeds","PASS","I006"
"candidate-I006@white","","",0,"","candidate instance generated","PASS","Success:wb_i006_white_77041201"
"projection-I006@white","","",0,"","exact read-only projection","PASS","wb_i006_white_77041201"
"viewmodel-I006@white","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I006@white-0","I006","white",77041201,"wb_i006_white_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I006@white-1","I006","white",77041201,"wb_i006_white_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I006@white-2","I006","white",77041201,"wb_i006_white_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I006@white-3","I006","white",77041201,"wb_i006_white_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I006@white","","",0,"","same base+rarity+seed is identical","PASS","wb_i006_white_77041201"
"seed-switch-I006@white","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i006_white_77041202"
"candidate-I006@green","","",0,"","candidate instance generated","PASS","Success:wb_i006_green_77041201"
"projection-I006@green","","",0,"","exact read-only projection","PASS","wb_i006_green_77041201"
"viewmodel-I006@green","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I006@green-0","I006","green",77041201,"wb_i006_green_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I006@green-1","I006","green",77041201,"wb_i006_green_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I006@green-2","I006","green",77041201,"wb_i006_green_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I006@green-3","I006","green",77041201,"wb_i006_green_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I006@green","","",0,"","same base+rarity+seed is identical","PASS","wb_i006_green_77041201"
"seed-switch-I006@green","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i006_green_77041202"
"candidate-I006@blue","","",0,"","candidate instance generated","PASS","Success:wb_i006_blue_77041201"
"projection-I006@blue","","",0,"","exact read-only projection","PASS","wb_i006_blue_77041201"
"viewmodel-I006@blue","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I006@blue-0","I006","blue",77041201,"wb_i006_blue_77041201","candidate range readable with final roll","PASS","range index 0"
"stat-range-I006@blue-1","I006","blue",77041201,"wb_i006_blue_77041201","candidate range readable with final roll","PASS","range index 1"
"stat-range-I006@blue-2","I006","blue",77041201,"wb_i006_blue_77041201","candidate range readable with final roll","PASS","range index 2"
"stat-range-I006@blue-3","I006","blue",77041201,"wb_i006_blue_77041201","candidate range readable with final roll","PASS","range index 3"
"determinism-I006@blue","","",0,"","same base+rarity+seed is identical","PASS","wb_i006_blue_77041201"
"seed-switch-I006@blue","","",0,"","explicit seed change creates a distinct legal instance","PASS","wb_i006_blue_77041202"
"candidate-I006@purple","","",0,"","candidate instance generated","PASS","Success:wb_i006_purple_77041201"
"projection-I006@purple","","",0,"","exact read-only projection","PASS","wb_i006_purple_77041201"
"viewmodel-I006@purple","","",0,"","15 prefab player slots + 3 debug candidate sections; empty/test slots hidden","PASS","15/3"
"stat-range-I006@purple-0","I006","purple",77041201,"wb_i006_purple_77041201","candidate range readable with final roll","PASS","range index 0"
