baseItemId,itemName,rarity,candidateItemPower,overridden,dataMaturity,sandboxOnly
"I022","玄水流令","green","63","False","BALANCE_CANDIDATE","True"
"I022","玄水流令","blue","82","False","BALANCE_CANDIDATE","True"
"I022","玄水流令","purple","98","False","BALANCE_CANDIDATE","True"
"I022","玄水流令","orange","114","False","BALANCE_CANDIDATE","True"
"I023","照秽水镜","white","36","False","BALANCE_CANDIDATE","True"
"I023","照秽水镜","green","52","False","BALANCE_CANDIDATE","True"
"I023","照秽水镜","blue","67","False","BALANCE_CANDIDATE","True"
"I023","照秽水镜","purple","82","False","BALANCE_CANDIDATE","True"
"I023","照秽水镜","orange","97","False","BALANCE_CANDIDATE","True"
"I024","净水盂","white","53","False","BALANCE_CANDIDATE","True"
"I024","净水盂","green","72","False","BALANCE_CANDIDATE","True"
"I024","净水盂","blue","90","False","BALANCE_CANDIDATE","True"
"I024","净水盂","purple","107","False","BALANCE_CANDIDATE","True"
"I024","净水盂","orange","124","False","BALANCE_CANDIDATE","True"
"I025","封煞符","white","34","False","BALANCE_CANDIDATE","True"
"I025","封煞符","green","51","False","BALANCE_CANDIDATE","True"
"I025","封煞符","blue","67","False","BALANCE_CANDIDATE","True"
"I025","封煞符","purple","81","False","BALANCE_CANDIDATE","True"
"I025","封煞符","orange","97","False","BALANCE_CANDIDATE","True"
"I026","太白斩符","white","48","False","BALANCE_CANDIDATE","True"
"I026","太白斩符","green","68","False","BALANCE_CANDIDATE","True"
"I026","太白斩符","blue","89","False","BALANCE_CANDIDATE","True"
"I026","太白斩符","purple","106","False","BALANCE_CANDIDATE","True"
"I026","太白斩符","orange","125","False","BALANCE_CANDIDATE","True"
"I027","太白斩煞印","white","55","False","BALANCE_CANDIDATE","True"
"I027","太白斩煞印","green","76","False","BALANCE_CANDIDATE","True"
"I027","太白斩煞印","blue","98","False","BALANCE_CANDIDATE","True"
"I027","太白斩煞印","purple","116","False","BALANCE_CANDIDATE","True"
"I027","太白斩煞印","orange","136","False","BALANCE_CANDIDATE","True"
"I028","断煞令","white","43","False","BALANCE_CANDIDATE","True"
"I028","断煞令","green","62","False","BALANCE_CANDIDATE","True"
"I028","断煞令","blue","81","False","BALANCE_CANDIDATE","True"
"I028","断煞令","purple","97","False","BALANCE_CANDIDATE","True"
"I028","断煞令","orange","115","False","BALANCE_CANDIDATE","True"
"I029","照煞镜","white","47","False","BALANCE_CANDIDATE","True"
"I029","照煞镜","green","66","False","BALANCE_CANDIDATE","True"
"I029","照煞镜","blue","85","False","BALANCE_CANDIDATE","True"
"I029","照煞镜","purple","101","False","BALANCE_CANDIDATE","True"
"I029","照煞镜","orange","119","False","BALANCE_CANDIDATE","True"
"I030","桃木剑","white","67","False","BALANCE_CANDIDATE","True"
"I030","桃木剑","green","91","False","BALANCE_CANDIDATE","True"
"I030","桃木剑","blue","116","False","BALANCE_CANDIDATE","True"
"I030","桃木剑","purple","136","False","BALANCE_CANDIDATE","True"
"I030","桃木剑","orange","158","False","BALANCE_CANDIDATE","True"
