itemId,decisionStatus,oldShapeId,newShapeId,oldOrderedCells,newOrderedCells,oldCoreCellLocal,newTechnicalCoreCellLocal,catalogChanged,candidateDescriptionChanged,oldCatalogSignature,newCatalogSignature,oldSnapshotSignature,newSnapshotSignature,evidence,result
I011,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(1,0)","(0,0);(0,1)","(1,0)","(0,1)",true,true,sha256:ac274422cd6bd4d834ef82512a2f7f3a4dcf534588b4b30c166e532b30dc28b2,sha256:eddef0b58e8051bcbe37af4b502ca4313f5f66a154cfed2943907c6903f28700,sha256:0253d35ad488e64ed0fedf6c137e9ecd7724593b0e4474cf2c25fc03d90c227c,sha256:89b7acebd3ea7a830375d179237fdb8c5f7e2abeb460667fdc1e184d1158ab9f,screenshot+authored_image,PASS
I012,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0);(0,1)","(0,0)","(0,0)",false,false,sha256:dba64a0c3dcc3cac975a43ac2567dc96841fe7c8e3d43c0610c0962cca740e1b,sha256:dba64a0c3dcc3cac975a43ac2567dc96841fe7c8e3d43c0610c0962cca740e1b,sha256:ca05312edee8f360a7160724bc3d0c3350e8574d3c74fe830b73ab0511f5bf18,sha256:ca05312edee8f360a7160724bc3d0c3350e8574d3c74fe830b73ab0511f5bf18,screenshot+authored_image,PASS
I013,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)","(0,0)",false,false,sha256:4497f8691a59846aa9756f712cfa8b24251e35179958b54a49d01bf24371b171,sha256:4497f8691a59846aa9756f712cfa8b24251e35179958b54a49d01bf24371b171,sha256:032bcc8f1ad5876ee7dc55f71732808a774968e6601a9a293b7fbfbe508e0f11,sha256:032bcc8f1ad5876ee7dc55f71732808a774968e6601a9a293b7fbfbe508e0f11,screenshot+authored_image,PASS
I014,APPROVED_CHANGE,shape_line3_h,shape_line3_v,"(0,0);(1,0);(2,0)","(0,0);(0,1);(0,2)","(1,0)","(0,1)",true,true,sha256:dbeaa265394d22ffef3ad74587aea2200c869110acdd3421b05e649f07a6b0c9,sha256:cc9983bd34198bb8f5c972d68710f9123b87e102537036f875f1facf6714f7cf,sha256:6a69894115b359283eaf1cc54ae5a06ee4618717987df3c1afad632a76298584,sha256:a1a95d68892364f4a98a5cb71b98aa832d7040d26c26aba97afba1d041e745e2,screenshot+authored_image,PASS
I015,APPROVED_CHANGE,shape_corner3,shape_line3_v,"(0,0);(1,0);(0,1)","(0,0);(0,1);(0,2)","(0,0)","(0,0)",true,true,sha256:425d5a82d7bdf97cef0ca674112364ce43588dccb63b57860dcc598e7dc71dbc,sha256:be697686693d560970299eb357ebd9bb5fec5d4f4a26c5809449dac6849c3a90,sha256:eafca008714d70ce9ff1c17ec2fc7920d20f7c12ff08d428968221c2b93c5010,sha256:f17c5526b4a4679843d6cb59673bec79512a02db4bb59ac26977c15e00c4a866,screenshot+authored_image,PASS
I016,APPROVED_CHANGE,shape_line2_v,shape_corner3,"(0,0);(0,1)","(0,0);(1,0);(0,1)","(0,1)","(0,1)",true,true,sha256:664e7d3811c098b948d78329f943ecdb9f9da5eadf2e1196d77c63d5d1cb6cd5,sha256:8b9410811774aba072987ca4a18be8ea1a25a3cefe18a1da85fbf54748fd3cf0,sha256:b7b2ffb5b18da116642f12efaaef9211a88b2c2efcab2dc411d6bcba4815b3cf,sha256:c73d1ac978ca9e269a6c2492e7244e302d1052c70f0e6e5d90e90d967c3e6ddb,screenshot+authored_image,PASS
I017,APPROVED_CHANGE,shape_line3_v,shape_line2_v,"(0,0);(0,1);(0,2)","(0,0);(0,1)","(0,1)","(0,1)",true,true,sha256:5cbe21d0471e11d27aab8d9a91d3183e3f1b0ce5dd3ce3d14564200934e80d84,sha256:0d7111b7e3e4c27323019b3109fd4d23b68121b7e3f1d849d861e2ebbf45ceb0,sha256:b3bbe64870bb6a688a322acb3e92183704b15209285fbce181951afab93e17d8,sha256:87df238f08306cf148e9c849de6d234cb6a8d35dac92896bbea5dd5d45e7de2c,screenshot+authored_image,PASS
I018,APPROVED_KEEP,shape_block2x2,shape_block2x2,"(0,0);(1,0);(0,1);(1,1)","(0,0);(1,0);(0,1);(1,1)","(1,1)","(1,1)",false,false,sha256:dd50243df9ec53122bbf870da7aa69a5537ab5e1520f53e66ecdd0e8ff4dba8e,sha256:dd50243df9ec53122bbf870da7aa69a5537ab5e1520f53e66ecdd0e8ff4dba8e,sha256:2ccc06758e657e9e0299dbb531678ae577111ede903e163d8c4cee7f851000e1,sha256:2ccc06758e657e9e0299dbb531678ae577111ede903e163d8c4cee7f851000e1,screenshot+authored_image,PASS
I019,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)","(0,0)",false,false,sha256:d2630b2499ccb01cac83fa80e1b3e7e1e6e3b9170ae79de9133ab02739bb75a7,sha256:d2630b2499ccb01cac83fa80e1b3e7e1e6e3b9170ae79de9133ab02739bb75a7,sha256:0e03da205443633de927e8c4bd31e6e7851c7dbe8f1dbf3947e49df27f1e47b3,sha256:0e03da205443633de927e8c4bd31e6e7851c7dbe8f1dbf3947e49df27f1e47b3,screenshot+authored_image,PASS
I020,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0);(0,1)","(0,0)","(0,0)",false,false,sha256:29d55507722f4c5627b8d7f7783d0cec1930fe368c8d118f7821d1ae4a24925a,sha256:29d55507722f4c5627b8d7f7783d0cec1930fe368c8d118f7821d1ae4a24925a,sha256:6dcedbab810248c3703dc696d2dd339c439822f1f5cbb21de5559c32c7a98378,sha256:6dcedbab810248c3703dc696d2dd339c439822f1f5cbb21de5559c32c7a98378,screenshot+authored_image,PASS
I021,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(1,0)","(0,0);(0,1)","(0,0)","(0,0)",true,true,sha256:57bee2a2b178b602f01bce809d2da8016c47fdefaf61a348b63df25726171c30,sha256:c326a997243f16d9992951fe74c02a8b5c2ef885d59e4f14fddc9901c5bd9e1f,sha256:ebb02dda1883e1a1098d4331516e83e5e87e003686e36d22326a3e2793c6dbde,sha256:ce83f012ea0d1586e33885202844b61d3bebefce6300e2355390936af93e1fa3,screenshot+authored_image,PASS
I022,APPROVED_CHANGE,shape_line2_v,shape_line3_v,"(0,0);(0,1)","(0,0);(0,1);(0,2)","(0,1)","(0,1)",true,true,sha256:113114f10f7db5904ba13ce5cbefebc2795c97b286a90d94c3c405c940286e8c,sha256:000a3b7d7f0cbcff7abc225b32ec6f5642c51715173d3b24f18c6f3e4935e9d6,sha256:7a3edb323aaaa1ed2eb13ab6c527ae52a0c92eabff7b3c5bfd5e5d17231d242f,sha256:1277934adc66cfa4a8de8be587faf9b32148b83f38c1f918257967e9b0a7218c,screenshot+authored_image,PASS
I023,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(1,0)","(0,0);(0,1)","(1,0)","(0,1)",true,true,sha256:fa85a919549e8df8041bd4d5231973c857276c2d6766a30b2c47105875e112c9,sha256:8d5b613751d9862494105f6d2ebe61a4d2e21fecb6f88845b6f62c06e52359ed,sha256:d99e82dea3e43706b2f36a9c4e3b41df8808c12b5f0f8c26d85304eada59f2e5,sha256:46faab5b627fa16cf4a73cd842b8e212e9fd0b9e0a56a3694fb1d22d8488433e,screenshot+authored_image,PASS
I024,APPROVED_CHANGE,shape_corner3,shape_line2_h,"(0,0);(1,0);(0,1)","(0,0);(1,0)","(0,0)","(0,0)",true,true,sha256:4b9dfe90bbf74804d4f4302ee8ad6cccac274540a1e710da267e77548763b54a,sha256:6fe9436b5db7f3fc872f1035d5f3c8c49ec9135829daf6bf512af0e9cf7ece87,sha256:c59c00716b6c37fac5e2f85b6f468bc36e1be6f2145bfadd7bdcbf1b9a89ac33,sha256:2cd72399b073432d51631d0f296788dd0e96f9edb69c07ab035476feada08976,user_confirmed_authored_image_priority,PASS
I025,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)","(0,0)",false,false,sha256:00c1646008588f384210de1b919c75f827ebf861c3784ebb4221314f18ae78e1,sha256:00c1646008588f384210de1b919c75f827ebf861c3784ebb4221314f18ae78e1,sha256:9a8ab6dd650202ea45ecb90e5f7dfa7bead0cf867813103237bb078f61a04cda,sha256:9a8ab6dd650202ea45ecb90e5f7dfa7bead0cf867813103237bb078f61a04cda,screenshot+authored_image,PASS
I026,APPROVED_CHANGE,shape_line2_h,shape_line3_v,"(0,0);(1,0)","(0,0);(0,1);(0,2)","(0,0)","(0,0)",true,true,sha256:b36578f3cba1e4a4b2fb358cd061ac023b589a9bde6ff9fc8b12c32ced064255,sha256:2698527505d5614aff736b0e2a752c383d7ea7f8914d4cdf857f27322f2675a1,sha256:82fc0e0b6b797c5170c8987f0b6b9999783c113cb2eb16ff36335e5028336a78,sha256:b89a1a9da7c80ceb7e20473866ac038572df31859e31771b2be2625b0dd91e48,screenshot+authored_image,PASS
I027,APPROVED_KEEP,shape_line2_v,shape_line2_v,"(0,0);(0,1)","(0,0);(0,1)","(0,0)","(0,0)",false,false,sha256:ac780631abe530c27cc1b20a28f57d6a27a106b86837ce6ca2b5b9366880a36a,sha256:ac780631abe530c27cc1b20a28f57d6a27a106b86837ce6ca2b5b9366880a36a,sha256:25f6b3567f45104539f481ffee1a144383829a1a9d6ff45d3795456334faa756,sha256:25f6b3567f45104539f481ffee1a144383829a1a9d6ff45d3795456334faa756,screenshot+authored_image,PASS
I028,APPROVED_CHANGE,shape_line2_h,shape_line2_v,"(0,0);(1,0)","(0,0);(0,1)","(1,0)","(0,1)",true,true,sha256:63b3bb50c53d04c9ac24447962e473e400cd63a51b37b07ef4c0e29a6c06628e,sha256:a570248f2008adf8b2ab268cd8b717207138e93678f6c298cf070c4f5599a3d6,sha256:651bf374242e09d26d15f44f09f38a04bafa72ef4ca91f401f77cc9bd54c6627,sha256:85962eb1a74722a2b7e1afcdb6e50c42f698f8d6fcdb8a9edf193fcb7419cb26,screenshot+authored_image,PASS
I029,APPROVED_KEEP,shape_single_1,shape_single_1,"(0,0)","(0,0)","(0,0)","(0,0)",false,false,sha256:a3143de1051962c92a9d30b61a86fcaac6097abc743a387269da9732c6cb211d,sha256:a3143de1051962c92a9d30b61a86fcaac6097abc743a387269da9732c6cb211d,sha256:8e37c7fd476cf9917f22a3706294af44cbab090bf3024bf273ec9abf9ba4c5d1,sha256:8e37c7fd476cf9917f22a3706294af44cbab090bf3024bf273ec9abf9ba4c5d1,user_confirmed_i029_fix+authored_image,PASS
I030,APPROVED_CHANGE,shape_line3_h,shape_line3_v,"(0,0);(1,0);(2,0)","(0,0);(0,1);(0,2)","(1,0)","(0,1)",true,true,sha256:0a56b860a680f91dd5c4a3bac5a7e2e7b0724f16d71018329d9685506caa85ca,sha256:309e441a3712965d9b34b9fc941a583c207272e36e220c107775686f2295c695,sha256:e30ac7e39beaee679237a95d07983f54d83ead66e9fc832dd381b5216c44e77c,sha256:a3ca14fd89715a150f655541abce4266e41a629180189b895e32e33f44348cd9,screenshot+authored_image,PASS
